bsp2s_bi_amp,bsp2s_bi_amp_rate,bsp2s_bi_klu_cnt,bsp2s_break_bi_amp,bsp2s_break_bi_amp_rate,bsp2s_break_bi_klu_cnt,bsp2s_lv,bsp2s_retrace_rate,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_d,kdj_j,kdj_k,macd_dea,macd_diff,macd_value,next_bi_return,ppo,rsi,timestamp,type,volume
7.10986328125,0.00958202756190175,15,16.02789306640625,0.02222857079975994,13,1.0,0.13645416430249693,7.10986328125,,454,True,False,48.663807267245865,61.7613155186656,53.02964335105244,0.6389807643778463,0.39035718152604204,-0.4972471657036086,0.013090387575601485,0.0005279641621718072,41.04804107154859,2025/05/20 13:30,2s,14009.0
8.21002197265625,0.01102741650879993,8,16.02789306640625,0.02222857079975994,13,2.0,0.04848420226884132,8.21002197265625,,476,True,False,34.193409995962824,-8.919756230529039,19.822354587132203,0.5197111562528546,0.1903624035762732,-0.6586975053531627,0.008135257821108714,0.00025723050296552725,41.59719336822882,2025/05/20 15:20,2s,9787.0
5.27996826171875,0.007113080356750083,13,16.02789306640625,0.02222857079975994,13,3.0,0.004185056416388361,5.27996826171875,,511,True,False,15.85487117598307,6.705329395637232,12.80502391586779,0.137098014874772,-0.27031304683362123,-0.8148221234167865,0.015997039214016993,-0.00036535803633324336,37.00285387334642,2025/05/20 18:30,2s,3673.0
6.9000244140625,0.009439222511990442,6,18.78997802734375,0.02509345397123441,19,1.0,0.4196391158175115,6.9000244140625,,604,False,False,56.60865507170773,103.97798120588797,72.39843044976782,-1.2791775956037015,-0.8158486884439071,0.9266578143195887,0.018247889603622,-0.0011079891938953095,50.28781014464352,2025/05/21 19:50,2s,17259.0
11.84002685546875,0.016237900174920692,25,14.35980224609375,0.019019605623965232,39,1.0,0.025056211772806678,11.84002685546875,,1005,False,False,67.13772692339971,102.32193369679803,78.86579584786581,0.16655889102338417,0.7046553457030313,1.0761929093592943,0.016005378342189607,0.0009556152419908021,62.112281470576,2025/05/30 15:25,2s,5475.0
3.7498779296875,0.004942472302872077,9,35.8599853515625,0.04918120612109427,38,1.0,0.2801167599952343,3.7498779296875,,1099,True,False,29.60585623052025,9.141863537208131,22.784525332749542,1.6066979434040256,1.1378671566457115,-0.9376615735166283,0.014974392407323912,0.0015063891878825122,52.31141275497749,2025/06/02 16:55,2s,8625.0
16.260009765625,0.021219963926602966,11,35.8599853515625,0.04918120612109427,38,2.0,0.4182935339472027,16.260009765625,,1151,True,False,13.19643071950182,-0.2824426771885271,8.703472920605037,-0.38741728388778157,-1.5442757397746618,-2.3137169117737604,0.012090657552083333,-0.0020394594230408562,35.28491654475252,2025/06/03 15:00,2s,9474.0
8.88800048828125,0.011709096639989964,7,35.8599853515625,0.04918120612109427,38,3.0,0.4132742157847259,8.88800048828125,,1166,True,False,30.705435178439117,-6.927840530713098,18.161009942055045,-0.9777306743160648,-1.320064957851855,-0.6846685670715806,0.012383665411027252,-0.001748340554390673,40.44499559511332,2025/06/03 16:15,2s,12763.0
6.50994873046875,0.00857169997707977,8,35.8599853515625,0.04918120612109427,38,4.0,0.3357496638469525,6.50994873046875,,1189,True,False,43.095761909724544,-7.079663333958962,26.37062016183004,0.4723624418535052,0.18504974424570264,-0.5746253952156051,0.028142267614542443,0.00024487695360240265,45.12639861293594,2025/06/03 18:10,2s,2672.0
5.655029296875,0.007261068776471667,15,35.88494873046875,0.04804518350179494,41,1.0,0.268218301558495,5.655029296875,,1665,True,False,59.26355434053094,102.90643461526396,73.81118109877528,-0.2710506508292589,-0.08929559518003316,0.36351011129845145,0.01014023892569406,-0.00011491247096133658,52.6969239528024,2025/06/12 13:30,2s,7368.0
10.989990234375,0.014071690440941101,50,35.88494873046875,0.04804518350179494,41,2.0,0.35599781609996956,10.989990234375,,1749,True,False,51.28438562138988,11.223839989009946,37.93087041059657,-0.6024410406036745,-0.9046422963455143,-0.6044025114836795,0.021772304730464327,-0.001167384296835194,32.32818848518238,2025/06/13 14:20,2s,4060.0
8.280029296875,0.010118079313181852,13,32.96533203125,0.0422275166721617,99,1.0,0.10815324456030691,8.280029296875,,2462,True,False,15.78661637082729,1.7890641676175818,11.120765636424053,-0.1418582848335763,-0.8643027190967132,-1.4448888685262737,0.018887474803200688,-0.0010622675009977546,36.848626942818925,2025/06/27 18:40,2s,6507.0
18.54998779296875,0.023782035632011218,17,40.904296875,0.050189321319018404,19,1.0,0.5978414625411832,18.54998779296875,,2865,False,False,90.48931682260431,87.06952544983017,89.34938636501293,0.24352303375304535,1.7102720470917347,2.9334980266773787,0.01696823993500793,0.002162223494906158,60.81362594853733,2025/07/08 17:15,2s,2418.0
24.81500244140625,0.03161146807822452,44,40.904296875,0.050189321319018404,19,2.0,0.8732407606360121,24.81500244140625,,2942,False,False,48.608729891588474,69.63964784755963,55.61903587691219,2.4714404379703603,2.1573604553260566,-0.6281599652886074,0.08497605028757517,0.002681316700357938,69.71630195611588,2025/07/09 17:30,2s,2320.0
