bsp2_bi_amp,bsp2_bi_amp_rate,bsp2_break_bi_amp,bsp2_break_bi_amp_rate,bsp2_retrace_rate,bsp3_bi_amp,bsp3_bi_amp_rate,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_d,kdj_j,kdj_k,macd_dea,macd_diff,macd_value,next_bi_return,ppo,rsi,timestamp,type,volume
,,,,,0.1100006103515625,0.0015286355162739038,0.0025125670953284546,0.1100006103515625,,705,True,False,43.42668141853344,18.015454749512983,34.956272528859955,-0.010900613186619725,-0.011326892170245628,-0.0008525579672518067,0.015031341043711812,-0.00015751087199762366,42.55515756881675,2025/06/20 19:32,3b,5518.0
,,,,,0.15999603271484375,0.0022126405492573394,0.0006939953043851967,0.15999603271484375,,966,True,False,62.879000639675674,49.96573056686374,58.574577282071694,0.12271171516636543,0.10773302415637431,-0.029957382019982243,0.0032986688478028347,0.0014940725054849917,64.52709314047456,2025/06/23 17:41,3b,4532.0
0.1100006103515625,0.001497829611856644,0.279998779296875,0.003798138560234338,0.3928610354223433,0.1100006103515625,0.001497829611856644,0.0008153987087153214,0.1100006103515625,,1447,False,False,41.16447771887171,100.47977586835827,60.936243768700564,-0.03317953179133183,-0.028328216601352096,0.00970263037995947,0.0031271699169303675,-0.00038522859601813545,52.02622266882891,2025/06/24 19:36,"2,3b",10186.0
