bsp1_bi_amp,bsp2s_bi_amp,bsp2s_break_bi_amp,bsp2s_lv,bsp2s_retrace_rate,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_k,macd_dea,macd_diff,macd_value,ppo,rsi,timestamp,type,volume
,35.73992919921875,76.2750244140625,1.0,0.43887124006753675,35.73992919921875,,234,False,False,,4.911802585133688,6.487681987864448,3.1517588054615207,0.011567818342143397,84.35941696827894,2024/11/11 17:30,2s,80440.0
,17.26202392578125,76.2750244140625,2.0,0.043592410917907644,17.26202392578125,,294,False,False,,0.2785458157226217,1.5766272808741633,2.596162930303083,0.0029274640253732936,61.64649645489715,2024/11/22 14:30,2s,244492.0
,15.2490234375,31.96710205078125,1.0,0.09938730193279606,15.2490234375,,754,True,False,,2.610128828284491,2.301342149200366,-0.6175733581682508,0.005103467233258815,46.86177526315832,2025/03/04 20:30,2s,378172.0
,32.8699951171875,27.610015869140625,1.0,0.6327414407692945,32.8699951171875,,1133,False,False,,2.6560780001922453,2.6498354258340555,-0.012485148716379513,0.005626115182901279,58.32763193744751,2025/05/21 13:30,2s,261213.0
21.29998779296875,21.29998779296875,27.610015869140625,2.0,0.847518306667772,21.29998779296875,0.5322466616200711,1200,False,False,,2.154591588391509,2.6394403605165166,0.9696975442500149,0.005501653773509331,67.8362000267862,2025/06/04 17:30,"1p,2s",104910.0
