bsp2_bi_amp,bsp2_bi_amp_rate,bsp2_break_bi_amp,bsp2_break_bi_amp_rate,bsp2_retrace_rate,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj,macd_dea,macd_diff,macd_value,next_bi_return,ppo,rsi,timestamp,type,volume
1.660003662109375,0.0042404364496208165,5.079986572265625,0.013147302931437614,0.3267732381759091,1.660003662109375,,425,True,False,<Math.KDJ.KDJ_Item object at 0x00000241484E40B0>,0.489017532376281,0.5053507686461103,0.0326664725396586,0.009697028816529236,0.001296091866319534,59.48622175182606,2025/06/18 14:06,2,17401.0
0.649993896484375,0.0016538863650623163,1.3499755859375,0.0034232062990215122,0.4814856677818971,0.649993896484375,,599,False,False,<Math.KDJ.KDJ_Item object at 0x0000024149D960F0>,-0.06267509511209068,-0.022467706697000267,0.08041477683018083,0.0043438282761026036,-5.710660424631389e-05,55.27205852087026,2025/06/18 17:20,2,3119.0
1.283782958984375,0.003257763625462582,2.1187744140625,0.0054057261081123424,0.6059082790804863,1.283782958984375,,649,True,False,<Math.KDJ.KDJ_Item object at 0x0000024149D95D30>,0.04051491815464085,-0.05669069874204524,-0.1944112337933722,0.007625024095278149,-0.00014410802650896264,40.341500145079344,2025/06/18 18:10,2,4122.0
1.5050048828125,0.003840277892961715,3.8800048828125,0.009803438513263905,0.38788736825546644,1.5050048828125,,746,False,False,<Math.KDJ.KDJ_Item object at 0x000002414A1E29F0>,-0.1027734143263079,-0.022584314626669766,0.16037819939927628,0.006774211189972613,-5.7457458980073846e-05,54.95966314448014,2025/06/18 19:47,2,8433.0
1.214996337890625,0.003095019500807319,2.06500244140625,0.005288098441501281,0.58837525492862,1.214996337890625,,821,True,False,<Math.KDJ.KDJ_Item object at 0x0000024149A1C5F0>,0.024292131406685163,-0.015686815683693567,-0.07995789418075747,0.003321803430929017,-4.003024948565318e-05,46.42865966956554,2025/06/20 14:32,2,4234.0
0.43328857421875,0.0010970719352494205,0.79998779296875,0.0020214473606285535,0.5416189822232395,0.43328857421875,,987,False,False,<Math.KDJ.KDJ_Item object at 0x000002414A48A510>,-0.047429234508245245,-0.027055605570694752,0.04074725787510099,0.002436337982945248,-6.848522975594468e-05,51.31104723049891,2025/06/20 17:29,2,4509.0
1.110015869140625,0.002794390752059339,2.80999755859375,0.007124378740757276,0.3950237841829753,1.110015869140625,,1087,True,False,<Math.KDJ.KDJ_Item object at 0x00000241481BD4F0>,-0.05670130828474383,-0.12558424086910236,-0.13776586516871706,0.001716633051002846,-0.0003166187904425731,30.879089373459024,2025/06/20 19:12,2,2406.0
1.363189697265625,0.003422805127840074,2.33319091796875,0.005824240844783837,0.5842598163601643,1.363189697265625,,1199,False,False,<Math.KDJ.KDJ_Item object at 0x000002414875D7F0>,0.3030191755112351,0.2037073690385114,-0.1986236129454474,0.004329031767360495,0.0005104404325225135,55.90065552534987,2025/06/23 14:35,2,2147.0
0.970611572265625,0.002449863869064116,1.42999267578125,0.003622435506145261,0.6787528276921764,0.970611572265625,,1270,True,False,<Math.KDJ.KDJ_Item object at 0x0000024148720530>,-0.24902575489608778,-0.14727774779646552,0.2034960141992445,0.0028354010320334683,-0.00037208022872539025,40.171208753889736,2025/06/23 16:01,2,4301.0
1.8900146484375,0.004706680595498604,4.600006103515625,0.011325600901221282,0.4108722044940391,1.8900146484375,,1546,False,False,<Math.KDJ.KDJ_Item object at 0x0000024148775790>,0.033377067067386426,0.012536651729078585,-0.04168083067661568,0.005948752860195534,3.1121375261456406e-05,48.73223742254442,2025/06/24 14:10,2,9317.0
1.179901123046875,0.0029323791680106958,2.19989013671875,0.0054973887670271985,0.5363454762367172,1.179901123046875,,1661,True,False,<Math.KDJ.KDJ_Item object at 0x0000024149BC32F0>,0.1885651707646902,0.09274743926988549,-0.19163546298960943,0.008898545084607757,0.00023091781974567002,41.37493489516914,2025/06/24 16:16,2,878.0
2.094024658203125,0.005202287377912057,2.240020751953125,0.005534194826337221,0.9348237762428305,2.094024658203125,,1773,False,False,<Math.KDJ.KDJ_Item object at 0x0000024149DDFF50>,0.17391561189450708,0.20352632553237981,0.059221427275745475,0.0021601412901353346,0.0005038509263600514,69.27300211814392,2025/06/24 18:09,2,1624.0
1.8699951171875,0.004613057551649592,2.029998779296875,0.005032971680785857,0.9211804146183797,1.8699951171875,,1878,True,False,<Math.KDJ.KDJ_Item object at 0x000002414820A510>,0.06387822167457055,-0.11845785377431639,-0.3646721508977739,,-0.0002928184235563763,33.16110020632476,2025/06/24 19:55,2,13436.0
