date,equity,cash,pos,qty,buy_ret_th,sell_ret_th,no_sell_today_next,no_buy_today_next,daily_sig_dir,daily_sig_type,no_sell_today,no_buy_today
2018-10-01,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-02,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-03,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-04,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-05,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-08,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-09,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-10,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-11,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-12,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-15,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-16,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-17,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-18,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-19,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-22,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-23,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-24,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-25,100000.0,100000.0,0,0.0,0.3,0.3,0.0,0.0,,,,
2018-10-26,100000.0,100000.0,0,0.0,2.349999999999999,0.3,0.0,0.0,,,,
2018-10-29,100000.0,100000.0,0,0.0,2.4499999999999993,0.3,0.0,0.0,,,,
2018-10-30,100000.0,100000.0,0,0.0,2.4499999999999993,0.3,0.0,0.0,,,,
2018-10-31,100000.0,100000.0,0,0.0,1.4999999999999996,-0.5,0.0,0.0,,,,
2018-11-01,100000.0,100000.0,0,0.0,1.0999999999999996,-0.5,0.0,0.0,,,,
2018-11-02,100000.0,100000.0,0,0.0,1.5499999999999994,-0.5,0.0,0.0,,,,
2018-11-05,100000.0,100000.0,0,0.0,1.5499999999999994,-0.5,0.0,0.0,,,,
2018-11-06,100000.0,100000.0,0,0.0,-0.5,1.2999999999999996,0.0,0.0,,,,
2018-11-07,100000.0,100000.0,0,0.0,-0.5,2.1999999999999993,0.0,0.0,,,,
2018-11-08,100000.0,100000.0,0,0.0,-0.5,1.8999999999999995,0.0,0.0,,,,
