bsp1_bi_amp,bsp1_bi_amp_rate,bsp1_bi_klu_cnt,bsp2s_bi_amp,bsp2s_bi_amp_rate,bsp2s_bi_klu_cnt,bsp2s_break_bi_amp,bsp2s_break_bi_amp_rate,bsp2s_break_bi_klu_cnt,bsp2s_lv,bsp2s_retrace_rate,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_d,kdj_j,kdj_k,macd_dea,macd_diff,macd_value,next_bi_return,ppo,rsi,timestamp,type,volume
,,,0.16489791870117188,0.0029051834341033062,8,0.8199996948242188,0.014669046018623092,33,1.0,0.152439081122824,0.16489791870117188,,287,True,False,32.68357231215122,-5.150017948008561,20.072375558764627,0.015871213702837825,0.005302526539317398,-0.021137374327040853,0.010689981962841837,9.361834977689351e-05,45.450199626243986,2025/07/01 18:21,2s,7236.0
,,,0.25499725341796875,0.007369863140563222,7,0.8600006103515625,0.025316472753831767,7,1.0,0.5639537978389312,0.25499725341796875,,484,True,False,57.60055251131277,30.05546647217224,48.4188571649326,-0.03648791465238236,-0.022303792240045084,0.02836824482467455,0.027806026566152813,-0.0006466739925920507,47.01543397928067,2025/07/02 15:08,2s,181129.0
,,,0.3899993896484375,0.011294509222000586,10,0.5,0.014792899742191919,22,1.0,0.31999969482421875,0.3899993896484375,,684,True,False,40.886623885984534,26.51232548622039,36.09519108606315,0.04182727594884587,0.028283724505733687,-0.02708710288622436,0.013766878415517304,0.0008244565600170015,46.304070976584676,2025/07/02 18:33,2s,221633.0
,,,0.1100006103515625,0.003305306922667097,7,0.20999908447265625,0.00635205915757503,14,1.0,0.47620345140781106,0.1100006103515625,,1036,True,False,52.05360301035925,41.03029282572119,48.379166282146564,0.0006414811424846112,0.003925907934508643,0.006568853584048065,0.006180338931903107,0.00011827342733957128,52.53408770943451,2025/07/07 14:46,2s,32892.0
,,,0.21500015258789062,0.0064419521374648875,9,0.20999908447265625,0.00635205915757503,14,2.0,0.5238147138964577,0.21500015258789062,,1057,True,False,30.323390278246755,5.517423506216986,22.054734687570168,0.010740201823127982,0.00071302656775174,-0.020054350510752484,0.004813006783281825,2.1458603322540578e-05,48.158032436906474,2025/07/07 15:08,2s,70757.0
0.18959808349609375,0.00569028704797383,11,0.18959808349609375,0.00569028704797383,11,0.20999908447265625,0.00635205915757503,14,3.0,0.6666666666666666,0.18959808349609375,1.409414481598919,1073,True,False,38.488157508344756,-9.557517149344818,22.472932622448234,0.0036006587039549365,-0.010568122927558932,-0.028337563263027735,,-0.0003180147041930801,37.03182421414105,2025/07/07 15:25,"1p,2s",47721.0
