feature,importance
klu_open,0.10802018
klu_low,0.069404095
feat_bsp3_bi_amp_rate,0.052481946
feat_bsp2s_break_bi_klu_cnt,0.03612708
feat_bsp2s_break_bi_amp,0.03548743
feat_bsp1_bi_amp,0.029613689
feat_break_bi_amp_rate,0.028778156
klu_high,0.02417698
klu_close,0.023721525
feat_break_bi_amp,0.023682885
feat_bsp1_bi_amp_rate,0.023416137
feat_bsp2s_break_bi_amp_rate,0.023002911
feat_bsp3_bi_amp,0.022400996
feat_bsp2_break_bi_amp,0.021929871
feat_ppo,0.02043182
feat_divergence_rate,0.019658012
feat_bsp2s_bi_amp_rate,0.017987141
feat_break_bi_klu_cnt,0.017694386
feat_zs_cnt,0.016746473
feat_bsp2_break_bi_bi_klu_cnt,0.016353482
feat_volume,0.015672795
feat_bsp3_zs_height,0.015438282
feat_bi_amp_rate,0.015297398
feat_macd_dea,0.014969851
feat_bsp2_bi_amp_rate,0.014894051
feat_bsp1_bi_klu_cnt,0.014389016
feat_bsp2s_retrace_rate,0.014263283
feat_bsp2_break_bi_amp_rate,0.014059973
feat_macd_diff,0.014038433
high_low_spread_pct,0.013898155
feat_bi_klu_cnt,0.013395533
feat_rsi,0.013283738
feat_bi_amp,0.0132799
feat_bsp2_bi_amp,0.012964893
lower_shadow,0.012381991
feat_macd_value,0.012240613
feat_bsp2s_lv,0.011750907
feat_bsp2_bi_klu_cnt,0.011198339
dmi_minus,0.010350591
feat_bsp2s_bi_amp,0.010235646
feat_bsp3_bi_klu_cnt,0.009969327
feat_kdj_k,0.009630337
feat_level,0.009583002
feat_bsp2_retrace_rate,0.0091051385
dmi_plus,0.0090253735
feat_kdj_d,0.008844978
price_change_pct,0.008715033
dmi_adx,0.008709743
feat_bsp2s_bi_klu_cnt,0.007000536
feat_kdj_j,0.0067240703
upper_shadow,0.0065054037
is_bullish_candle,0.004745692
body_size,0.0023227239
feat_bsp_bi_amp,0.0
is_buy,0.0
kdj_k,0.0
is_segbsp,0.0
kdj_d,0.0
kdj_j,0.0
klu_volume,0.0
macd_dif,0.0
macd_dea,0.0
macd_value,0.0
rsi,0.0
