feature,importance
klu_low,0.048500285
feat_bsp2s_break_bi_amp,0.04606779
feat_break_bi_amp,0.040553715
feat_bsp2s_break_bi_amp_rate,0.038799483
feat_bsp3_bi_klu_cnt,0.03723048
feat_bsp2s_break_bi_klu_cnt,0.03259643
high_low_spread_pct,0.030874716
feat_zs_cnt,0.030564385
feat_break_bi_amp_rate,0.023989026
feat_bsp2_break_bi_bi_klu_cnt,0.023791747
klu_high,0.023620978
klu_open,0.023111105
feat_divergence_rate,0.022779502
klu_close,0.02262006
feat_bsp2_break_bi_amp,0.022401577
feat_volume,0.021683134
feat_bsp1_bi_klu_cnt,0.02165438
feat_ppo,0.021128966
feat_bsp2s_bi_amp_rate,0.01983103
feat_bi_amp_rate,0.019695252
feat_level,0.019327419
feat_bsp2s_lv,0.018774014
feat_break_bi_klu_cnt,0.018244185
feat_bsp1_bi_amp_rate,0.018044982
feat_bsp3_zs_height,0.017439745
feat_rsi,0.017200943
feat_bsp1_bi_amp,0.017071705
feat_bsp2_bi_amp,0.016792146
feat_bsp2_break_bi_amp_rate,0.016698012
feat_macd_value,0.01609841
feat_bsp2_retrace_rate,0.014824789
upper_shadow,0.014558954
feat_macd_dea,0.014510683
feat_bi_klu_cnt,0.013452042
feat_bsp3_bi_amp,0.012645167
feat_kdj_k,0.012318269
feat_macd_diff,0.0120414505
feat_bsp2_bi_klu_cnt,0.011922046
feat_bsp2s_retrace_rate,0.011909175
lower_shadow,0.01181019
dmi_adx,0.01170178
feat_bsp3_bi_amp_rate,0.01160616
price_change_pct,0.01150958
feat_bsp2s_bi_klu_cnt,0.011431083
feat_kdj_j,0.010675025
feat_kdj_d,0.010629227
feat_bi_amp,0.010434083
dmi_plus,0.0090955645
dmi_minus,0.008924179
feat_bsp2s_bi_amp,0.008569755
feat_bsp2_bi_amp_rate,0.008547697
is_bullish_candle,0.0061695776
body_size,0.0035279098
feat_bsp_bi_amp,0.0
is_buy,0.0
kdj_k,0.0
is_segbsp,0.0
kdj_d,0.0
kdj_j,0.0
klu_volume,0.0
macd_dif,0.0
macd_dea,0.0
macd_value,0.0
rsi,0.0
