feature,importance
klu_open,0.10208482
klu_low,0.071869545
feat_bsp3_bi_amp_rate,0.05318484
klu_high,0.03833829
feat_bsp2s_break_bi_amp,0.03817133
feat_bsp2s_break_bi_amp_rate,0.030788127
feat_break_bi_amp_rate,0.02866401
feat_bsp2s_break_bi_klu_cnt,0.028002063
feat_break_bi_amp,0.02717283
feat_bsp2s_bi_amp_rate,0.026508536
feat_bsp3_bi_amp,0.024578296
feat_bsp1_bi_amp_rate,0.023465859
feat_bsp1_bi_amp,0.021922119
feat_divergence_rate,0.021503534
feat_bsp3_zs_height,0.020092081
feat_zs_cnt,0.017852016
feat_bsp2s_lv,0.016940903
feat_break_bi_klu_cnt,0.016531527
feat_bsp3_bi_klu_cnt,0.016515464
feat_ppo,0.016045138
feat_bi_amp,0.016016684
feat_bsp2s_bi_amp,0.015941905
feat_bsp2_break_bi_amp_rate,0.015830271
feat_macd_diff,0.015642654
feat_bsp1_bi_klu_cnt,0.015477227
klu_close,0.015386266
high_low_spread_pct,0.014943346
feat_macd_dea,0.01438892
feat_bsp2_break_bi_bi_klu_cnt,0.014092407
feat_bsp2s_retrace_rate,0.013138263
feat_bsp2_break_bi_amp,0.012857784
feat_volume,0.012030512
feat_macd_value,0.011937671
feat_bi_klu_cnt,0.011827748
feat_bsp2_bi_amp_rate,0.011810591
feat_bi_amp_rate,0.011720867
feat_kdj_k,0.011587098
feat_rsi,0.01058363
lower_shadow,0.010534108
feat_bsp2_bi_klu_cnt,0.010143401
feat_kdj_d,0.009968006
feat_level,0.009704079
feat_bsp2_bi_amp,0.009179249
feat_bsp2_retrace_rate,0.008893912
dmi_minus,0.0088451225
dmi_plus,0.0076962835
dmi_adx,0.0076690177
feat_bsp2s_bi_klu_cnt,0.0072163893
upper_shadow,0.0067595085
feat_kdj_j,0.0066398685
price_change_pct,0.00628273
body_size,0.0025566593
is_bullish_candle,0.0024665592
feat_bsp_bi_amp,0.0
is_buy,0.0
kdj_k,0.0
is_segbsp,0.0
kdj_d,0.0
kdj_j,0.0
klu_volume,0.0
macd_dif,0.0
macd_dea,0.0
macd_value,0.0
rsi,0.0
