buy_threshold,sell_threshold,ml_final_value,ml_total_return,bh_total_return,ml_max_drawdown,outperformance,completed_trades,winning_trades,win_rate,skipped_buys,skipped_sells,avg_trade_return,median_trade_return,best_trade,worst_trade
0.0,0.0,10980.283257293004,9.802832572930043,6.217389717955268,1.5311207274551155,3.585442854974775,113,82,72.56637168141593,8,0,0.08330070462086973,0.06501907155789732,1.8108246667643249,-0.8185717274565888
0.0,0.5,11005.594456095236,10.055944560952357,6.217389717955268,1.5311207274551155,3.8385548429970884,113,82,72.56637168141593,8,21,0.08535020913521883,0.07080027990730041,1.8108246667643249,-0.8185717274565901
0.0,1.0,11003.89215958321,10.038921595832107,6.217389717955268,1.5878965609629654,3.821531877876839,81,62,76.5432098765432,2,263,0.11892119651443028,0.1118866215568336,1.8712465211659688,-0.8185717274565758
0.0,1.5,11098.778565061602,10.987785650616022,6.217389717955268,1.682014666937923,4.770395932660754,21,18,85.71428571428571,0,767,0.5003642883316578,0.2935437942732609,2.9534398888116753,-0.406072509156517
0.0,2.0,10863.26656044335,8.632665604433498,6.217389717955268,1.9688299723615486,2.4152758864782298,3,3,100.0,0,847,2.811123928146479,1.913213954383946,5.080282359825892,1.4398754702295993
0.0,2.5,10789.244482330485,7.892444823304845,6.217389717955268,1.9688299723615286,1.6750551053495766,1,1,100.0,0,857,7.892444823304849,7.892444823304849,7.892444823304849,7.892444823304849
0.0,3.0,10789.244482330485,7.892444823304845,6.217389717955268,1.9688299723615286,1.6750551053495766,1,1,100.0,0,857,7.892444823304849,7.892444823304849,7.892444823304849,7.892444823304849
0.0,3.5,10789.244482330485,7.892444823304845,6.217389717955268,1.9688299723615286,1.6750551053495766,1,1,100.0,0,857,7.892444823304849,7.892444823304849,7.892444823304849,7.892444823304849
0.0,4.0,10789.244482330485,7.892444823304845,6.217389717955268,1.9688299723615286,1.6750551053495766,1,1,100.0,0,857,7.892444823304849,7.892444823304849,7.892444823304849,7.892444823304849
0.5,0.0,10859.52111690072,8.59521116900719,6.217389717955268,1.2901971085049893,2.377821451051921,91,66,72.52747252747253,119,0,0.09134363239608809,0.06418956094341517,2.1831412977562152,-0.8185717274565641
0.5,0.5,10885.33811650864,8.853381165086383,6.217389717955268,1.2849396750121969,2.635991447131114,91,66,72.52747252747253,119,20,0.09396783345611676,0.06418956094341517,2.1831412977562152,-0.8185717274565688
0.5,1.0,10941.328924971349,9.413289249713497,6.217389717955268,1.5268698236968352,3.1958995317582284,67,51,76.11940298507463,87,246,0.13538871490943846,0.09397557387703682,2.2437841115827855,-0.8185717274565744
0.5,1.5,11001.074192822769,10.010741928227684,6.217389717955268,1.6820146669379212,3.793352210272416,20,17,85.0,25,693,0.4811287375118611,0.21732496291068704,2.9534398888116753,-0.5292735080495532
0.5,2.0,10863.26656044335,8.632665604433498,6.217389717955268,1.9688299723615486,2.4152758864782298,3,3,100.0,0,847,2.811123928146479,1.913213954383946,5.080282359825892,1.4398754702295993
0.5,2.5,10789.244482330485,7.892444823304845,6.217389717955268,1.9688299723615286,1.6750551053495766,1,1,100.0,0,857,7.892444823304849,7.892444823304849,7.892444823304849,7.892444823304849
0.5,3.0,10789.244482330485,7.892444823304845,6.217389717955268,1.9688299723615286,1.6750551053495766,1,1,100.0,0,857,7.892444823304849,7.892444823304849,7.892444823304849,7.892444823304849
0.5,3.5,10789.244482330485,7.892444823304845,6.217389717955268,1.9688299723615286,1.6750551053495766,1,1,100.0,0,857,7.892444823304849,7.892444823304849,7.892444823304849,7.892444823304849
0.5,4.0,10789.244482330485,7.892444823304845,6.217389717955268,1.9688299723615286,1.6750551053495766,1,1,100.0,0,857,7.892444823304849,7.892444823304849,7.892444823304849,7.892444823304849
1.0,0.0,10580.185262244215,5.80185262244215,6.217389717955268,0.7201805495994278,-0.4155370955131188,11,8,72.72727272727273,575,0,0.5172834113641499,0.08383489374348395,2.5544079675396296,-0.3043463227412516
1.0,0.5,10586.134387274706,5.86134387274706,6.217389717955268,0.7201805495994128,-0.35604584520820826,11,8,72.72727272727273,575,12,0.5223984559230447,0.12128456170573812,2.5544079675396296,-0.30434632274125906
1.0,1.0,10720.261680679892,7.202616806798923,6.217389717955268,0.743742686303597,0.9852270888436543,11,9,81.81818181818183,537,89,0.6374977902056397,0.365963550765958,2.6152711176687538,-0.0814166497048609
1.0,1.5,10718.037436013161,7.180374360131614,6.217389717955268,1.682014666937925,0.9629846421763455,8,7,87.5,337,302,0.8767924132557453,0.4613351381750346,3.5309046104051465,-0.30692226560331615
1.0,2.0,10950.86936029779,9.508693602977903,6.217389717955268,1.9688299723615361,3.291303885022635,3,3,100.0,59,772,3.0909583003055476,2.3134846368101614,5.669676517645334,1.289713746461148
1.0,2.5,10773.273134355977,7.732731343559762,6.217389717955268,1.968829972361536,1.5153416256044938,1,1,100.0,2,851,7.732731343559772,7.732731343559772,7.732731343559772,7.732731343559772
1.0,3.0,10773.273134355977,7.732731343559762,6.217389717955268,1.968829972361536,1.5153416256044938,1,1,100.0,2,851,7.732731343559772,7.732731343559772,7.732731343559772,7.732731343559772
1.0,3.5,10773.273134355977,7.732731343559762,6.217389717955268,1.968829972361536,1.5153416256044938,1,1,100.0,2,851,7.732731343559772,7.732731343559772,7.732731343559772,7.732731343559772
1.0,4.0,10773.273134355977,7.732731343559762,6.217389717955268,1.968829972361536,1.5153416256044938,1,1,100.0,2,851,7.732731343559772,7.732731343559772,7.732731343559772,7.732731343559772
1.5,0.0,10193.831236583459,1.9383123658345935,6.217389717955268,0.0,-4.279077352120675,2,2,100.0,671,0,0.9678560593075594,0.9678560593075594,1.7904863709246446,0.14522574769047425
1.5,0.5,10193.831236583459,1.9383123658345935,6.217389717955268,0.0,-4.279077352120675,2,2,100.0,671,0,0.9678560593075594,0.9678560593075594,1.7904863709246446,0.14522574769047425
