feature,importance
feat_bsp2s_break_bi_amp,0.08208144
klu_volume,0.06921977
klu_close,0.065953955
feat_bsp2s_break_bi_amp_rate,0.06544942
exit_price,0.053690102
klu_high,0.05113372
feat_bsp3_bi_amp,0.048489753
exit_klu_idx,0.042683307
body_size,0.03830653
feat_bsp2s_break_bi_klu_cnt,0.035129413
klu_low,0.032393754
kdj_d,0.028703062
macd_value,0.028284779
feat_bsp_bi_amp,0.026451055
feat_bsp2s_lv,0.02507242
klu_open,0.018970272
feat_bsp1_bi_amp_rate,0.017194124
feat_ppo,0.016527716
dmi_minus,0.015170538
feat_bsp2s_bi_klu_cnt,0.01491794
high_low_spread_pct,0.013744735
macd_dea,0.013387076
feat_bsp2_bi_amp,0.013232984
feat_macd_diff,0.012551899
feat_bsp1_bi_amp,0.0122719845
feat_bsp2s_bi_amp_rate,0.012252199
feat_macd_value,0.011426256
feat_bsp1_bi_klu_cnt,0.01129227
dmi_plus,0.00998141
feat_rsi,0.009061888
feat_bsp2_bi_klu_cnt,0.00883496
feat_bsp2s_bi_amp,0.008591131
feat_volume,0.00790034
feat_macd_dea,0.007796206
feat_divergence_rate,0.007385762
macd_dif,0.0073646815
feat_bsp3_zs_height,0.0063966853
feat_zs_cnt,0.006178011
feat_bsp2_retrace_rate,0.0061776093
feat_kdj_j,0.0058682077
feat_bsp2_break_bi_bi_klu_cnt,0.004637289
feat_bsp2s_retrace_rate,0.0044093425
feat_kdj_k,0.003873611
feat_kdj_d,0.003519588
feat_bsp2_break_bi_amp,0.0035146086
dmi_adx,0.0033980405
upper_shadow,0.0032550248
lower_shadow,0.0021656014
price_change_pct,0.0020552024
rsi,0.0016524115
feat_bsp2_bi_amp_rate,0.0
feat_bsp3_bi_klu_cnt,0.0
feat_bsp3_bi_amp_rate,0.0
feat_bsp2_break_bi_amp_rate,0.0
is_bullish_candle,0.0
is_buy,0.0
kdj_j,0.0
kdj_k,0.0
is_segbsp,0.0
