feature,importance
feat_bsp2s_break_bi_amp,0.0631479
klu_low,0.048148733
feat_zs_cnt,0.03711611
feat_bsp2s_bi_amp_rate,0.03543361
high_low_spread_pct,0.034426276
feat_bsp2s_break_bi_klu_cnt,0.031346686
feat_bsp2_break_bi_bi_klu_cnt,0.028744817
feat_break_bi_amp,0.028219787
feat_bsp3_bi_klu_cnt,0.027251698
feat_bsp2s_break_bi_amp_rate,0.026816111
klu_open,0.025731144
feat_volume,0.024936108
feat_bsp2s_bi_amp,0.022892373
klu_high,0.022862224
feat_bsp2_break_bi_amp_rate,0.02279784
feat_break_bi_amp_rate,0.022520293
feat_divergence_rate,0.02202185
klu_close,0.022018624
feat_bsp2_break_bi_amp,0.020368084
feat_bi_amp_rate,0.020188944
feat_bsp1_bi_amp,0.019943058
feat_bsp1_bi_klu_cnt,0.019127974
feat_ppo,0.018355433
feat_bsp3_zs_height,0.01833493
feat_break_bi_klu_cnt,0.016690016
feat_macd_value,0.015938018
feat_bsp2s_lv,0.015184125
feat_macd_diff,0.01510845
feat_rsi,0.014978927
feat_bsp3_bi_amp,0.014825484
feat_bsp1_bi_amp_rate,0.014025181
feat_bsp2s_bi_klu_cnt,0.013762997
feat_bsp2_bi_amp,0.013208961
feat_bsp2_bi_klu_cnt,0.012989045
upper_shadow,0.012731879
price_change_pct,0.01246652
feat_level,0.012461799
feat_macd_dea,0.012273931
dmi_adx,0.011868923
feat_bi_klu_cnt,0.011707358
feat_kdj_d,0.011119966
lower_shadow,0.010829008
feat_kdj_j,0.01060247
feat_bsp2_retrace_rate,0.010490934
feat_bi_amp,0.010335319
feat_kdj_k,0.0101100765
dmi_minus,0.009200767
feat_bsp3_bi_amp_rate,0.009073541
feat_bsp2_bi_amp_rate,0.009026949
dmi_plus,0.0088962205
feat_bsp2s_retrace_rate,0.008271083
is_bullish_candle,0.0056292126
body_size,0.0034422895
feat_bsp_bi_amp,0.0
is_buy,0.0
kdj_k,0.0
is_segbsp,0.0
kdj_d,0.0
kdj_j,0.0
klu_volume,0.0
macd_dif,0.0
macd_dea,0.0
macd_value,0.0
rsi,0.0
