date,equity,cash,pos,buy_th,sell_th
2017-10-02,100000.0,100000.0,0,0.3,0.3
2017-10-03,100000.0,100000.0,0,0.3,0.3
2017-10-04,100000.0,100000.0,0,0.3,0.3
2017-10-05,100000.0,100000.0,0,0.3,0.3
2017-10-06,100000.0,100000.0,0,0.3,0.3
2017-10-09,100000.0,100000.0,0,0.3,0.3
2017-10-10,100000.0,100000.0,0,0.3,0.3
2017-10-11,100000.0,100000.0,0,0.3,0.3
2017-10-12,100000.0,100000.0,0,0.3,0.3
2017-10-13,100000.0,100000.0,0,0.3,0.3
2017-10-16,100000.0,100000.0,0,0.3,0.3
2017-10-17,100000.0,100000.0,0,0.3,0.3
2017-10-18,100000.0,100000.0,0,0.3,0.3
2017-10-19,100000.0,100000.0,0,0.3,0.3
2017-10-20,100000.0,100000.0,0,0.3,0.3
2017-10-23,100000.0,100000.0,0,0.3,0.3
2017-10-24,100000.0,100000.0,0,0.3,0.3
2017-10-25,100000.0,100000.0,0,0.3,0.3
2017-10-26,100000.0,100000.0,0,0.3,0.3
2017-10-27,100000.0,100000.0,0,0.3,0.3
2017-10-30,100000.0,100000.0,0,0.3,0.3
2017-10-31,100000.0,100000.0,0,0.3,0.3
2017-11-01,100000.0,100000.0,0,0.3,0.3
2017-11-02,100000.0,100000.0,0,0.3,0.3
2017-11-03,100000.0,100000.0,0,0.3,0.3
2017-11-06,100000.0,100000.0,0,0.3,0.3
2017-11-07,100000.0,100000.0,0,0.3,0.3
2017-11-08,100000.0,100000.0,0,0.3,0.3
2017-11-09,100000.0,100000.0,0,0.3,0.3
2017-11-10,100000.0,100000.0,0,0.3,0.3
2017-11-13,100000.0,100000.0,0,0.3,0.3
2017-11-14,100000.0,100000.0,0,0.3,0.3
2017-11-15,100000.0,100000.0,0,0.3,0.3
2017-11-16,100000.0,100000.0,0,0.3,0.3
2017-11-17,100000.0,100000.0,0,0.3,0.3
2017-11-20,100000.0,100000.0,0,0.3,0.3
2017-11-21,100000.0,100000.0,0,-0.5,1.5499999999999994
2017-11-22,100000.0,100000.0,0,-0.5,1.5499999999999994
2017-11-24,100000.0,100000.0,0,-0.5,1.5499999999999994
2017-11-27,100000.0,100000.0,0,-0.5,1.5499999999999994
2017-11-28,100000.0,100000.0,0,-0.5,1.5499999999999994
2017-11-29,100000.0,100000.0,0,1.8999999999999995,-0.5
2017-11-30,100000.0,100000.0,0,1.8999999999999995,-0.5
2017-12-01,100000.0,100000.0,0,1.8999999999999995,-0.5
2017-12-04,100000.0,100000.0,0,1.3999999999999995,-0.5
2017-12-05,100000.0,100000.0,0,1.6499999999999995,-0.5
2017-12-06,100000.0,100000.0,0,1.6999999999999993,2.0999999999999996
2017-12-07,100000.0,100000.0,0,1.3499999999999996,2.0499999999999994
2017-12-08,100000.0,100000.0,0,1.3499999999999996,2.1999999999999993
2017-12-11,100000.0,100000.0,0,-0.5,1.8999999999999995
2017-12-12,100000.0,100000.0,0,1.0499999999999996,1.8999999999999995
2017-12-13,100000.0,100000.0,0,1.0999999999999996,2.0499999999999994
2017-12-14,100000.0,100000.0,0,-0.5,2.2499999999999996
2017-12-15,100000.0,100000.0,0,1.1999999999999997,2.499999999999999
2017-12-18,100000.0,100000.0,0,1.6499999999999995,0.7999999999999998
2017-12-19,100000.0,100000.0,0,1.7999999999999994,-0.5
2017-12-20,100000.0,100000.0,0,1.6499999999999995,0.8499999999999996
2017-12-21,100000.0,100000.0,0,1.5999999999999996,0.8499999999999996
2017-12-22,100000.0,100000.0,0,1.7499999999999996,-0.5
2017-12-26,100000.0,100000.0,0,1.5499999999999994,0.5499999999999998
2017-12-27,100000.0,100000.0,0,1.4499999999999995,0.5499999999999998
2017-12-28,100000.0,100000.0,0,1.0999999999999996,0.5499999999999998
2017-12-29,100000.0,100000.0,0,1.7999999999999994,-0.5
2018-01-02,100000.0,100000.0,0,1.7999999999999994,-0.5
2018-01-03,100000.0,100000.0,0,1.7999999999999994,-0.5
2018-01-04,100000.0,100000.0,0,1.7999999999999994,-0.5
2018-01-05,100000.0,100000.0,0,-0.5,1.6499999999999995
2018-01-08,100000.0,100000.0,0,-0.5,1.6499999999999995
2018-01-09,100000.0,100000.0,0,2.4499999999999993,0.09999999999999987
2018-01-10,100000.0,100000.0,0,2.3999999999999995,0.09999999999999987
2018-01-11,100000.0,100000.0,0,2.499999999999999,0.5499999999999998
2018-01-12,100000.0,100000.0,0,2.499999999999999,0.5499999999999998
2018-01-16,100000.0,100000.0,0,1.7499999999999996,-0.5
2018-01-17,100000.0,100000.0,0,2.1499999999999995,1.1499999999999997
2018-01-18,100000.0,100000.0,0,1.7999999999999994,-0.5
2018-01-19,100000.0,100000.0,0,1.8999999999999995,0.9499999999999997
2018-01-22,100000.0,100000.0,0,1.8999999999999995,0.9499999999999997
2018-01-23,100000.0,100000.0,0,-0.5,1.3499999999999996
2018-01-24,100000.0,100000.0,0,1.5999999999999996,0.7999999999999998
2018-01-25,100000.0,100000.0,0,1.4999999999999996,1.0499999999999996
2018-01-26,100000.0,100000.0,0,-0.5,1.0499999999999996
2018-01-29,100000.0,100000.0,0,1.4499999999999995,1.1999999999999997
2018-01-30,100000.0,100000.0,0,1.6999999999999993,0.7999999999999998
2018-01-31,100000.0,100000.0,0,1.5999999999999996,0.9999999999999996
2018-02-01,100000.0,100000.0,0,1.4999999999999996,0.9999999999999996
2018-02-02,100000.0,100000.0,0,2.499999999999999,-0.5
2018-02-05,100000.0,100000.0,0,2.499999999999999,-0.5
2018-02-06,100000.0,100000.0,0,2.1499999999999995,-0.5
2018-02-07,100000.0,100000.0,0,2.0499999999999994,-0.5
2018-02-08,100000.0,100000.0,0,2.1999999999999993,-0.5
2018-02-09,100000.0,100000.0,0,2.1999999999999993,-0.5
2018-02-12,100000.0,100000.0,0,-0.5,-0.5
2018-02-13,100000.0,100000.0,0,-0.5,2.3999999999999995
2018-02-14,100000.0,100000.0,0,-0.5,2.4499999999999993
2018-02-15,100000.0,100000.0,0,-0.5,-0.5
2018-02-16,100000.0,100000.0,0,0.5499999999999998,-0.5
2018-02-20,100000.0,100000.0,0,-0.5,2.4499999999999993
2018-02-21,100000.0,100000.0,0,-0.5,2.3999999999999995
