date,p_day,buy_level,sell_level,chosen_action,reward_force_buy,reward_free,reward_force_sell,chosen_reward,best_action_ex_post,oracle_equity,close,buy_th_5m,sell_th_5m
2018-10-01,0.20073780712125378,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,186.26,0.3,0.3
2018-10-02,0.19876173483044082,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,185.71,0.3,0.3
2018-10-03,0.21665405671920776,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,185.58,0.3,0.3
2018-10-04,0.2355064104355917,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,182.6,0.3,0.3
2018-10-05,0.2315556715165554,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,180.31,0.3,0.3
2018-10-08,0.08600361084615156,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,179.29,0.3,0.3
2018-10-09,0.10529581780136132,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,179.76,0.3,0.3
2018-10-10,0.3771826839535053,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,170.42,0.3,0.3
2018-10-11,0.10158562970277003,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,171.72,0.3,0.3
2018-10-12,0.06914250509813695,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,174.97,0.3,0.3
2018-10-15,0.08884195781985271,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,172.52,0.3,0.3
2018-10-16,0.045320636926211605,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,178.5,0.3,0.3
2018-10-17,0.056793052167395976,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,176.97,0.3,0.3
2018-10-18,0.12809080864019817,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,173.61,0.3,0.3
2018-10-19,0.13885577406031194,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,172.63,0.3,0.3
2018-10-22,0.07459174421741749,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,173.57,0.3,0.3
2018-10-23,0.024280494763774446,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,173.47,0.3,0.3
2018-10-24,0.2928686029129199,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,166.12,0.3,0.3
2018-10-25,0.09860411463331135,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,167.37,0.3,0.3
2018-10-26,0.059218997568889764,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,167.3,0.3,0.3
2018-10-29,0.19196772819849905,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,163.62,0.3,0.3
2018-10-30,0.11576911792672852,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,166.29,0.3,0.3
2018-10-31,0.17214071434095665,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,169.65,0.3,0.3
2018-11-01,0.13130233265607236,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,170.67,-0.5,-0.5
2018-11-02,0.19869088876825894,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,169.6,-0.5,-0.5
