feature,coef,abs_coef
nyxbt_ret_20,-1.2149615986256355,1.2149615986256355
nyxbt_above_ma_20,-1.121548346919792,1.121548346919792
us10y_ret_10,1.094217007495564,1.094217007495564
vxn_vol_40,-1.0879119156745427,1.0879119156745427
vxn_ret1,0.9732423038391224,0.9732423038391224
us10y_ret_40,-0.9716413690341339,0.9716413690341339
dxy_gap,-0.9457876665997691,0.9457876665997691
spgsci_atr_14,0.9393324960391525,0.9393324960391525
ixic_close_pos,-0.9039853624790879,0.9039853624790879
vvix_ret_10,0.8860672946945255,0.8860672946945255
nyxbt_atr_14,-0.8425617425760646,0.8425617425760646
rvx_ret1,0.8254944859185996,0.8254944859185996
qqq_range_over_atr,0.8218377245729513,0.8218377245729513
k_range_over_atr,0.8218377245729513,0.8218377245729513
us5y_above_ma_20,0.8213762485990338,0.8213762485990338
ndx_range_over_atr,0.812518213961739,0.812518213961739
ixic_range_over_atr,0.7913088293548999,0.7913088293548999
xau_above_ma_100,-0.788644823323724,0.788644823323724
dji_ret1,0.7807585376485733,0.7807585376485733
vix_vol_10,-0.7721875484674054,0.7721875484674054
us2y_ret_20,-0.7167498867894626,0.7167498867894626
rvx_slope40,0.7113075612944921,0.7113075612944921
dji_ret_10,-0.7024690903954418,0.7024690903954418
xau_ret_10,0.6943314361213229,0.6943314361213229
xau_vol_5,-0.6894061228685208,0.6894061228685208
rut_ret_10,-0.6718264511491517,0.6718264511491517
spgsci_ret_5,-0.6707485878632015,0.6707485878632015
nyxbt_vol_20,-0.6652024107440986,0.6652024107440986
us5y_ret_10,0.6580661900766759,0.6580661900766759
nyxbt_ret_40,0.6551331037930933,0.6551331037930933
spgsci_ret_20,0.6487411589200134,0.6487411589200134
dxy_ret_40,0.6454648946455144,0.6454648946455144
ctx_days_since_last_buy,0.6387631711303853,0.6387631711303853
ixic_atr_14,0.6378567219196181,0.6378567219196181
xau_above_ma_20,0.6309552637645358,0.6309552637645358
us10y_vol_40,-0.6296842993933044,0.6296842993933044
