side,signal_idx,exec_idx,seen_idx,exec_px,qty,fee,reason,ts,p_day,pred,th,gate,pnl,entry_px,entry_idx,entry_signal_idx
buy,63998,63999,63999,497.22,201.11821728812194,0.0,5m BUY signal,2024-02-07 12:40:00,0.2835620629180228,1.4579828977584839,1.1499999999999997,FREE,,,,
sell,64146,64147,64147,497.92,201.11821728812194,0.0,5m SELL signal,2024-02-08 09:15:00,0.27649985028844165,1.5917513370513916,1.2999999999999996,FREE,140.78275210168306,497.22,63999.0,63998.0
buy,64337,64338,64338,498.86,200.7392509964753,0.0,5m BUY signal,2024-02-09 09:25:00,0.28943303567479667,0.9880433678627014,-0.5,FREE,,,,
sell,64343,64344,64344,499.5,200.7392509964753,0.0,5m SELL signal,2024-02-09 09:55:00,0.28943303567479667,1.6330174207687378,1.3499999999999996,FREE,128.47312063774146,498.86,64338.0,64337.0
buy,64506,64507,64507,501.14,200.08232404665247,0.0,5m BUY signal,2024-02-12 08:30:00,0.2982979062635211,1.2314008474349976,-0.5,FREE,,,,
sell,64670,64671,64671,499.43,200.08232404665247,0.0,FORCE_SELL->first acceptable 5m signal,2024-02-13 06:15:00,0.33881846802029564,1.0955352783203125,0.34999999999999987,FORCE_SELL,-342.14077411977166,501.14,64507.0,64506.0
buy,65407,65408,65408,498.19,200.58033099544278,0.0,5m BUY signal,2024-02-20 04:20:00,0.288799110223061,1.3088197708129883,1.2999999999999996,FREE,,,,
sell,65528,65529,65529,495.76,200.58033099544278,0.0,5m SELL signal,2024-02-20 14:30:00,0.288799110223061,0.8766639828681946,0.7499999999999998,FREE,-487.4102043189273,498.19,65408.0,65407.0
buy,66160,66161,66161,507.15,196.07552971369557,0.0,5m BUY signal,2024-02-26 04:05:00,0.2985325165006858,1.40437650680542,0.7499999999999998,FREE,,,,
sell,66550,66551,66551,505.05,196.07552971369557,0.0,FORCE_SELL->first acceptable 5m signal,2024-02-28 05:25:00,0.31393489337132335,1.532882809638977,-0.5,FORCE_SELL,-411.758612398754,507.15,66161.0,66160.0
buy,66723,66724,66724,504.95,196.11436039588466,0.0,5m BUY signal,2024-02-29 04:05:00,0.29037452912551864,2.111717700958252,1.5999999999999996,FREE,,,,
sell,67487,67488,67488,509.19,196.11436039588466,0.0,FORCE_SELL->first acceptable 5m signal,2024-03-06 05:00:00,0.304540927346248,0.8888037204742432,-0.5,FORCE_SELL,831.5248880785527,504.95,66724.0,66723.0
buy,68037,68038,68038,510.84,195.4809160793605,0.0,5m BUY signal,2024-03-11 04:00:00,0.295201257436447,0.837040901184082,0.6999999999999997,FREE,,,,
sell,68225,68226,68226,513.56,195.4809160793605,0.0,FORCE_SELL->first acceptable 5m signal,2024-03-12 04:00:00,0.3049496582463422,1.2400686740875244,-0.5,FORCE_SELL,531.7080917358547,510.84,68038.0,68037.0
buy,68483,68484,68484,516.0,194.55654895681465,0.0,5m BUY signal,2024-03-13 10:00:00,0.252179408321016,1.7259787321090698,1.5999999999999996,FREE,,,,
sell,68489,68490,68490,516.625,194.55654895681465,0.0,5m SELL signal,2024-03-13 10:30:00,0.252179408321016,0.8222866058349609,-0.5,FREE,121.59784309800915,516.0,68484.0,68483.0
buy,74438,74439,74439,509.55,197.25792778886148,0.0,5m BUY signal,2024-04-29 04:45:00,0.2870354732361918,1.108647346496582,0.7499999999999998,FREE,,,,
sell,74476,74477,74477,509.8,197.25792778886148,0.0,5m SELL signal,2024-04-29 08:05:00,0.2870354732361918,2.636225938796997,2.1499999999999995,FREE,49.31448194721537,509.55,74439.0,74438.0
buy,74518,74519,74519,509.11,197.52527270484097,0.0,5m BUY signal,2024-04-29 11:35:00,0.2870354732361918,0.8309220671653748,0.7499999999999998,FREE,,,,
sell,74524,74525,74525,509.82,197.52527270484097,0.0,5m SELL signal,2024-04-29 12:05:00,0.2870354732361918,2.267986297607422,2.1499999999999995,FREE,140.24294362043304,509.11,74519.0,74518.0
buy,74552,74553,74553,509.68,197.5795293721198,0.0,5m BUY signal,2024-04-29 14:25:00,0.2870354732361918,0.8533263802528381,0.7499999999999998,FREE,,,,
sell,74570,74571,74571,510.05,197.5795293721198,0.0,5m SELL signal,2024-04-29 15:55:00,0.2870354732361918,2.2873775959014893,2.1499999999999995,FREE,73.10442586768522,509.68,74553.0,74552.0
buy,75062,75063,75063,501.3,201.0282045805899,0.0,5m BUY signal,2024-05-02 10:00:00,0.29824847167555674,1.719490885734558,1.6999999999999993,FREE,,,,
sell,75068,75069,75069,502.39,201.0282045805899,0.0,5m SELL signal,2024-05-02 10:30:00,0.29824847167555674,1.974478840827942,1.8999999999999995,FREE,219.12074299283796,501.3,75063.0,75062.0
