date,equity,cash,pos,buy_th,sell_th,p_day
2022-10-03,100000.0,100000.0,0,0.3,0.3,0.1887089033297288
2022-10-04,100000.0,100000.0,0,0.3,0.3,0.19105613121346918
2022-10-05,100000.0,100000.0,0,0.3,0.3,0.16507176011343225
2022-10-06,100000.0,100000.0,0,0.3,0.3,0.2819067322794346
2022-10-07,100000.0,100000.0,0,0.3,0.3,0.22660120428791064
2022-10-10,100000.0,100000.0,0,0.3,0.3,0.27192825222319367
2022-10-11,100000.0,100000.0,0,0.3,0.3,0.2887745169401592
2022-10-12,100000.0,100000.0,0,0.3,0.3,0.2884266981337946
2022-10-13,100000.0,100000.0,0,0.3,0.3,0.27296853814245775
2022-10-14,100000.0,100000.0,0,0.3,0.3,0.24585355830997
2022-10-17,100000.0,100000.0,0,0.3,0.3,0.291351329818671
2022-10-18,100000.0,100000.0,0,0.3,0.3,0.2747622019820875
2022-10-19,100000.0,100000.0,0,0.3,0.3,0.25502985982752685
2022-10-20,100000.0,100000.0,0,0.3,0.3,0.26491796426929703
2022-10-21,100000.0,100000.0,0,0.3,0.3,0.24774431568054575
2022-10-24,100000.0,100000.0,0,0.3,0.3,0.27450468787509585
2022-10-25,100000.0,100000.0,0,0.3,0.3,0.27293686299658293
2022-10-26,100000.0,100000.0,0,-0.5,-0.5,0.239853810650159
2022-10-27,100000.0,100000.0,0,-0.5,-0.5,0.20620349823554887
2022-10-28,100000.0,100000.0,0,-0.5,-0.5,0.2463756824136245
2022-10-31,100000.0,100000.0,0,1.5999999999999996,-0.5,0.21261517985507516
2022-11-01,100000.0,100000.0,0,1.6499999999999995,-0.5,0.2448341212075176
2022-11-02,100000.0,100000.0,0,2.0499999999999994,2.2999999999999994,0.19309927946515773
2022-11-03,100000.0,100000.0,0,1.6999999999999993,-0.5,0.18612439799571523
2022-11-04,100000.0,100000.0,0,-0.5,2.2499999999999996,0.2282325350933816
2022-11-07,100000.0,100000.0,0,-0.5,-0.5,0.2210193054013138
2022-11-08,100000.0,100000.0,0,1.9999999999999996,-0.5,0.22315230042656184
2022-11-09,100000.0,100000.0,0,2.499999999999999,-0.5,0.18557488765645705
2022-11-10,100000.0,100000.0,0,2.1499999999999995,-0.5,0.19299364440674074
2022-11-11,100000.0,100000.0,0,2.1499999999999995,-0.5,0.20865934271093153
2022-11-14,100000.0,100000.0,0,-0.5,-0.5,0.20842308907162366
2022-11-15,100000.0,100000.0,0,-0.5,-0.5,0.19474769760497354
2022-11-16,100000.0,100000.0,0,-0.5,-0.5,0.19237256164553163
2022-11-17,100000.0,100000.0,0,-0.5,-0.5,0.22179494237407216
2022-11-18,100000.0,100000.0,0,-0.5,-0.5,0.25645916647173356
2022-11-21,100000.0,100000.0,0,0.6499999999999997,1.6999999999999993,0.2532480413225123
2022-11-22,100000.0,100000.0,0,0.3999999999999998,1.6499999999999995,0.23268755336970737
2022-11-23,100000.0,100000.0,0,0.4999999999999998,2.499999999999999,0.2109490896341255
2022-11-25,100000.0,100000.0,0,0.8499999999999996,-0.5,0.18200032454303294
2022-11-28,100000.0,100000.0,0,2.0999999999999996,1.0499999999999996,0.1734166470933984
2022-11-29,100000.0,100000.0,0,2.0999999999999996,0.8499999999999996,0.19896687230844046
