date,equity,cash,pos,qty,has_model,snapshots,bsp_today,bsp_cum
2018-01-02,100000.0,100000.0,0,0.0,0,12,12,12
2018-01-03,100000.0,100000.0,0,0.0,0,42,30,42
2018-01-04,100000.0,100000.0,0,0.0,0,85,43,85
2018-01-05,100000.0,100000.0,0,0.0,0,130,45,130
2018-01-08,100000.0,100000.0,0,0.0,0,164,34,164
2018-01-09,100000.0,100000.0,0,0.0,0,201,37,201
2018-01-10,100000.0,100000.0,0,0.0,0,247,46,247
2018-01-11,100000.0,100000.0,0,0.0,0,278,31,278
2018-01-12,100000.0,100000.0,0,0.0,0,315,37,315
2018-01-16,100000.0,100000.0,0,0.0,0,361,46,361
2018-01-17,100000.0,100000.0,0,0.0,0,425,64,425
2018-01-18,100000.0,100000.0,0,0.0,0,464,39,464
2018-01-19,100000.0,100000.0,0,0.0,0,520,56,520
2018-01-22,100000.0,100000.0,0,0.0,0,553,33,553
2018-01-23,100000.0,100000.0,0,0.0,0,609,56,609
2018-01-24,100000.0,100000.0,0,0.0,0,651,42,651
2018-01-25,100000.0,100000.0,0,0.0,0,712,61,712
2018-01-26,100000.0,100000.0,0,0.0,0,768,56,768
2018-01-29,100000.0,100000.0,0,0.0,0,814,46,814
2018-01-30,100000.0,100000.0,0,0.0,0,864,50,864
2018-01-31,100000.0,100000.0,0,0.0,0,921,57,921
2018-02-01,100000.0,100000.0,0,0.0,0,966,45,966
2018-02-02,100000.0,100000.0,0,0.0,0,1016,50,1016
2018-02-05,100000.0,100000.0,0,0.0,0,1067,51,1067
2018-02-06,100000.0,100000.0,0,0.0,0,1119,52,1119
2018-02-07,100000.0,100000.0,0,0.0,0,1166,47,1166
2018-02-08,100000.0,100000.0,0,0.0,0,1224,58,1224
2018-02-09,100000.0,100000.0,0,0.0,0,1257,33,1257
2018-02-12,100000.0,100000.0,0,0.0,0,1289,32,1289
2018-02-13,100000.0,100000.0,0,0.0,0,1343,54,1343
2018-02-14,100000.0,100000.0,0,0.0,0,1368,25,1368
2018-02-15,100000.0,100000.0,0,0.0,0,1405,37,1405
2018-02-16,100000.0,100000.0,0,0.0,0,1440,35,1440
2018-02-20,100000.0,100000.0,0,0.0,0,1491,51,1491
2018-02-21,100000.0,100000.0,0,0.0,0,1519,28,1519
2018-02-22,100000.0,100000.0,0,0.0,0,1573,54,1573
2018-02-23,100000.0,100000.0,0,0.0,0,1626,53,1626
2018-02-26,100000.0,100000.0,0,0.0,0,1667,41,1667
2018-02-27,100000.0,100000.0,0,0.0,0,1719,52,1719
2018-02-28,100000.0,100000.0,0,0.0,0,1737,18,1737
2018-03-01,100000.0,100000.0,0,0.0,0,1764,27,1764
2018-03-02,100000.0,100000.0,0,0.0,0,1809,45,1809
2018-03-05,100000.0,100000.0,0,0.0,0,1844,35,1844
2018-03-06,100000.0,100000.0,0,0.0,0,1878,34,1878
2018-03-07,100000.0,100000.0,0,0.0,0,1929,51,1929
2018-03-08,100000.0,100000.0,0,0.0,0,1972,43,1972
2018-03-09,100000.0,100000.0,0,0.0,0,2013,41,2013
2018-03-12,100000.0,100000.0,0,0.0,0,2036,23,2036
2018-03-13,100000.0,100000.0,0,0.0,0,2089,53,2089
2018-03-14,100000.0,100000.0,0,0.0,0,2128,39,2128
2018-03-15,100000.0,100000.0,0,0.0,0,2168,40,2168
2018-03-16,100000.0,100000.0,0,0.0,0,2192,24,2192
2018-03-19,100000.0,100000.0,0,0.0,0,2235,43,2235
2018-03-20,100000.0,100000.0,0,0.0,0,2284,49,2284
2018-03-21,100000.0,100000.0,0,0.0,0,2305,21,2305
2018-03-22,100000.0,100000.0,0,0.0,0,2357,52,2357
2018-03-23,100000.0,100000.0,0,0.0,0,2407,50,2407
2018-03-26,100000.0,100000.0,0,0.0,0,2487,80,2487
2018-03-27,100000.0,100000.0,0,0.0,0,2503,16,2503
2018-03-28,100000.0,100000.0,0,0.0,0,2548,45,2548
2018-03-29,100000.0,100000.0,0,0.0,0,2607,59,2607
2018-04-02,100000.0,100000.0,0,0.0,0,2640,33,2640
2018-04-03,100000.0,100000.0,0,0.0,0,2693,53,2693
2018-04-04,100000.0,100000.0,0,0.0,0,2747,54,2747
2018-04-05,100000.0,100000.0,0,0.0,0,2780,33,2780
2018-04-06,100000.0,100000.0,0,0.0,0,2837,57,2837
2018-04-09,100000.0,100000.0,0,0.0,0,2898,61,2898
2018-04-10,100000.0,100000.0,0,0.0,0,2947,49,2947
2018-04-11,100000.0,100000.0,0,0.0,0,3000,53,3000
2018-04-12,100000.0,100000.0,0,0.0,0,3052,52,3052
2018-04-13,100000.0,100000.0,0,0.0,0,3087,35,3087
2018-04-16,100000.0,100000.0,0,0.0,0,3138,51,3138
2018-04-17,100000.0,100000.0,0,0.0,0,3186,48,3186
2018-04-18,100000.0,100000.0,0,0.0,0,3221,35,3221
2018-04-19,100000.0,100000.0,0,0.0,0,3254,33,3254
2018-04-20,100000.0,100000.0,0,0.0,0,3296,42,3296
2018-04-23,100000.0,100000.0,0,0.0,0,3324,28,3324
2018-04-24,100000.0,100000.0,0,0.0,0,3370,46,3370
2018-04-25,100000.0,100000.0,0,0.0,0,3430,60,3430
2018-04-26,100000.0,100000.0,0,0.0,0,3466,36,3466
2018-04-27,100000.0,100000.0,0,0.0,0,3490,24,3490
2018-04-30,100000.0,100000.0,0,0.0,0,3524,34,3524
2018-05-01,100000.0,100000.0,0,0.0,0,3569,45,3569
2018-05-02,100000.0,100000.0,0,0.0,0,3599,30,3599
2018-05-03,100000.0,100000.0,0,0.0,0,3643,44,3643
2018-05-04,100000.0,100000.0,0,0.0,0,3685,42,3685
2018-05-07,100000.0,100000.0,0,0.0,0,3717,32,3717
2018-05-08,100000.0,100000.0,0,0.0,0,3761,44,3761
2018-05-09,100000.0,100000.0,0,0.0,0,3794,33,3794
2018-05-10,100000.0,100000.0,0,0.0,0,3836,42,3836
2018-05-11,100000.0,100000.0,0,0.0,0,3856,20,3856
2018-05-14,100000.0,100000.0,0,0.0,0,3897,41,3897
2018-05-15,100000.0,100000.0,0,0.0,0,3957,60,3957
2018-05-16,100000.0,100000.0,0,0.0,0,3998,41,3998
2018-05-17,100000.0,100000.0,0,0.0,0,4028,30,4028
2018-05-18,100000.0,100000.0,0,0.0,0,4073,45,4073
2018-05-21,100000.0,100000.0,0,0.0,0,4101,28,4101
2018-05-22,100000.0,100000.0,0,0.0,0,4131,30,4131
2018-05-23,100000.0,100000.0,0,0.0,0,4189,58,4189
2018-05-24,100000.0,100000.0,0,0.0,0,4221,32,4221
2018-05-25,100000.0,100000.0,0,0.0,0,4253,32,4253
2018-05-29,100000.0,100000.0,0,0.0,0,4309,56,4309
2018-05-30,100000.0,100000.0,0,0.0,0,4347,38,4347
2018-05-31,100000.0,100000.0,0,0.0,0,4357,10,4357
2018-06-01,100000.0,100000.0,0,0.0,0,4389,32,4389
2018-06-04,100000.0,100000.0,0,0.0,0,4439,50,4439
2018-06-05,100000.0,100000.0,0,0.0,0,4481,42,4481
2018-06-06,100000.0,100000.0,0,0.0,0,4512,31,4512
2018-06-07,100000.0,100000.0,0,0.0,0,4542,30,4542
2018-06-08,100000.0,100000.0,0,0.0,0,4580,38,4580
2018-06-11,100000.0,100000.0,0,0.0,0,4628,48,4628
2018-06-12,100000.0,100000.0,0,0.0,0,4668,40,4668
2018-06-13,100000.0,100000.0,0,0.0,0,4737,69,4737
2018-06-14,100000.0,100000.0,0,0.0,0,4785,48,4785
2018-06-15,100000.0,100000.0,0,0.0,0,4831,46,4831
2018-06-18,100000.0,100000.0,0,0.0,0,4862,31,4862
2018-06-19,100000.0,100000.0,0,0.0,0,4883,21,4883
2018-06-20,100000.0,100000.0,0,0.0,0,4925,42,4925
2018-06-21,100000.0,100000.0,0,0.0,0,4976,51,4976
2018-06-22,100000.0,100000.0,0,0.0,0,5017,41,5017
2018-06-25,100000.0,100000.0,0,0.0,0,5070,53,5070
2018-06-26,100000.0,100000.0,0,0.0,0,5113,43,5113
2018-06-27,100000.0,100000.0,0,0.0,0,5164,51,5164
2018-06-28,100000.0,100000.0,0,0.0,0,5197,33,5197
2018-06-29,100000.0,100000.0,0,0.0,0,5229,32,5229
2018-07-02,100000.0,100000.0,0,0.0,0,5262,33,5262
2018-07-03,100000.0,100000.0,0,0.0,0,5296,34,5296
2018-07-05,100000.0,100000.0,0,0.0,0,5356,60,5356
2018-07-06,100000.0,100000.0,0,0.0,0,5390,34,5390
2018-07-09,100000.0,100000.0,0,0.0,0,5437,47,5437
2018-07-10,100000.0,100000.0,0,0.0,0,5472,35,5472
2018-07-11,100000.0,100000.0,0,0.0,0,5493,21,5493
2018-07-12,100000.0,100000.0,0,0.0,0,5555,62,5555
2018-07-13,100000.0,100000.0,0,0.0,0,5591,36,5591
2018-07-16,100000.0,100000.0,0,0.0,0,5621,30,5621
2018-07-17,100000.0,100000.0,0,0.0,0,5641,20,5641
2018-07-18,100000.0,100000.0,0,0.0,0,5675,34,5675
2018-07-19,100000.0,100000.0,0,0.0,0,5699,24,5699
2018-07-20,100000.0,100000.0,0,0.0,0,5728,29,5728
2018-07-23,100000.0,100000.0,0,0.0,0,5762,34,5762
2018-07-24,100000.0,100000.0,0,0.0,0,5799,37,5799
2018-07-25,100000.0,100000.0,0,0.0,0,5856,57,5856
2018-07-26,100000.0,100000.0,0,0.0,0,5856,0,5856
2018-07-27,100000.0,100000.0,0,0.0,0,5872,16,5872
2018-07-30,100000.0,100000.0,0,0.0,0,5915,43,5915
2018-07-31,100000.0,100000.0,0,0.0,0,5950,35,5950
2018-08-01,100000.0,100000.0,0,0.0,0,5994,44,5994
2018-08-02,100000.0,100000.0,0,0.0,0,6033,39,6033
2018-08-03,100000.0,100000.0,0,0.0,0,6066,33,6066
2018-08-06,100000.0,100000.0,0,0.0,0,6096,30,6096
2018-08-07,100000.0,100000.0,0,0.0,0,6116,20,6116
2018-08-08,100000.0,100000.0,0,0.0,0,6151,35,6151
2018-08-09,100000.0,100000.0,0,0.0,0,6200,49,6200
2018-08-10,100000.0,100000.0,0,0.0,0,6233,33,6233
2018-08-13,100000.0,100000.0,0,0.0,0,6271,38,6271
2018-08-14,100000.0,100000.0,0,0.0,0,6297,26,6297
2018-08-15,100000.0,100000.0,0,0.0,0,6352,55,6352
2018-08-16,100000.0,100000.0,0,0.0,0,6375,23,6375
2018-08-17,100000.0,100000.0,0,0.0,0,6419,44,6419
2018-08-20,100000.0,100000.0,0,0.0,0,6450,31,6450
2018-08-21,100000.0,100000.0,0,0.0,0,6486,36,6486
2018-08-22,100000.0,100000.0,0,0.0,0,6532,46,6532
2018-08-23,100000.0,100000.0,0,0.0,0,6568,36,6568
2018-08-24,100000.0,100000.0,0,0.0,0,6613,45,6613
2018-08-27,100000.0,100000.0,0,0.0,0,6658,45,6658
