side,entry_idx,entry_price,entry_reason,exit_idx,exit_price,pnl,return_pct,exit_reason
long,138367,309.54,OPEN_LONG mr=1.00 ret=0.76,139843.0,314.9,1731.6017316017242,1.7316017316017243,CLOSE_LONG mr=0.68 ret=0.32
long,140927,326.93,OPEN_LONG mr=0.99 ret=0.33,148789.0,312.06,-4627.133997335564,-4.548374269721343,CLOSE_LONG mr=0.67 ret=0.66
long,148828,312.7,OPEN_LONG mr=0.94 ret=0.47,153628.0,337.7,7763.388849877374,7.9948832747041925,CLOSE_LONG mr=0.69 ret=0.55
long,153668,338.63,OPEN_LONG mr=0.87 ret=0.60,156330.0,329.04,-2969.8572029705974,-2.8319995275078913,CLOSE_LONG mr=0.70 ret=0.40
short,156446,330.07,OPEN_SHORT mr=0.74 ret=0.35,156547.0,326.96,960.1077894854097,0.942224376647382,CLOSE_SHORT mr=0.75 ret=0.31
short,156591,328.54,OPEN_SHORT mr=0.83 ret=0.67,157731.0,332.28,-1170.9055847636773,-1.138369757107191,CLOSE_SHORT mr=0.74 ret=0.39
long,157770,332.88,OPEN_LONG mr=0.71 ret=0.81,168910.0,374.96,12854.474413405565,12.641192021148756,CLOSE_LONG mr=0.71 ret=0.44
short,169016,374.36,OPEN_SHORT mr=0.70 ret=0.55,169231.0,375.83,-449.7709790548397,-0.39267015706805936,CLOSE_SHORT mr=0.83 ret=0.82
long,169452,380.645,OPEN_LONG mr=0.98 ret=0.40,169639.0,380.11,-160.35720733446942,-0.14055090701309123,CLOSE_LONG mr=0.69 ret=0.61
short,169640,380.11,OPEN_SHORT mr=0.74 ret=0.59,170003.0,380.18,-20.981316847508424,-0.01841572176475846,CLOSE_SHORT mr=0.67 ret=0.44
long,170010,379.49,OPEN_LONG mr=0.65 ret=0.44,170019.0,379.95,138.07705232861917,0.12121531529157215,CLOSE_LONG mr=0.65 ret=0.30
long,170322,380.845,OPEN_LONG mr=0.75 ret=0.84,170363.0,382.73,564.486058865732,0.49495201459911703,CLOSE_LONG mr=0.67 ret=0.48
long,170373,382.34,OPEN_LONG mr=0.96 ret=0.51,170875.0,381.05,-386.7001548186381,-0.3373960349427112,CLOSE_LONG mr=0.70 ret=0.41
long,171042,378.27,OPEN_LONG mr=0.71 ret=1.01,172580.0,372.48,-1748.4099361028202,-1.5306527083828816,CLOSE_LONG mr=0.70 ret=0.51
short,172673,373.025,OPEN_SHORT mr=0.67 ret=0.51,172821.0,372.3,218.60884431161685,0.19435694658534258,CLOSE_SHORT mr=0.65 ret=0.69
long,172823,372.0,OPEN_LONG mr=0.70 ret=0.94,175187.0,359.33,-3838.3502186274563,-3.405913978494636,CLOSE_LONG mr=0.66 ret=0.55
short,175349,360.9,OPEN_SHORT mr=0.65 ret=0.43,175539.0,367.4,-1960.595200673677,-1.8010529232474302,CLOSE_SHORT mr=0.83 ret=0.55
