side,seen_idx,exec_px,qty,fee,reason,signal_ts,signal_dir,bsp_type,pred_ret,ret_th,daily_no_sell,daily_no_buy,daily_sig_dir,daily_sig_type,pnl,entry_px,entry_idx
buy,11681,150.37,665.0262685376072,0.0,OPEN_LONG pred_ret=3.57%,2019/01/02 04:00,buy,1,3.5675923824310303,2.3999999999999995,0,0,,,,,
sell,11746,150.99,665.0262685376072,0.0,CLOSE_LONG pred_ret=2.73%,2019/01/02 09:25,sell,3a,2.7270777225494385,-0.5,0,0,,,412.31628649331947,150.37,11681.0
buy,11831,152.96,656.4612727934971,0.0,OPEN_LONG pred_ret=2.76%,2019/01/02 16:30,buy,2s,2.759159564971924,2.3999999999999995,0,0,,,,,
sell,11864,151.45,656.4612727934971,0.0,CLOSE_LONG pred_ret=2.83%,2019/01/02 19:15,sell,2,2.8257834911346436,-0.5,0,0,,,-991.2565219181932,152.96,11831.0
buy,11879,150.76,659.4657718531117,0.0,OPEN_LONG pred_ret=3.98%,2019/01/03 04:30,buy,1p,3.981929302215576,2.499999999999999,0,0,,,,,
sell,11910,151.48,659.4657718531117,0.0,CLOSE_LONG pred_ret=2.88%,2019/01/03 07:05,sell,2s,2.8752927780151367,2.499999999999999,0,0,,,474.8153557342397,150.76,11879.0
buy,11947,150.83,662.3077313552301,0.0,OPEN_LONG pred_ret=3.19%,2019/01/03 10:10,buy,2s,3.185730457305908,2.499999999999999,0,0,,,,,
sell,11957,151.25,662.3077313552301,0.0,CLOSE_LONG pred_ret=2.58%,2019/01/03 11:00,sell,2,2.5758473873138428,2.499999999999999,0,0,,,278.16924716918834,150.83,11947.0
buy,12007,149.76,668.8971979666036,0.0,OPEN_LONG pred_ret=4.25%,2019/01/03 15:10,buy,1p,4.2495646476745605,2.499999999999999,0,0,,,,,
sell,12065,151.6,668.8971979666036,0.0,CLOSE_LONG pred_ret=3.19%,2019/01/04 04:00,sell,2s,3.185176134109497,-0.5,0,0,,,1230.7708442585529,149.76,12007.0
buy,12077,152.07,666.8298494886376,0.0,OPEN_LONG pred_ret=2.92%,2019/01/04 05:00,buy,2,2.9185445308685303,2.2999999999999994,0,0,,,,,
sell,12087,152.56,666.8298494886376,0.0,CLOSE_LONG pred_ret=3.63%,2019/01/04 05:50,sell,2s,3.627009868621826,-0.5,0,0,,,326.74662624943846,152.07,12077.0
buy,12102,152.34,667.7928438885817,0.0,OPEN_LONG pred_ret=2.40%,2019/01/04 07:05,buy,2s,2.4038772583007812,2.2999999999999994,0,0,,,,,
sell,12130,152.18,667.7928438885817,0.0,CLOSE_LONG pred_ret=5.30%,2019/01/04 09:25,sell,2,5.295155048370361,-0.5,0,0,,,-106.8468550221708,152.34,12102.0
buy,12202,155.8,652.2767328816711,0.0,OPEN_LONG pred_ret=3.24%,2019/01/04 15:25,buy,1p,3.2381513118743896,2.2999999999999994,0,0,,,,,
sell,12208,156.39,652.2767328816711,0.0,CLOSE_LONG pred_ret=5.59%,2019/01/04 15:55,sell,2s,5.587989330291748,-0.5,0,0,,,384.84327240016967,155.8,12202.0
buy,12255,156.19,653.1119678299798,0.0,OPEN_LONG pred_ret=2.81%,2019/01/07 04:20,buy,2,2.806495189666748,2.4499999999999993,0,0,,,,,
sell,12264,156.23,653.1119678299798,0.0,CLOSE_LONG pred_ret=5.82%,2019/01/07 05:10,sell,2s,5.817464351654053,-0.5,0,0,,,26.124478713193994,156.19,12255.0
buy,12269,156.17,653.3628912984424,0.0,OPEN_LONG pred_ret=3.04%,2019/01/07 05:35,buy,2s,3.0445988178253174,2.4499999999999993,0,0,,,,,
sell,12287,156.16,653.3628912984424,0.0,CLOSE_LONG pred_ret=5.66%,2019/01/07 07:15,sell,2s,5.659639358520508,-0.5,0,0,,,-6.5336289129784815,156.17,12269.0
buy,12477,159.03,641.5717104015894,0.0,OPEN_LONG pred_ret=3.00%,2019/01/08 07:40,buy,3a,3.0003321170806885,-0.5,0,0,,,,,
sell,12491,159.38,641.5717104015894,0.0,CLOSE_LONG pred_ret=3.96%,2019/01/08 08:50,sell,2,3.955038547515869,-0.5,0,0,,,224.55009864055262,159.03,12477.0
buy,12652,159.87,639.6052993294884,0.0,OPEN_LONG pred_ret=2.69%,2019/01/09 06:30,buy,1p,2.6894474029541016,-0.5,0,0,,,,,
sell,12657,160.04,639.6052993294884,0.0,CLOSE_LONG pred_ret=3.82%,2019/01/09 06:55,sell,2s,3.8235349655151367,-0.5,0,0,,,108.73290088600503,159.87,12652.0
buy,12682,160.08,639.445477915363,0.0,OPEN_LONG pred_ret=2.67%,2019/01/09 09:00,buy,2,2.6733126640319824,-0.5,0,0,,,,,
sell,12821,159.6,639.445477915363,0.0,CLOSE_LONG pred_ret=3.68%,2019/01/10 04:40,sell,3a,3.678753614425659,-0.5,0,0,,,-306.93382939938584,160.08,12682.0
buy,12836,159.5,639.8463841711093,0.0,OPEN_LONG pred_ret=2.78%,2019/01/10 05:55,buy,2,2.777517557144165,-0.5,0,0,,,,,
sell,12861,159.8,639.8463841711093,0.0,CLOSE_LONG pred_ret=3.73%,2019/01/10 08:00,sell,1p,3.726489782333374,-0.5,0,0,,,191.95391525134008,159.5,12836.0
buy,12871,159.6,640.648196682602,0.0,OPEN_LONG pred_ret=2.63%,2019/01/10 08:50,buy,2s,2.6339170932769775,-0.5,0,0,,,,,
sell,12889,159.89,640.648196682602,0.0,CLOSE_LONG pred_ret=3.61%,2019/01/10 10:20,sell,2,3.6059796810150146,-0.5,0,0,,,185.78797703794947,159.6,12871.0
buy,13016,160.71,637.3793800484178,0.0,OPEN_LONG pred_ret=2.34%,2019/01/11 05:35,buy,1p,2.3439083099365234,-0.5,0,0,,,,,
sell,13138,160.77,637.3793800484178,0.0,CLOSE_LONG pred_ret=3.63%,2019/01/11 15:55,sell,1p,3.627992630004883,-0.5,0,0,,,38.24276280290652,160.71,13016.0
buy,13155,160.75,637.4586807488904,0.0,OPEN_LONG pred_ret=2.16%,2019/01/11 17:20,buy,2s,2.1578609943389893,-0.5,0,0,,,,,
sell,13206,158.97,637.4586807488904,0.0,CLOSE_LONG pred_ret=3.55%,2019/01/14 06:30,sell,2,3.552687406539917,-0.5,0,0,,,-1134.6764517330257,160.75,13155.0
buy,13242,158.73,638.4225192380213,0.0,OPEN_LONG pred_ret=2.94%,2019/01/14 09:30,buy,1p,2.9408676624298096,2.499999999999999,0,0,,,,,
sell,13251,159.4399,638.4225192380213,0.0,CLOSE_LONG pred_ret=3.40%,2019/01/14 10:15,sell,2s,3.4023125171661377,-0.5,0,0,,,453.2161464070743,158.73,13242.0
buy,13299,159.44,638.4221188224924,0.0,OPEN_LONG pred_ret=2.53%,2019/01/14 14:15,buy,2,2.533616542816162,2.499999999999999,0,0,,,,,
sell,13305,159.63,638.4221188224924,0.0,CLOSE_LONG pred_ret=3.09%,2019/01/14 14:45,sell,2s,3.0893337726593018,-0.5,0,0,,,121.3002025762721,159.44,13299.0
buy,13317,159.37,639.4636558174967,0.0,OPEN_LONG pred_ret=2.81%,2019/01/14 15:45,buy,2s,2.8119287490844727,2.499999999999999,0,0,,,,,
sell,13352,159.37,639.4636558174967,0.0,CLOSE_LONG pred_ret=3.09%,2019/01/14 19:00,sell,2s,3.0939888954162598,-0.5,0,0,,,0.0,159.37,13317.0
buy,13556,162.31,627.8807394962384,0.0,OPEN_LONG pred_ret=0.97%,2019/01/16 04:25,buy,2s,0.9655458927154541,0.9499999999999997,0,0,,,,,
sell,13997,164.71,627.8807394962384,0.0,CLOSE_LONG pred_ret=1.85%,2019/01/18 10:35,sell,2,1.8501344919204712,1.4499999999999995,0,0,,,1506.9137747909758,162.31,13556.0
