date,p_day,buy_level,sell_level,chosen_action,reward_force_buy,reward_free,reward_force_sell,chosen_reward,best_action_ex_post,oracle_equity,close,buy_th_5m,sell_th_5m
2018-10-01,0.20080080462710656,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,186.26,0.3,0.3
2018-10-02,0.19879385202811184,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,185.71,0.3,0.3
2018-10-03,0.21672555241300484,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,185.58,0.3,0.3
2018-10-04,0.23552165594254315,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,182.6,0.3,0.3
2018-10-05,0.2316128127601963,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,180.31,0.3,0.3
2018-10-08,0.08601645203843138,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,179.29,0.3,0.3
2018-10-09,0.10531362841375135,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,179.76,0.3,0.3
2018-10-10,0.37731682209081335,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,170.42,0.3,0.3
2018-10-11,0.10160535336146359,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,171.72,0.3,0.3
2018-10-12,0.06914654099230921,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,174.97,0.3,0.3
2018-10-15,0.08884327946125753,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,172.52,0.3,0.3
2018-10-16,0.045307787421485335,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,178.5,0.3,0.3
2018-10-17,0.056771427180354994,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,176.97,0.3,0.3
2018-10-18,0.1280651975056887,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,173.61,0.3,0.3
