date,decision_date,result_date,p_day,p_day_source_date,daily_gate_mode,daily_reward_mode,direct_gate_confidence,direct_gate_prob_force_buy,direct_gate_prob_free,direct_gate_prob_force_sell,buy_level,sell_level,chosen_action,reward_force_buy,reward_free,reward_force_sell,chosen_reward,best_action_ex_post,oracle_equity,close,buy_th_5m,sell_th_5m
2012-02-10,2012-02-10,2012-02-13,0.1839651908343852,2012-02-10,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,135.21,0.3,0.3
2012-02-13,2012-02-13,2012-02-14,0.222945280679027,2012-02-13,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,135.25,0.3,0.3
2012-02-14,2012-02-14,2012-02-15,0.20134658609290576,2012-02-14,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,134.29,0.3,0.3
2012-02-15,2012-02-15,2012-02-16,0.1944558952413092,2012-02-15,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,136.03,0.3,0.3
2012-02-16,2012-02-16,2012-02-17,0.16720441501944364,2012-02-16,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,136.75,0.3,0.3
2012-02-17,2012-02-17,2012-02-21,0.20217086884165594,2012-02-17,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,136.41,0.3,0.3
2012-02-21,2012-02-21,2012-02-22,0.18629716168921848,2012-02-21,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,135.85,0.3,0.3
2012-02-22,2012-02-22,2012-02-23,0.19829204910037215,2012-02-22,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,137.03,0.3,0.3
2012-02-23,2012-02-23,2012-02-24,0.1831776407636646,2012-02-23,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,136.94,0.3,0.3
2012-02-24,2012-02-24,2012-02-27,0.1953654331446726,2012-02-24,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,137.18,0.3,0.3
2012-02-27,2012-02-27,2012-02-28,0.15874738957258014,2012-02-27,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,137.71,0.3,0.3
2012-02-28,2012-02-28,2012-02-29,0.17137279639945432,2012-02-28,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,136.85,0.3,0.3
2012-02-29,2012-02-29,2012-03-01,0.1754956102960704,2012-02-29,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,138.07,0.3,0.3
2012-03-01,2012-03-01,2012-03-02,0.185500300969504,2012-03-01,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,137.37,0.3,0.3
2012-03-02,2012-03-02,2012-03-05,0.18497770984040438,2012-03-02,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,136.94,0.3,0.3
2012-03-05,2012-03-05,2012-03-06,0.17371391767745847,2012-03-05,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,134.96,0.3,0.3
2012-03-06,2012-03-06,2012-03-07,0.164477163482605,2012-03-06,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,135.67,0.3,0.3
2012-03-07,2012-03-07,2012-03-08,0.17093714082910894,2012-03-07,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,136.94,0.3,0.3
2012-03-08,2012-03-08,2012-03-09,0.18121286320626515,2012-03-08,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,137.7,0.3,0.3
2012-03-09,2012-03-09,2012-03-12,0.19185857304994416,2012-03-09,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,137.79,0.3,0.3
2012-03-12,2012-03-12,2012-03-13,0.20319199645170727,2012-03-12,threshold,counterfactual_5m,,,,,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,140.04,0.3,0.3
2012-03-13,2012-03-13,2012-03-14,0.18791212189262171,2012-03-13,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,139.74,0.3,0.3
2012-03-14,2012-03-14,2012-03-15,0.17770229297970008,2012-03-14,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,140.59,0.3,0.3
2012-03-15,2012-03-15,2012-03-16,0.17752799991227106,2012-03-15,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,140.4,0.3,0.3
2012-03-16,2012-03-16,2012-03-19,0.17481657605108158,2012-03-16,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,140.88,0.3,0.3
2012-03-19,2012-03-19,2012-03-20,0.18901630642720144,2012-03-19,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,140.45,0.3,0.3
2012-03-20,2012-03-20,2012-03-21,0.19655202181509587,2012-03-20,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,140.34,0.3,0.3
2012-03-21,2012-03-21,2012-03-22,0.19107199961768906,2012-03-21,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,139.44,0.3,0.3
2012-03-22,2012-03-22,2012-03-23,0.19843190772687805,2012-03-22,threshold,counterfactual_5m,,,,,0.2,0.3,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,139.82,0.3,0.3
