date,equity,cash,pos,qty,entry_px,decision_date,result_date,buy_th,sell_th,p_day,p_day_source_date,daily_gate_mode,daily_reward_mode,direct_gate_confidence,direct_gate_prob_force_buy,direct_gate_prob_free,direct_gate_prob_force_sell,daily_action,daily_buy_level,daily_sell_level,decision_extreme_base_dir,decision_extreme_region,decision_extreme_label,decision_extreme_window_end_date,decision_extreme_ref_high,decision_extreme_ref_low,decision_extreme_future_max_high,decision_extreme_future_min_low
2012-02-13,100000.0,100000.0,0,0.0,,2012-02-10,2012-02-13,0.3,0.3,0.1839651908343852,2012-02-10,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_broken,0.0,2012-02-17,134.47,133.84,136.63,134.25
2012-02-14,100000.0,100000.0,0,0.0,,2012-02-13,2012-02-14,0.3,0.3,0.222945280679027,2012-02-13,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-02-21,135.52,134.74,137.05,134.25
2012-02-15,100000.0,100000.0,0,0.0,,2012-02-14,2012-02-15,0.3,0.3,0.20134658609290576,2012-02-14,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-02-22,135.27,134.25,137.05,134.29
2012-02-16,100000.0,100000.0,0,0.0,,2012-02-15,2012-02-16,0.3,0.3,0.1944558952413092,2012-02-15,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_broken,0.0,2012-02-23,135.83,134.29,137.05,134.33
2012-02-17,100000.0,100000.0,0,0.0,,2012-02-16,2012-02-17,0.3,0.3,0.16720441501944364,2012-02-16,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_broken,0.0,2012-02-24,136.17,134.33,137.2,135.5
2012-02-21,100000.0,100000.0,0,0.0,,2012-02-17,2012-02-21,0.3,0.3,0.20217086884165594,2012-02-17,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-02-27,136.63,135.96,137.53,135.5
2012-02-22,100000.0,100000.0,0,0.0,,2012-02-21,2012-02-22,0.3,0.3,0.18629716168921848,2012-02-21,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_broken,0.0,2012-02-28,137.05,136.05,137.72,135.5
2012-02-23,100000.0,100000.0,0,0.0,,2012-02-22,2012-02-23,0.3,0.3,0.19829204910037215,2012-02-22,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_broken,0.0,2012-02-29,136.55,135.79,138.19,135.5
2012-02-24,100000.0,100000.0,0,0.0,,2012-02-23,2012-02-24,0.3,0.3,0.1831776407636646,2012-02-23,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_broken,0.0,2012-03-01,136.73,135.5,138.19,135.8
2012-02-27,100000.0,100000.0,0,0.0,,2012-02-24,2012-02-27,0.3,0.3,0.1953654331446726,2012-02-24,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_broken,0.0,2012-03-02,137.2,136.63,138.19,135.8
2012-02-28,100000.0,100000.0,0,0.0,,2012-02-27,2012-02-28,0.3,0.3,0.15874738957258014,2012-02-27,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_broken,0.0,2012-03-05,137.53,135.8,138.19,136.28
2012-02-29,100000.0,100000.0,0,0.0,,2012-02-28,2012-02-29,0.3,0.3,0.17137279639945432,2012-02-28,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_broken,0.0,2012-03-06,137.72,136.93,138.19,134.36
2012-03-01,100000.0,100000.0,0,0.0,,2012-02-29,2012-03-01,0.3,0.3,0.1754956102960704,2012-02-29,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_held,1.0,2012-03-07,138.19,136.54,137.99,134.36
2012-03-02,100000.0,100000.0,0,0.0,,2012-03-01,2012-03-02,0.3,0.3,0.185500300969504,2012-03-01,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_held,1.0,2012-03-08,137.99,136.93,137.82,134.36
2012-03-05,100000.0,100000.0,0,0.0,,2012-03-02,2012-03-05,0.3,0.3,0.18497770984040438,2012-03-02,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_broken,0.0,2012-03-09,137.82,137.0,137.93,134.36
2012-03-06,100000.0,100000.0,0,0.0,,2012-03-05,2012-03-06,0.3,0.3,0.17371391767745847,2012-03-05,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_broken,0.0,2012-03-12,137.2,136.28,137.93,134.36
2012-03-07,100000.0,100000.0,0,0.0,,2012-03-06,2012-03-07,0.3,0.3,0.164477163482605,2012-03-06,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_broken,0.0,2012-03-13,135.43,134.36,140.13,134.93
2012-03-08,100000.0,100000.0,0,0.0,,2012-03-07,2012-03-08,0.3,0.3,0.17093714082910894,2012-03-07,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_broken,0.0,2012-03-14,135.91,134.93,140.45,136.24
2012-03-09,100000.0,100000.0,0,0.0,,2012-03-08,2012-03-09,0.3,0.3,0.18121286320626515,2012-03-08,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_broken,0.0,2012-03-15,137.32,136.24,140.78,137.09
2012-03-12,100000.0,100000.0,0,0.0,,2012-03-09,2012-03-12,0.3,0.3,0.19185857304994416,2012-03-09,threshold,counterfactual_5m,,,,,FORCE_BUY,0.2,0.3,sell,sell_high_broken,0.0,2012-03-16,137.93,137.13,140.78,137.09
2012-03-13,100000.0,100000.0,0,0.0,,2012-03-12,2012-03-13,0.3,0.3,0.20319199645170727,2012-03-12,threshold,counterfactual_5m,,,,,FREE,0.2,0.3,sell,sell_high_broken,0.0,2012-03-19,137.76,137.09,141.28,138.09
