side,seen_idx,exec_px,qty,fee,reason,ts,pred,th,gate,pnl,entry_px,entry_idx,exec_idx,exec_ts
buy,5455,141.48,706.8136839129206,0.0,ADAPTIVE_FORCE_BUY->first acceptable 5m signal,2012-03-27 13:20:00,0.9815279245376587,0.3,FORCE_BUY,,,,5456,2012-03-27 13:25:00
sell,5873,140.63,706.8136839129206,0.0,5m SELL signal,2012-03-30 04:00:00,1.3883687257766724,1.3700000000000017,FREE,-600.7916313259785,141.48,5455.0,5874,2012-03-30 04:05:00
buy,6002,140.67,706.6126990024457,0.0,5m BUY signal,2012-03-30 15:45:00,2.043128728866577,1.1050000000000013,FREE,,,,6003,2012-03-30 15:50:00
sell,6022,140.91,706.6126990024457,0.0,5m SELL signal,2012-03-30 17:25:00,1.3926429748535156,1.3700000000000017,FREE,169.58704776059338,140.67,6002.0,6023,2012-03-30 17:30:00
buy,6110,140.54,708.4729999746309,0.0,5m BUY signal,2012-04-02 09:30:00,1.0966628789901733,1.0600000000000014,FREE,,,,6111,2012-04-02 09:35:00
sell,6297,141.74,708.4729999746309,0.0,5m SELL signal,2012-04-03 10:45:00,1.7946546077728271,1.595000000000002,FREE,850.1675999695691,140.54,6110.0,6298,2012-04-03 10:50:00
buy,6410,140.29,715.7955878281003,0.0,5m BUY signal,2012-04-04 04:50:00,1.8063650131225586,1.0600000000000014,FREE,,,,6411,2012-04-04 04:55:00
sell,6587,140.1,715.7955878281003,0.0,5m SELL signal,2012-04-05 04:00:00,0.6773217916488647,-0.5,FREE,-136.00116168733743,140.29,6410.0,6588,2012-04-05 04:05:00
buy,6769,138.37,724.7449725714883,0.0,5m BUY signal,2012-04-09 04:00:00,2.3550145626068115,2.0950000000000024,FREE,,,,6770,2012-04-09 04:05:00
sell,7409,138.47,724.7449725714883,0.0,5m SELL signal,2012-04-12 12:25:00,0.6536449193954468,0.5000000000000009,FREE,72.47449725714472,138.37,6769.0,7410,2012-04-12 12:30:00
buy,7427,138.5,724.5879881008952,0.0,5m BUY signal,2012-04-12 13:55:00,2.366720676422119,2.2600000000000025,FREE,,,,7428,2012-04-12 14:00:00
