bsp2_bi_amp,bsp2_bi_amp_rate,bsp2_bi_klu_cnt,bsp2_break_bi_amp,bsp2_break_bi_amp_rate,bsp2_break_bi_bi_klu_cnt,bsp2_retrace_rate,bsp2s_bi_amp,bsp2s_bi_amp_rate,bsp2s_bi_klu_cnt,bsp2s_break_bi_amp,bsp2s_break_bi_amp_rate,bsp2s_break_bi_klu_cnt,bsp2s_lv,bsp2s_retrace_rate,bsp3_bi_amp,bsp3_bi_amp_rate,bsp3_bi_klu_cnt,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_d,kdj_j,kdj_k,macd_dea,macd_diff,macd_value,next_bi_return,ppo,rsi,timestamp,type,volume
,,,,,,,0.309906005859375,0.0014766570404041285,7,1.0800018310546875,0.005119219911862538,31,1.0,0.26842707582757597,0.309906005859375,0.0014766570404041285,7,0.0010212677132356324,0.309906005859375,,360,False,False,48.51366205121845,87.96146919649233,61.662931099643075,-0.07937159858022243,-0.0636808865984051,0.031381423963634664,0.0029732074471753656,-0.00030301628091530277,49.07269977526392,2025/07/01 19:34,"2s,3b",9242.0
,,,,,,,0.729888916015625,0.003447262696566005,11,1.510009765625,0.0072057923619183485,53,1.0,0.04297696038803557,0.729888916015625,0.003447262696566005,11,0.0013812079386414785,0.729888916015625,,461,True,False,57.31730211298748,5.6249097522570395,40.086504659410664,0.23300735455964577,0.19949758639313586,-0.06701953633301982,0.005402331758737985,0.0009449602898143237,52.30270063901906,2025/07/02 14:45,"2s,3b",9718.0
0.40838623046875,0.0019330940295245371,5,3.13958740234375,0.014643598375565212,77,0.13007640117420635,,,,,,,,,0.40838623046875,0.0019330940295245371,5,0.0015580087571805854,0.40838623046875,,646,False,False,20.799895820080017,71.0130625298208,37.53761805666028,-0.2007788020996278,-0.1794988790321952,0.04255984613486524,0.005521799928863519,-0.0008481630282855954,47.09470254584859,2025/07/02 17:51,"2,3b",36432.0
