side,seen_idx,exec_px,qty,fee,reason,signal_ts,signal_dir,bsp_type,pred_ret,pred_mr,ret_th,mr_th,pnl,entry_px,entry_idx
buy,13043,160.42,623.3636703652911,0.0,OPEN_LONG pred_ret=2.56% pred_mr=0.57,2019/01/11 08:00,buy,1p,2.561147928237915,0.5655279159545898,-0.5,0.5,,,
sell,13206,158.97,623.3636703652911,0.0,CLOSE_LONG pred_ret=3.55% pred_mr=0.72,2019/01/14 06:30,sell,2,3.552687406539917,0.7236375212669373,-0.5,0.4,-903.877322029665,160.42,13043.0
buy,13413,159.77,620.2423651371993,0.0,OPEN_LONG pred_ret=1.17% pred_mr=0.44,2019/01/15 08:25,buy,2s,1.173508644104004,0.4385533630847931,-0.5,0.4,,,
sell,13423,159.91,620.2423651371993,0.0,CLOSE_LONG pred_ret=1.20% pred_mr=0.88,2019/01/15 09:15,sell,2,1.2036676406860352,0.8799734115600586,1.1999999999999997,0.4,86.83393111919943,159.77,13413.0
buy,13723,161.95,612.4294943444862,0.0,OPEN_LONG pred_ret=0.88% pred_mr=0.43,2019/01/16 18:55,buy,2s,0.8768420815467834,0.42755451798439026,-0.5,0.4,,,
sell,14001,165.25,612.4294943444862,0.0,CLOSE_LONG pred_ret=2.59% pred_mr=0.97,2019/01/18 10:55,sell,1p,2.5851497650146484,0.9695296883583069,1.2499999999999996,0.9499999999999998,2021.0173313368114,161.95,13723.0
buy,14909,162.51,622.7553623803234,0.0,OPEN_LONG pred_ret=2.49% pred_mr=0.47,2019/01/28 09:30,buy,1p,2.4920475482940674,0.466757595539093,2.349999999999999,0.4,,,
sell,15038,162.69,622.7553623803234,0.0,CLOSE_LONG pred_ret=0.77% pred_mr=0.66,2019/01/29 04:15,sell,2,0.7715889811515808,0.6565588116645813,-0.5,0.4,112.09596522846246,162.51,14909.0
buy,16518,167.28,605.6675628028145,0.0,OPEN_LONG pred_ret=2.27% pred_mr=0.43,2019/02/08 04:50,buy,2s,2.271792411804199,0.43196994066238403,-0.5,0.4,,,
sell,16586,167.39,605.6675628028145,0.0,CLOSE_LONG pred_ret=1.15% pred_mr=0.46,2019/02/08 10:40,sell,2,1.1462106704711914,0.4642622470855713,-0.5,0.45,66.62343190830065,167.28,16518.0
buy,17598,171.98,589.5028104289051,0.0,OPEN_LONG pred_ret=0.35% pred_mr=0.50,2019/02/19 04:20,buy,3a,0.3545789122581482,0.499221533536911,0.24999999999999978,0.4,,,
sell,17759,172.28,589.5028104289051,0.0,CLOSE_LONG pred_ret=2.75% pred_mr=1.00,2019/02/19 19:05,sell,2,2.7525665760040283,1.0,-0.5,0.8999999999999999,176.85084312867824,171.98,17598.0
buy,17772,172.04,590.3251812409427,0.0,OPEN_LONG pred_ret=0.80% pred_mr=0.89,2019/02/20 04:35,buy,2s,0.8016391396522522,0.8876717686653137,-0.5,0.7999999999999999,,,
sell,17789,172.2,590.3251812409427,0.0,CLOSE_LONG pred_ret=0.93% pred_mr=0.43,2019/02/20 07:00,sell,2s,0.9267846345901489,0.43348371982574463,0.5499999999999998,0.4,94.45202899854881,172.04,17772.0
buy,18233,172.09,590.7025173437755,0.0,OPEN_LONG pred_ret=0.83% pred_mr=0.56,2019/02/22 14:40,buy,1p,0.833846390247345,0.5578962564468384,0.7999999999999998,0.55,,,
