date,equity,cash,pos,qty,has_buy_model,has_sell_model,bsp_rows,buy_ret_th,buy_mr_th,sell_ret_th,sell_mr_th
2018-10-01,100000.0,100000.0,0,0.0,0,0,3,0.3,0.7,0.3,0.7
2018-10-02,100000.0,100000.0,0,0.0,0,0,24,0.3,0.7,0.3,0.7
2018-10-03,100000.0,100000.0,0,0.0,0,0,65,0.3,0.7,0.3,0.7
2018-10-04,100000.0,100000.0,0,0.0,0,0,105,0.3,0.7,0.3,0.7
2018-10-05,100000.0,100000.0,0,0.0,0,0,151,0.3,0.7,0.3,0.7
2018-10-08,100000.0,100000.0,0,0.0,0,0,202,0.3,0.7,0.3,0.7
2018-10-09,100000.0,100000.0,0,0.0,0,0,233,0.3,0.7,0.3,0.7
2018-10-10,100000.0,100000.0,0,0.0,0,0,262,0.3,0.7,0.3,0.7
2018-10-11,100000.0,100000.0,0,0.0,0,0,316,0.3,0.7,0.3,0.7
2018-10-12,100000.0,100000.0,0,0.0,0,0,341,0.3,0.7,0.3,0.7
2018-10-15,100000.0,100000.0,0,0.0,0,0,364,0.3,0.7,0.3,0.7
2018-10-16,100000.0,100000.0,0,0.0,0,0,406,0.3,0.7,0.3,0.7
2018-10-17,100000.0,100000.0,0,0.0,0,0,417,0.3,0.7,0.3,0.7
2018-10-18,100000.0,100000.0,0,0.0,0,0,449,0.3,0.7,0.3,0.7
2018-10-19,100000.0,100000.0,0,0.0,0,0,490,0.3,0.7,0.3,0.7
2018-10-22,100000.0,100000.0,0,0.0,0,0,528,0.3,0.7,0.3,0.7
2018-10-23,100000.0,100000.0,0,0.0,0,0,572,0.3,0.7,0.3,0.7
2018-10-24,100000.0,100000.0,0,0.0,0,0,624,0.3,0.7,0.3,0.7
2018-10-25,100000.0,100000.0,0,0.0,0,0,675,0.3,0.7,0.3,0.7
2018-10-26,100000.0,100000.0,0,0.0,1,0,740,-0.5,0.6499999999999999,0.3,0.7
2018-10-29,100000.0,100000.0,0,0.0,1,0,803,-0.5,0.8999999999999999,0.3,0.7
2018-10-30,100000.0,100000.0,0,0.0,1,0,859,2.499999999999999,0.8499999999999999,0.3,0.7
2018-10-31,100000.0,100000.0,0,0.0,1,1,898,-0.5,0.9499999999999998,-0.5,0.5
2018-11-01,100000.0,100000.0,0,0.0,1,1,953,-0.5,0.8999999999999999,-0.5,0.5
2018-11-02,100000.0,100000.0,0,0.0,1,1,994,-0.5,0.4,-0.5,0.4
2018-11-05,100000.0,100000.0,0,0.0,1,1,1025,-0.5,0.4,-0.5,0.4
2018-11-06,100000.0,100000.0,0,0.0,1,1,1065,-0.5,0.5,1.6499999999999995,0.6
2018-11-07,100000.0,100000.0,0,0.0,1,1,1106,-0.5,0.5,2.3999999999999995,0.8499999999999999
