bsp1_bi_amp,bsp1_bi_amp_rate,bsp1_bi_klu_cnt,bsp_bi_amp,bsp_type,chain_id,chain_type,direction,divergence_rate,is_buy,is_mature,is_segbsp,kdj_d,kdj_j,kdj_k,klu_close,klu_idx,macd_dea,macd_diff,macd_value,mature_rate,next_bi_return,parent_idx,point_index,ppo,rsi,timestamp,volume
3.56500244140625,0.01228104241153256,5,3.56500244140625,1p,0,1p,sell,1.7724392547248597,False,0,False,61.365405581511716,105.7495101787281,76.16010711391718,293.7300109863281,19,0.08652765421682881,0.2937261921648542,0.41439707589605074,1,,221,0,0.001006569580800955,60.673676533611285,2025/07/14 15:05,43933.0
4.095001220703125,0.01410683007748375,6,4.095001220703125,1p,0,1p,sell,2.5121872249872643,False,0,False,68.94584974632272,114.42851473518888,84.10673807594478,294.3800048828125,20,0.15994646373053906,0.4536217017853801,0.587350476109682,1,,221,1,0.0015535012993766995,63.32310770387803,2025/07/14 15:10,61812.0
4.524993896484375,0.015588107685202541,7,4.524993896484375,1p,0,1p,sell,2.8355416264940643,False,0,False,73.58004339027514,101.38520525398971,82.84843067818,293.9200134277344,21,0.23536357264994553,0.5370320083275715,0.6033368713552518,1,,221,2,0.0018382579034998188,60.23059415709082,2025/07/14 15:15,63645.0
4.54498291015625,0.015656967644965197,9,4.54498291015625,1p,0,1p,sell,2.8355416264940643,False,0,False,81.45330676931658,101.96300757844932,88.28987370569416,294.4200134277344,23,0.3979904882288797,0.717022711973641,0.6380644474895225,1,,221,3,0.0024515399997727593,61.85772487587961,2025/07/14 15:25,42094.0
4.54498291015625,0.015656967644965197,11,4.54498291015625,1p,0,1p,sell,2.8355416264940643,False,0,False,82.61125344617004,77.60285829547462,80.94178839593823,293.79998779296875,25,0.5204795172910247,0.7291293830597851,0.41729973153752087,1,,221,4,0.002491053125640919,57.31392985586897,2025/07/14 15:35,70314.0
4.894989013671875,0.016862700283923806,12,4.894989013671875,1p,0,1p,sell,2.8355416264940643,False,0,False,81.54952661355843,75.1791656178888,79.42607294833522,294.5400085449219,26,0.5691429582501901,0.7637967220868518,0.38930752767332333,1,,221,5,0.0026082782085792215,61.055559635521824,2025/07/14 15:40,46599.0
4.92498779296875,0.01696604278842257,15,4.92498779296875,1p,0,1p,sell,2.8355416264940643,False,0,False,81.41674480486887,93.14647082358516,85.3266534777743,295.20001220703125,29,0.6901640663647061,0.8511771215074759,0.32202611028553974,1,,221,6,0.002902544331440278,64.17495024433258,2025/07/14 15:55,20434.0
5.635009765625,0.0194119906110759,16,5.635009765625,1p,0,1p,sell,2.8355416264940643,False,0,False,83.59922444855347,96.69410231066107,87.96418373592267,295.7749938964844,30,0.7364284550903372,0.9214860099928615,0.3701151098050486,1,,221,7,0.003140298899506056,66.89352852529521,2025/07/14 16:00,31041.0
5.881195068359375,0.020260071978106947,17,5.881195068359375,1p,0,1p,sell,2.8355416264940643,False,0,False,85.87478729040178,99.52816434149165,90.42591297409841,296.05499267578125,31,0.7868239923465269,0.9884061413712857,0.4031642980495176,1,,221,8,0.0033661306761062016,68.16061573721989,2025/07/14 16:05,29889.0
6.144989013671875,0.021168813187554873,18,6.144989013671875,1p,0,1p,sell,2.8355416264940643,False,0,False,88.1418199219827,101.74401571146822,92.67588518514455,296.3550109863281,32,0.8401603220141055,1.0535056406844205,0.42669063734063006,1,,221,9,0.003585372268910402,69.50730004376392,2025/07/14 16:10,24118.0
6.614898681640625,0.02278760045537985,19,6.614898681640625,1p,0,1p,sell,2.8355416264940643,False,0,False,90.14729472099776,102.1801435150881,94.15824431902787,296.80999755859375,33,0.8978880545640028,1.1287989847635913,0.46182186039917705,1,,221,10,0.003838736850142102,71.47755908848244,2025/07/14 16:15,36073.0
