entry_idx,entry_klu_idx,entry_timestamp,direction,entry_price,predicted_profit,position_size,shares,model_used,exit_idx,exit_klu_idx,exit_timestamp,exit_price,exit_predicted_profit,actual_profit,trade_profit,trade_return_pct,model_used_exit
11,140651.0,2024-12-18 15:00:00,buy,595.09,1.511773,10000.0,16.804180880202992,buy_model,35,140777.0,2024-12-19 09:30:00,592.76,1.532647,2.527161076995752,-39.153741450872985,-0.3915374145087299,sell_model
90,140904.0,2024-12-20 04:05:00,buy,580.11,1.5963622,9960.846258549125,17.17061636336061,buy_model,106,140994.0,2024-12-20 11:35:00,594.32,2.0811105,1.0179701171086395,243.9944585233552,2.449535432935142,sell_model
115,141041.0,2024-12-20 15:30:00,buy,590.14,1.7400283,10204.84071707248,17.292236955760465,buy_model,216,141502.0,2024-12-26 10:30:00,600.37,1.5087413,1.5540416743008547,176.89958405742982,1.7334869691937533,sell_model
