date,equity,cash,pos,qty,has_model,bsp_count,mr_th,ret_th_buy,ret_th_sell
2020-12-31,100000.0,100000.0,0,0.0,0,0,0.65,0.3,0.3
2021-01-04,100000.0,100000.0,0,0.0,0,38,0.65,0.3,0.3
2021-01-05,100604.1222459133,0.0,1,323.06002455256186,1,57,0.5,-0.4,-0.3
2021-01-06,99983.84699877237,0.0,1,323.06002455256186,1,28,0.5,0.1,0.0
2021-01-07,101964.20494927958,0.0,1,323.06002455256186,1,28,0.75,0.0,-0.1
2021-01-08,103133.68223815985,0.0,1,323.06002455256186,1,42,0.7,-0.5,0.1
2021-01-11,101876.97874265039,0.0,1,323.06002455256186,1,54,0.5,-0.5,0.0
2021-01-12,101502.22911416941,0.0,1,323.06002455256186,1,34,0.55,0.0,-0.1
2021-01-13,102319.5709762874,0.0,1,323.06002455256186,1,35,0.5,-0.1,0.1
2021-01-14,101528.07391613361,0.0,1,323.06002455256186,1,45,0.55,-0.3,0.1
2021-01-15,101373.0051043484,101373.0051043484,0,0.0,1,48,0.8,0.1,-0.5
2021-01-19,101373.0051043484,101373.0051043484,0,0.0,1,50,0.8,0.1,-0.5
2021-01-20,101373.0051043484,101373.0051043484,0,0.0,1,66,0.65,0.3,0.3
2021-01-21,101373.0051043484,101373.0051043484,0,0.0,1,31,0.65,0.3,0.3
2021-01-22,101587.37690097718,202746.0102086968,-1,310.6837632300971,1,44,0.65,-0.5,-0.4
2021-01-25,100959.79569925238,202746.0102086968,-1,310.6837632300971,1,50,0.7,0.0,-0.3
2021-01-26,100108.52218800191,202746.0102086968,-1,310.6837632300971,1,43,0.7,-0.2,0.1
2021-01-27,104197.12051211,202746.0102086968,-1,310.6837632300971,1,51,0.75,-0.3,0.1
2021-01-28,103333.41965033032,202746.0102086968,-1,310.6837632300971,1,42,0.6,-0.1,0.0
2021-01-29,105287.62052104763,202746.0102086968,-1,310.6837632300971,1,46,0.7,-0.3,0.3
2021-02-01,102379.62049721392,202746.0102086968,-1,310.6837632300971,1,52,0.75,0.0,0.2
2021-02-02,101353.7954323495,0.0,1,307.41217904867915,1,40,0.5,-0.5,0.0
2021-02-03,100554.52376682295,0.0,1,307.41217904867915,1,43,0.7,-0.5,0.1
2021-02-04,101476.760303969,0.0,1,307.41217904867915,1,36,0.8,-0.5,0.3
2021-02-05,101925.58208538005,0.0,1,307.41217904867915,1,36,0.8,-0.1,0.4
2021-02-08,102438.96042439136,0.0,1,307.41217904867915,1,45,0.8,-0.2,0.3
2021-02-09,102546.5546870584,0.0,1,307.41217904867915,1,31,0.8,0.0,-0.4
2021-02-10,102036.25046983759,0.0,1,307.41217904867915,1,28,0.7,0.2,-0.5
2021-02-11,102829.37389178318,0.0,1,307.41217904867915,1,52,0.7,0.0,-0.4
2021-02-12,102245.6706321644,205701.78548863315,-1,307.21934627013735,1,34,0.65,0.2,-0.5
2021-02-16,102976.85267628732,205701.78548863315,-1,307.21934627013735,1,47,0.75,0.2,-0.5
2021-02-17,103504.86204719373,0.0,1,309.59817554197696,1,43,0.55,-0.5,-0.1
2021-02-18,102814.45811573512,0.0,1,309.59817554197696,1,50,0.8,0.0,-0.5
2021-02-19,102467.70815912812,0.0,1,309.59817554197696,1,48,0.8,0.4,-0.1
2021-02-22,99662.74868871781,0.0,1,309.59817554197696,1,37,0.6,0.1,0.0
2021-02-23,99381.0143489746,0.0,1,309.59817554197696,1,37,0.65,0.3,0.3
2021-02-24,100504.85572619198,0.0,1,309.59817554197696,1,56,0.8,-0.2,-0.3
2021-02-25,96415.06382728247,0.0,1,309.59817554197696,1,56,0.8,-0.4,-0.1
2021-02-26,97213.82712018077,0.0,1,309.59817554197696,1,45,0.75,0.2,-0.4
2021-03-01,100538.9115255016,0.0,1,309.59817554197696,1,52,0.8,0.2,-0.4
