bsp1_bi_amp,bsp1_bi_amp_rate,bsp1_bi_klu_cnt,bsp2s_bi_amp,bsp2s_bi_amp_rate,bsp2s_bi_klu_cnt,bsp2s_break_bi_amp,bsp2s_break_bi_amp_rate,bsp2s_break_bi_klu_cnt,bsp2s_lv,bsp2s_retrace_rate,bsp_bi_amp,bsp_type,chain_id,chain_type,direction,divergence_rate,is_buy,is_mature,is_segbsp,kdj_d,kdj_j,kdj_k,klu_close,klu_idx,macd_dea,macd_diff,macd_value,mature_rate,next_bi_return,parent_idx,point_index,ppo,rsi,timestamp,volume,zs_cnt
,,,0.23000335693359375,0.004001798399997451,6,0.9399986267089844,0.016068352593315974,44,1.0,0.1542560314915894,0.23000335693359375,2s,8,2s,sell,,False,0,False,47.851437750946154,97.8633181235224,64.52206454180491,57.66999816894531,148,-0.028832754497029028,-0.01724989996671411,0.023165709060629834,0.223304,,238,0,-0.0002993025873671241,53.8528942205109,2025/07/15 19:20,10066.0,
,,,0.24500274658203125,0.0042627708236016235,11,0.9399986267089844,0.016068352593315974,44,1.0,0.17021285230201083,0.24500274658203125,2s,8,2s,sell,,False,0,False,60.67933873482709,84.17491353346706,68.51119700104041,57.70500183105469,153,-0.01789823185535467,-0.006162220574793764,0.02347202256112181,0.237866,,238,1,-0.00010692224198527667,57.321136585649924,2025/07/15 19:45,33782.0,
,,,0.29000091552734375,0.005045688094414142,14,0.9399986267089844,0.016068352593315974,44,1.0,0.21808331473327516,0.29000091552734375,2s,8,2s,sell,,False,0,False,62.72281087351739,84.34092213037903,69.92884795913794,57.76499938964844,156,-0.010368689315081444,0.004208624849887599,0.029154628329938086,0.281554,,238,2,7.301636548926615e-05,59.958190428777385,2025/07/16 13:30,11284.0,
,,,0.30500030517578125,0.005306660518018314,15,0.9399986267089844,0.016068352593315974,44,1.0,0.2340401355436966,0.30500030517578125,2s,8,2s,sell,,False,0,False,68.46606235104224,102.92557121619137,79.95256530609196,57.779998779296875,157,-0.005340720858535738,0.014771152967647083,0.040223747652365645,0.296116,,238,3,0.0002562217354172054,60.89596462041317,2025/07/16 13:35,8158.0,
,,,0.37000274658203125,0.006451660966460064,8,0.9399986267089844,0.016068352593315974,44,2.0,0.17021285230201083,0.37000274658203125,2s,8,2s,sell,,False,0,False,47.550318333429374,86.84265464992546,60.647763772261406,57.650001525878906,185,-0.02563368619655589,-0.013013065987735217,0.025241240417641343,0.359225,,238,4,-0.0002260780427832653,54.532611503762645,2025/07/16 15:55,17885.0,
,,,0.4099998474121094,0.007149082098007724,19,0.9399986267089844,0.016068352593315974,44,2.0,0.21276302173163159,0.4099998474121094,2s,8,2s,sell,,False,0,False,67.47009122071033,91.51134438008185,75.48384227383417,57.75,196,0.013155517423990168,0.02972213285605818,0.033133230864136026,0.398057,,238,5,0.0005159162453846701,59.1234109738815,2025/07/16 16:50,5934.0,
,,,0.4200019836425781,0.007323487267956981,20,0.9399986267089844,0.016068352593315974,44,2.0,0.22340360773491874,0.4200019836425781,2s,8,2s,sell,,False,0,False,72.81247787778739,104.86679782024976,83.49725119194152,57.76900100708008,197,0.018084959766603282,0.037802729137055735,0.039435538740904906,0.407768,,238,6,0.0006560452916392702,60.10836207042432,2025/07/16 16:55,4973.0,
,,,0.4500007629394531,0.007846569745638507,21,0.9399986267089844,0.016068352593315974,44,2.0,0.2553172493557616,0.4500007629394531,2s,8,2s,sell,,False,0,False,78.20770773895637,110.57908690597031,88.99816746129434,57.79999923706055,198,0.02370310252968383,0.04617567358200603,0.04494514210464439,0.436893,,238,7,0.0008011698880918856,61.72853032730516,2025/07/16 17:00,23302.0,
,,,0.5,0.008718396047135426,22,0.9399986267089844,0.016068352593315974,44,2.0,0.3085080047886695,0.5,2s,8,2s,sell,,False,0,False,82.64387220094056,109.26085897284577,91.51620112490896,57.84000015258789,199,0.03004256412636024,0.05540041051306588,0.05071569277341128,0.485436,,238,8,0.0009609706527843176,63.77321242133066,2025/07/16 17:05,5940.0,
,,,0.5800018310546875,0.010113371342396992,23,0.9399986267089844,0.016068352593315974,44,2.0,0.39361646003692957,0.5800018310546875,2s,8,2s,sell,,False,0,False,86.54395949505125,109.94448325971538,94.34413408327264,57.93000030517578,200,0.0378692361310247,0.06917592414968254,0.06261337603731569,0.563107,,238,9,0.001199488690413384,67.92534020019437,2025/07/16 17:10,7303.0,
