date,equity,cash,pos,buy_th,sell_th,p_day,daily_action,daily_buy_level,daily_sell_level,QQQ,Return %,QQQ %,date,Return %,QQQ %,date,Return %,QQQ %,date,Return %,QQQ %
12/31/2019,100000,100000,0,1.8,0.9,0.148265485,FORCE_BUY,0.18,0.225,212.61,0.00%,0.00%,12/31/2019,0.00%,0.00%,1/3/2023,0.00%,0.00%,1/2/2026,0.00%,0.00%
1/2/2020,100000,100000,0,1.8,0.9,0.144162937,FORCE_BUY,0.18,0.2,216.16,0.00%,1.67%,1/2/2020,0.00%,1.67%,1/4/2023,2.43%,0.48%,1/5/2026,0.06%,0.79%
1/3/2020,100000,100000,0,1.8,0.9,0.219275426,FORCE_SELL,0.18,0.2,214.18,0.00%,0.74%,1/3/2020,0.00%,0.74%,1/5/2023,1.10%,-1.10%,1/6/2026,1.11%,1.68%
1/6/2020,100000,100000,0,1.8,0.9,0.198475363,FREE,0.18,0.2,215.56,0.00%,1.39%,1/6/2020,0.00%,1.39%,1/6/2023,4.04%,1.63%,1/7/2026,0.52%,1.78%
1/7/2020,99548.91458,0,1,1.85,-0.5,0.172963142,FORCE_BUY,0.18,0.2,215.53,-0.45%,1.37%,1/7/2020,-0.45%,1.37%,1/9/2023,4.43%,2.29%,1/8/2026,-0.03%,1.20%
1/8/2020,101570.5346,101570.5346,0,1.75,-0.5,0.18795514,FREE,0.18,0.2,217.15,1.57%,2.14%,1/8/2020,1.57%,2.14%,1/10/2023,5.58%,3.16%,1/9/2026,0.12%,2.21%
1/9/2020,101570.5346,101570.5346,0,1.25,-0.5,0.142570845,FORCE_BUY,0.18,0.2,218.99,1.57%,3.00%,1/9/2020,1.57%,3.00%,1/11/2023,7.30%,4.94%,1/12/2026,-0.16%,2.29%
1/10/2020,101398.7274,0,1,1.2,-0.5,0.182990277,FREE,0.18,0.2,218.43,1.40%,2.74%,1/10/2020,1.40%,2.74%,1/12/2023,7.38%,5.51%,1/13/2026,-0.04%,2.14%
1/13/2020,102866.0534,0,1,-0.5,-0.5,0.12800792,FORCE_BUY,0.18,0.2,220.95,2.87%,3.92%,1/13/2020,2.87%,3.92%,1/13/2023,7.38%,6.23%,1/14/2026,-1.10%,1.05%
1/14/2020,102044.1651,0,1,2.25,1.8,0.176767041,FORCE_BUY,0.18,0.2,220.08,2.04%,3.51%,1/14/2020,2.04%,3.51%,1/17/2023,7.40%,6.45%,1/15/2026,-0.46%,1.41%
1/15/2020,102499.23,0,1,2.3,1.7,0.184167375,FREE,0.175,0.195,220.17,2.50%,3.56%,1/15/2020,2.50%,3.56%,1/18/2023,6.62%,5.07%,1/16/2026,-0.96%,1.33%
