date,chosen_action,reward_force_buy,reward_free,reward_force_sell,chosen_reward,best_action_ex_post,oracle_equity,p_day,close
2019-01-02,FORCE_BUY,0.005985236416838452,-0.011407497605047102,0.0,0.005985236416838452,FORCE_BUY,100598.52364168385,0.3149813313513515,154.88
2019-01-03,FREE,-0.00947773064687175,0.006823134245551477,0.00026511134676550244,0.006823134245551477,FREE,101284.92087339536,0.3686897139293066,149.82
2019-01-04,FORCE_SELL,0.03197521097046403,0.008490379830913268,-0.0005274261603377155,-0.0005274261603377155,FORCE_BUY,104523.52758644894,0.38818311792254767,156.23
2019-01-07,FORCE_SELL,0.013829310455214818,0.0085404366759545,0.0,0.0,FORCE_BUY,105969.01589931615,0.39484742303792286,158.09
2019-01-08,FORCE_BUY,0.0042130415644845935,0.002200842608312926,0.0,0.0042130415644845935,FORCE_BUY,106415.46776784748,0.3904579714262406,159.52
2019-01-09,FREE,-0.0008124999999999986,0.00037496876561701184,0.000624999999999988,0.00037496876561701184,FORCE_SELL,106481.9774352024,0.44475471178632625,160.82
2019-01-10,FREE,0.009848199723999503,0.004834610101114871,0.0011290929619871889,0.004834610101114871,FORCE_BUY,107530.63321599067,0.36786726868154557,161.28
2019-01-11,FORCE_BUY,-6.222388152574597e-05,6.218517304572379e-05,0.0,-6.222388152574597e-05,FREE,107537.32002702494,0.3566127934656948,160.69
2019-01-14,FORCE_SELL,0.0010658307210031318,0.0012600768854053705,-0.003322884012539209,-0.003322884012539209,FREE,107672.82531830943,0.43009054564084653,159.27
2019-01-15,FREE,0.01690881763527051,0.005840162406355947,0.0,0.005840162406355947,FORCE_BUY,109493.44548589106,0.4261774273443481,162.38
2019-01-16,FORCE_BUY,-0.003936039360393411,-0.0013756260871711913,0.0,-0.003936039360393411,FORCE_SELL,109493.44548589106,0.46293105237369375,162.35
2019-01-17,FORCE_SELL,0.013119623739092826,0.007426202116467612,0.007426202116467612,0.007426202116467612,FORCE_BUY,110929.95829256283,0.45293517819217444,163.63
2019-01-18,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,110929.95829256283,0.38651682684202204,165.25
2019-01-22,FORCE_SELL,0.0018875514435125178,0.0018875514435125178,0.0,0.0,FORCE_BUY,111139.34429546676,0.39918545379951426,161.94
2019-01-23,FORCE_BUY,2.8972053064394414e-05,-0.0042860145735591215,0.0,2.8972053064394414e-05,FORCE_BUY,111142.56423044723,0.4081003204336293,162.15
2019-01-24,FREE,0.0016612317725959187,0.00012305420537759564,0.00012305420537759564,0.00012305420537759564,FORCE_BUY,111327.19778943463,0.3619909089008128,163.2
2019-01-25,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,111327.19778943463,0.43105439473378854,165.15
2019-01-28,FORCE_SELL,-0.002092178942834252,0.004803358004302274,0.0,0.0,FREE,111861.94217603306,0.3747692840695071,163.11
2019-01-29,FORCE_BUY,0.0038850902712151704,6.17661410368565e-05,0.0,0.0038850902712151704,FORCE_BUY,112296.53591930038,0.4205844922634196,161.57
2019-01-30,FREE,0.02445769065322945,0.005469182080747332,0.005469182080747332,0.005469182080747332,FORCE_BUY,115043.0498562439,0.47411848630411413,165.68
2019-01-31,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,115043.0498562439,0.44892068994155787,168.16
2019-02-01,FORCE_BUY,0.0011366355587461195,0.0011366355587461195,0.0,0.0011366355587461195,FORCE_BUY,115173.81187749711,0.4654496594604125,167.45
