date,equity,cash,pos,buy_th,sell_th,p_day,daily_action
2012-01-03,100317.34837799717,0.0,1,0.3,0.3,0.242041881665375,FORCE_BUY
2012-01-04,100421.89502935218,100421.89502935218,0,2.1499999999999995,1.6999999999999993,0.23740916937489454,FREE
2012-01-05,100421.89502935218,100421.89502935218,0,1.3999999999999995,1.6499999999999995,0.23072523638520281,FORCE_SELL
2012-01-06,100421.89502935218,100421.89502935218,0,-0.5,2.3999999999999995,0.24175774478783765,FORCE_BUY
2012-01-09,100421.89502935218,100421.89502935218,0,-0.5,2.3999999999999995,0.22405359849552112,FREE
2012-01-10,100421.89502935218,100421.89502935218,0,1.9999999999999996,-0.5,0.2319851197982793,FORCE_SELL
2012-01-11,100977.8639983728,0.0,1,1.9999999999999996,-0.5,0.2297802693910621,FORCE_BUY
2012-01-12,101377.4666948564,101377.4666948564,0,-0.5,-0.5,0.22562492044925786,FREE
2012-01-13,101377.4666948564,101377.4666948564,0,1.3999999999999995,-0.5,0.22526059474919927,FORCE_SELL
2012-01-17,101377.4666948564,101377.4666948564,0,1.3999999999999995,-0.5,0.2337566535503773,FORCE_SELL
2012-01-18,102515.57059039315,0.0,1,1.3999999999999995,-0.5,0.226839667645212,FORCE_BUY
2012-01-19,102722.49857139983,102722.49857139983,0,-0.5,2.4499999999999993,0.22834938129948953,FORCE_SELL
2012-01-20,102722.49857139983,102722.49857139983,0,-0.5,2.4499999999999993,0.2234743602342103,FREE
2012-01-23,102946.33237653362,0.0,1,2.499999999999999,0.9999999999999996,0.22075337014503418,FORCE_BUY
2012-01-24,102806.86669795027,102806.86669795027,0,2.349999999999999,-0.5,0.2155992341670371,FORCE_SELL
2012-01-25,102910.76545417856,0.0,1,2.349999999999999,0.5499999999999998,0.23236727299675866,FREE
2012-01-26,103183.51222364466,103183.51222364466,0,2.499999999999999,0.8499999999999996,0.2420810506834212,FORCE_SELL
2012-01-27,103716.09445456922,0.0,1,2.4499999999999993,-0.5,0.20992464670788236,FORCE_BUY
2012-01-30,103509.93359098553,103509.93359098553,0,-0.5,0.8499999999999996,0.220296764180102,FORCE_SELL
2012-01-31,102930.42795257067,102930.42795257067,0,1.2999999999999996,0.9499999999999997,0.22896408851700698,FREE
2012-02-01,102930.42795257067,102930.42795257067,0,1.2999999999999996,0.9499999999999997,0.21501260588222412,FREE
2012-02-02,102930.42795257067,102930.42795257067,0,1.2999999999999996,0.9499999999999997,0.20733362471678396,FORCE_SELL
2012-02-03,102930.42795257067,102930.42795257067,0,1.2999999999999996,0.9499999999999997,0.22874667523439937,FORCE_BUY
2012-02-06,103337.34668912976,103337.34668912976,0,-0.5,1.9999999999999996,0.21079072713797786,FREE
2012-02-07,103337.34668912976,103337.34668912976,0,2.0999999999999996,1.3499999999999996,0.21404355905804562,FORCE_SELL
2012-02-08,103737.683680827,0.0,1,1.9999999999999996,1.6999999999999993,0.2245421524405393,FREE
2012-02-09,104586.35578023703,0.0,1,1.9499999999999993,1.7999999999999994,0.22291663496118422,FORCE_BUY
2012-02-10,103937.37123362937,103937.37123362937,0,1.9499999999999993,1.7999999999999994,0.21294191846666544,FREE
2012-02-13,103937.37123362937,103937.37123362937,0,1.9499999999999993,1.7999999999999994,0.19270674159453802,FORCE_SELL
2012-02-14,104349.1674746501,0.0,1,1.8999999999999995,0.5999999999999996,0.20065444548843844,FORCE_BUY
2012-02-15,103113.77875158793,0.0,1,2.0499999999999994,0.5999999999999996,0.22779035076777124,FORCE_BUY
2012-02-16,104201.28183761028,104201.28183761028,0,-0.5,1.5999999999999996,0.21981032379620094,FREE
2012-02-17,104201.28183761028,104201.28183761028,0,2.1999999999999993,1.0499999999999996,0.2108057023496196,FORCE_SELL
2012-02-21,104201.28183761028,104201.28183761028,0,2.1999999999999993,1.0499999999999996,0.2070702319028318,FREE
2012-02-22,103872.98542350314,0.0,1,2.0499999999999994,0.3999999999999998,0.20540086971330043,FORCE_BUY
2012-02-23,104020.71880985134,104020.71880985134,0,2.2999999999999994,1.0999999999999996,0.21212797326482213,FORCE_SELL
2012-02-24,104020.71880985134,104020.71880985134,0,2.2999999999999994,1.2999999999999996,0.22074912290637352,FORCE_BUY
2012-02-27,104511.34426865868,0.0,1,1.6999999999999993,1.0999999999999996,0.2118982028783539,FREE
2012-02-28,105695.34340371174,105695.34340371174,0,1.1499999999999997,1.1499999999999997,0.19774560642168068,FREE
2012-02-29,105695.34340371174,105695.34340371174,0,1.3999999999999995,1.2499999999999996,0.21982688471441303,FORCE_SELL
2012-03-01,106382.52675091854,0.0,1,2.0999999999999996,1.3499999999999996,0.19879306924512888,FORCE_BUY
2012-03-02,106267.99619305074,0.0,1,1.8999999999999995,1.0999999999999996,0.1740935639943134,FREE
2012-03-05,105106.32910610591,0.0,1,1.8999999999999995,1.0999999999999996,0.19018131191379706,FREE
2012-03-06,104239.16916796402,0.0,1,1.6999999999999993,0.9999999999999996,0.18913176566847797,FORCE_BUY
2012-03-07,104402.7842506323,104402.7842506323,0,1.8999999999999995,2.3999999999999995,0.17498234648823086,FORCE_SELL
