bsp2s_bi_amp,bsp2s_bi_amp_rate,bsp2s_bi_klu_cnt,bsp2s_break_bi_amp,bsp2s_break_bi_amp_rate,bsp2s_break_bi_klu_cnt,bsp2s_lv,bsp2s_retrace_rate,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_d,kdj_j,kdj_k,macd_dea,macd_diff,macd_value,next_bi_return,ppo,rsi,timestamp,type,volume
0.75,0.0032822757111597373,8,8.274993896484375,0.037473931808790426,37,1.0,0.16253803175305637,0.75,,282,True,False,40.22441606658366,-3.0589769470142016,25.79661839538437,0.22152222928222284,0.10413456538029209,-0.2347753278038615,0.00823271130625686,0.00045682603419927055,47.984472486648734,2025/05/15 17:40,2s,4943.0
1.3549957275390625,0.005900906815630103,8,8.274993896484375,0.037473931808790426,37,2.0,0.09969758993933359,1.3549957275390625,,299,True,False,36.894268016977115,-25.080214989907425,16.23610701468227,0.26836322827731995,0.1620131388188497,-0.21270017891694049,0.017128787532913817,0.0007087262873509545,44.233977797739016,2025/05/15 19:05,2s,11582.0
3.0490875244140625,0.013432695055403607,23,6.089996337890625,0.026199167209482205,41,1.0,0.6041206271892241,3.0490875244140625,,928,False,False,85.37114750894338,100.0154610471181,90.25258535500163,0.34045710596468565,0.4889818893690858,0.29704956680880035,0.010168254615563097,0.0021410192821052017,71.21516287183748,2025/05/29 14:10,2s,2625.0
2.029998779296875,0.008915234108493677,5,6.089996337890625,0.026199167209482205,41,2.0,0.5533657050366562,2.029998779296875,,952,False,False,64.79945060599232,121.00177565449263,83.53355895549242,0.0892020082829276,0.1859323407317106,0.19346066489756603,0.0035258676431370816,0.0008126875090593879,63.4179189558896,2025/05/29 16:15,2s,4231.0
1.1999969482421875,0.005243595876066498,9,3.915008544921875,0.016840919363204337,26,1.0,0.3818664400913577,1.1999969482421875,,1332,False,False,49.373607024933946,101.0939502374992,66.61372142912236,-0.282703049622883,-0.20056457537728534,0.16427694849119534,0.005152370000657312,-0.0008728567017180226,50.93902115991616,2025/06/05 16:10,2s,4173.0
2.4102935791015625,0.010531521793264923,21,3.915008544921875,0.016840919363204337,26,2.0,0.6947625246517574,2.4102935791015625,,1374,False,False,66.97263982218291,70.2770889925973,68.07412287898771,0.12621047865828702,0.1990226858391395,0.14562441436170498,0.023197450550042166,0.0008653096554174784,64.1939010806401,2025/06/05 19:45,2s,38723.0
2.209991455078125,0.009727075197019378,24,3.9799957275390625,0.017890033288536174,39,1.0,0.3668324176772111,2.209991455078125,,1603,True,False,32.89639462567479,30.257939389736535,32.0169095470287,-0.24426553404986273,-0.2771937142578622,-0.06585636041599896,0.01391168295303916,-0.0012272144189371527,34.86916732791761,2025/06/10 19:40,2s,7921.0
1.5999908447265625,0.006993272833945834,8,2.399993896484375,0.010617092962103865,12,1.0,0.5249990463232582,1.5999908447265625,,2056,True,False,47.930999892670556,-11.380669321915377,28.16044348780858,0.21115359580725274,0.10113719920295239,-0.2200327932086007,0.036665353851576495,0.0004436265447691107,38.10862613050729,2025/06/18 19:05,2s,4774.0
4.1649932861328125,0.01819767683728154,51,5.5,0.023481194126809053,14,1.0,0.7836359197443182,4.1649932861328125,,2484,False,False,83.45833546127213,98.44014861477115,88.45227317910513,0.3348378471472765,0.4161563992367121,0.16263710417887123,0.019867789896211553,0.001793777364494275,65.67041436006909,2025/06/27 16:35,2s,2424.0
1.3748931884765625,0.0059422720193476495,8,9.669998168945312,0.040224619028522896,55,1.0,0.20888292072528966,1.3748931884765625,,2860,False,False,66.12497912556569,119.4885377767576,83.91283200929632,-0.12242078795867775,-0.021676120433340884,0.20148933505067373,0.004639722943532228,-9.335089975560549e-05,60.22198813011804,2025/07/07 19:00,2s,5535.0
3.1750030517578125,0.013704852060483214,30,9.669998168945312,0.040224619028522896,55,2.0,0.425543564876691,3.1750030517578125,,2901,False,False,73.91591780392294,69.2787758051901,72.37020380434532,0.3274629417947699,0.3727311648633247,0.09053644613710954,0.009091079204319567,0.0015945499204978355,56.26176500629756,2025/07/08 15:55,2s,7746.0
2.904998779296875,0.012483342767759743,27,9.669998168945312,0.040224619028522896,55,3.0,0.5051717363621588,2.904998779296875,,2942,False,False,93.2990456500119,102.31643220639674,96.30484116880686,0.3664877976264834,0.4433996602717798,0.15382372529059274,0.023279504626078237,0.0018905664572771259,70.82097191635629,2025/07/08 19:25,2s,7394.0
