bsp2s_bi_amp,bsp2s_bi_amp_rate,bsp2s_break_bi_amp,bsp2s_break_bi_amp_rate,bsp2s_lv,bsp2s_retrace_rate,bsp3_bi_amp,bsp3_bi_amp_rate,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj,kdj_,macd_dea,macd_diff,macd_value,next_bi_return,ppo,rsi,timestamp,type,volume
0.1750030517578125,0.0013894093066073444,0.7249984741210938,0.005788641927598817,1.0,0.262072884548602,0.1750030517578125,0.0013894093066073444,0.0006376172015330054,0.1750030517578125,,382,True,False,<Math.KDJ.KDJ_Item object at 0x00000241486C6750>,<Math.KDJ.KDJ_Item object at 0x00000241486C6750>,0.06066811499434279,0.05429400303417253,-0.012748223920340515,0.0038559438309629926,0.00043158779805323394,52.68702535664295,2025/06/18 14:30,"2s,3b",1756.0
0.3899993896484375,0.003109051196253033,0.5800018310546875,0.0045980801796506494,1.0,0.4655231380389887,,,,0.3899993896484375,,700,False,False,,<Math.KDJ.KDJ_Item object at 0x0000024148603B90>,0.0005103672149375648,0.019763166377629204,0.03850559832538328,0.004013390093489336,0.0001572261101669699,58.89753785240626,2025/06/20 14:38,2s,1408.0
0.375,0.0029922203002715475,0.5800018310546875,0.0045980801796506494,2.0,0.24137749598800348,,,,0.375,,754,False,False,,<Math.KDJ.KDJ_Item object at 0x00000241470C63F0>,0.021824371379279256,0.029115258005305122,0.014581773252051733,0.005409708207517109,0.00023179367375469905,55.45215069577455,2025/06/20 15:45,2s,589.0
