bsp2_bi_amp,bsp2_bi_amp_rate,bsp2_break_bi_amp,bsp2_break_bi_amp_rate,bsp2_retrace_rate,bsp3_bi_amp,bsp3_bi_amp_rate,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj,macd_dea,macd_diff,macd_value,next_bi_return,ppo,rsi,timestamp,type,volume
0.2849884033203125,0.001879065149745204,0.3449859619140625,0.0022798436770816066,0.8260869565217391,,,,0.2849884033203125,,66,True,False,<Math.KDJ.KDJ_Item object at 0x00000241485DAF90>,-0.13023453016089817,-0.12417829945590597,0.012112461409984399,0.005681071360892828,-0.0008188054827635368,37.81453089664816,2025/06/17 15:29,2,2878.0
0.41119384765625,0.0027141508096122113,0.7400054931640625,0.004860782097103186,0.5556632369012516,,,,0.41119384765625,,163,False,False,<Math.KDJ.KDJ_Item object at 0x0000024149438770>,-0.05990546069363266,-0.02609078838526102,0.06762934461674328,0.001851008854066012,-0.00017191578825676056,58.59423196361304,2025/06/17 17:57,2,488.0
0.5399932861328125,0.0035344501272897423,1.1678924560546875,0.007703160943920276,0.46236559139784944,0.5399932861328125,0.0035344501272897423,0.0018544414415937488,0.5399932861328125,,263,True,False,<Math.KDJ.KDJ_Item object at 0x0000024149059F70>,0.07356195835987238,0.06878506973768594,-0.009553777244372869,0.0038754356056372925,0.000451585754385085,51.4598217510756,2025/06/18 13:50,"2,3b",4238.0
0.3784942626953125,0.0024835336363367854,0.8015899658203125,0.005232204796700662,0.4721793920012183,,,,0.3784942626953125,,377,False,False,<Math.KDJ.KDJ_Item object at 0x000002414927AB70>,-0.021034327624761495,0.01907200766819983,0.08021267058592266,0.003141744543619583,0.00012498413130764775,65.7374250242351,2025/06/18 17:29,2,871.0
0.394989013671875,0.0025872926410284883,0.4449920654296875,0.0029233481924920983,0.8876315879710592,,,,0.394989013671875,,454,True,False,<Math.KDJ.KDJ_Item object at 0x000002414A662CF0>,-0.013018561654518784,-0.016603178977874222,-0.007169234646710876,0.0032836408088971754,-0.00010887676300215192,48.3998561167602,2025/06/18 19:31,2,3777.0
0.45001220703125,0.0029431800195879347,1.25,0.008108985076181104,0.360009765625,,,,0.45001220703125,,621,False,False,<Math.KDJ.KDJ_Item object at 0x00000241487BA3F0>,-0.0047087272592103244,0.02192360170312213,0.05326465792466491,0.003325789014189728,0.00014311824940818298,55.58630620477377,2025/06/20 17:31,2,767.0
1.1251983642578125,0.007197124156418501,3.8000030517578125,0.024911519726042004,0.2961045948995531,1.1251983642578125,0.007197124156418501,0.0025506828333327013,1.1251983642578125,,756,True,False,<Math.KDJ.KDJ_Item object at 0x000002414909E090>,0.3941655700511493,0.2251517163282699,-0.33802770744575883,0.004575627371854366,0.001447101724819894,44.913071498818546,2025/06/23 14:13,"2,3b",695.0
0.1800079345703125,0.0011536751648952598,0.5500030517578125,0.003512600877034412,0.3272853377722292,,,,0.1800079345703125,,837,False,False,<Math.KDJ.KDJ_Item object at 0x000002414A271D90>,-0.04680571266458231,-0.03513956497957338,0.023332295370017866,0.002112552441401261,-0.00022497239900452561,51.34360011057361,2025/06/23 16:07,2,978.0
0.739990234375,0.004730488199336,0.7599945068359375,0.004882087208680582,0.973678398618668,,,,0.739990234375,,1033,True,False,<Math.KDJ.KDJ_Item object at 0x000002414A51B110>,-0.07368040896680933,-0.09487539465257555,-0.04238997137153244,0.0037253633628335932,-0.00060809593771813,42.695394423695575,2025/06/24 13:45,2,1966.0
0.32501220703125,0.0020760258199132397,0.5050048828125,0.0032153628591780658,0.6435823060188542,,,,0.32501220703125,,1093,False,False,<Math.KDJ.KDJ_Item object at 0x000002414A491E50>,0.018575135269065186,0.028662394546074665,0.020174518554018958,0.002039822247951813,0.00018288790062087967,59.02548011737898,2025/06/24 15:35,2,713.0
