date,equity,cash,pos,buy_th,sell_th,p_day,daily_action,daily_buy_level,daily_sell_level,SPY,Return %,SPY %
12/31/2019,100000,100000,0,0.75,1.1,0.147299185,FORCE_BUY,0.155,0.18,321.86,0.00%,0.00%
1/2/2020,100000,100000,0,0.75,1.1,0.140867965,FORCE_BUY,0.155,0.18,324.87,0.00%,0.94%
1/3/2020,100000,100000,0,-0.5,-0.5,0.180018776,FORCE_SELL,0.155,0.18,322.41,0.00%,0.17%
1/6/2020,101208.7292,101208.7292,0,-0.5,-0.5,0.172692661,FREE,0.155,0.255,323.64,1.21%,0.55%
1/7/2020,99865.81271,0,1,0.75,-0.5,0.164039824,FREE,0.155,0.255,322.73,-0.13%,0.27%
1/8/2020,101124.0586,101124.0586,0,0.85,-0.5,0.17890061,FREE,0.155,0.255,324.45,1.12%,0.80%
1/9/2020,101124.0586,101124.0586,0,0.85,-0.5,0.127721179,FORCE_BUY,0.155,0.255,326.65,1.12%,1.49%
1/10/2020,101012.2939,0,1,1.15,-0.5,0.172540311,FREE,0.155,0.255,325.71,1.01%,1.20%
1/13/2020,101927.4851,0,1,-0.5,2.5,0.138784808,FORCE_BUY,0.155,0.255,327.95,1.93%,1.89%
1/14/2020,102086.3286,0,1,0.95,1.65,0.167129594,FREE,0.155,0.255,327.45,2.09%,1.74%
1/15/2020,102532.4474,0,1,0.9,1.3,0.153269327,FORCE_BUY,0.155,0.255,328.19,2.53%,1.97%
1/16/2020,103303.0162,0,1,1,2.2,0.127134187,FORCE_BUY,0.155,0.255,330.92,3.30%,2.81%
1/17/2020,103449.6426,0,1,1.4,2.5,0.127817432,FORCE_BUY,0.155,0.255,331.95,3.45%,3.13%
1/21/2020,103418.4455,0,1,1.4,2.5,0.15036904,FORCE_BUY,0.155,0.255,331.3,3.42%,2.93%
1/22/2020,103262.4599,0,1,0.6,1.05,0.169457307,FREE,0.155,0.255,331.34,3.26%,2.95%
1/23/2020,103146.9878,103146.9878,0,1.5,1.35,0.157006056,FREE,0.155,0.255,331.72,3.15%,3.06%
1/24/2020,103145.4189,103145.4189,0,1.3,-0.5,0.230196571,FREE,0.155,0.255,328.77,3.15%,2.15%
1/27/2020,102974.5638,0,1,1.7,2.2,0.168283305,FREE,0.155,0.255,323.5,2.97%,0.51%
1/28/2020,103886.9403,0,1,1.7,2.3,0.179353605,FREE,0.155,0.255,326.89,3.89%,1.56%
1/29/2020,103673.9465,0,1,1.7,2.3,0.182900577,FREE,0.155,0.255,326.62,3.67%,1.48%
1/30/2020,103863.5408,103863.5408,0,1.5,1.9,0.169518511,FREE,0.155,0.255,327.68,3.86%,1.81%
1/31/2020,102532.3158,0,1,1.8,2.25,0.229789291,FREE,0.155,0.255,321.73,2.53%,-0.04%
2/3/2020,103274.588,0,1,1.8,2.25,0.181235017,FREE,0.155,0.185,324.12,3.27%,0.70%
2/4/2020,104867.5184,104867.5184,0,1.35,2.5,0.160053968,FREE,0.155,0.185,329.06,4.87%,2.24%
2/5/2020,105192.8604,0,1,0.6,2.5,0.140947447,FORCE_BUY,0.155,0.185,332.86,5.19%,3.42%
2/6/2020,105382.38,0,1,0.75,1.7,0.135452034,FORCE_BUY,0.155,0.185,333.98,5.38%,3.77%
2/7/2020,104978.7427,0,1,0.85,1.35,0.164653886,FREE,0.155,0.185,332.2,4.98%,3.21%
2/10/2020,106070.6887,0,1,1.45,1.75,0.137583405,FORCE_BUY,0.155,0.185,334.68,6.07%,3.98%
2/11/2020,106140.32,0,1,1.7,1.6,0.153474124,FORCE_BUY,0.155,0.185,335.26,6.14%,4.16%
2/12/2020,106482.1466,0,1,1.4,1.25,0.119749233,FORCE_BUY,0.155,0.185,337.42,6.48%,4.83%
2/13/2020,106779.6624,0,1,1.4,1.25,0.137824587,FORCE_BUY,0.155,0.185,337.06,6.78%,4.72%
2/14/2020,106915.76,0,1,1.6,2.35,0.120220191,FORCE_BUY,0.155,0.185,337.6,6.92%,4.89%
2/18/2020,106741.6816,0,1,1.65,1.7,0.142772335,FORCE_BUY,0.155,0.185,336.73,6.74%,4.62%
2/19/2020,107365.1986,0,1,1.65,1.65,0.132086032,FORCE_BUY,0.155,0.185,338.34,7.37%,5.12%
2/20/2020,106557.9126,0,1,1.6,-0.5,0.168424003,FREE,0.155,0.185,336.95,6.56%,4.69%
2/21/2020,106464.6738,0,1,1.7,0.9,0.166468841,FREE,0.155,0.185,333.48,6.46%,3.61%
2/24/2020,103637.9236,103637.9236,0,-0.5,-0.5,0.284972497,FORCE_SELL,0.155,0.185,322.42,3.64%,0.17%
2/25/2020,103637.9236,103637.9236,0,1.65,-0.5,0.268945045,FORCE_SELL,0.155,0.185,312.65,3.64%,-2.86%
2/26/2020,103637.9236,103637.9236,0,1.55,-0.5,0.217402742,FORCE_SELL,0.155,0.185,311.5,3.64%,-3.22%
