date,equity,cash,pos,buy_th,sell_th,p_day
10/1/2018,100000,100000,0,0.3,0.3,0.200665445
10/2/2018,100000,100000,0,0.3,0.3,0.198716888
10/3/2018,100000,100000,0,0.3,0.3,0.216603211
10/4/2018,100000,100000,0,0.3,0.3,0.235457171
10/5/2018,100000,100000,0,0.3,0.3,0.231502757
10/8/2018,100000,100000,0,0.3,0.3,0.086033424
10/9/2018,100000,100000,0,0.3,0.3,0.1053172
10/10/2018,100000,100000,0,0.3,0.3,0.377067418
10/11/2018,100000,100000,0,0.3,0.3,0.101612028
10/12/2018,100000,100000,0,0.3,0.3,0.069171987
10/15/2018,100000,100000,0,0.3,0.3,0.088857916
10/16/2018,100000,100000,0,0.3,0.3,0.045350372
10/17/2018,100000,100000,0,0.3,0.3,0.056815445
10/18/2018,100000,100000,0,0.3,0.3,0.128070485
10/19/2018,100000,100000,0,0.3,0.3,0.138827429
10/22/2018,100000,100000,0,0.3,0.3,0.074604823
10/23/2018,100000,100000,0,0.3,0.3,0.024302974
10/24/2018,100000,100000,0,0.3,0.3,0.292730981
10/25/2018,100000,100000,0,0.3,0.3,0.098602885
10/26/2018,100000,100000,0,0.3,0.3,0.059245367
10/29/2018,100000,100000,0,0.3,0.3,0.191891324
10/30/2018,100000,100000,0,0.3,0.3,0.115815506
10/31/2018,100000,100000,0,-0.5,-0.5,0.172185346
11/1/2018,100000,100000,0,-0.5,-0.5,0.131342937
11/2/2018,100000,100000,0,1.55,-0.5,0.19870527
11/5/2018,100000,100000,0,1.55,-0.5,0.13526574
11/6/2018,100000,100000,0,-0.5,1.3,0.13963519
11/7/2018,100000,100000,0,-0.5,2.45,0.157591789
11/8/2018,100000,100000,0,-0.5,-0.5,0.205234973
11/9/2018,100000,100000,0,-0.5,1.75,0.213036681
11/12/2018,100000,100000,0,-0.5,1.75,0.311557592
11/13/2018,100000,100000,0,2.3,0.25,0.252939107
11/14/2018,100000,100000,0,-0.5,0.25,0.243515517
11/15/2018,100000,100000,0,-0.5,0.55,0.137103419
11/16/2018,100000,100000,0,-0.5,0.85,0.145777099
11/19/2018,100000,100000,0,2.4,-0.5,0.24716248
11/20/2018,100000,100000,0,2.4,-0.5,0.230266316
11/21/2018,100000,100000,0,-0.5,-0.5,0.231578483
11/23/2018,100000,100000,0,-0.5,-0.5,0.226029205
11/26/2018,100000,100000,0,-0.5,-0.5,0.169510464
11/27/2018,100000,100000,0,-0.5,-0.5,0.166716395
11/28/2018,100000,100000,0,-0.5,-0.5,0.111821415
11/29/2018,100000,100000,0,1,-0.5,0.138900282
11/30/2018,100000,100000,0,0.8,-0.5,0.106465265
12/3/2018,100000,100000,0,0.65,1.15,0.164054713
12/4/2018,100000,100000,0,1,1.05,0.298697514
12/6/2018,100000,100000,0,-0.5,1.15,0.173792774
12/7/2018,100000,100000,0,2.15,0.8,0.275409801
12/10/2018,100000,100000,0,-0.5,1.65,0.186892894
12/11/2018,100000,100000,0,-0.5,2.4,0.227541577
12/12/2018,100000,100000,0,-0.5,1.25,0.254180674
12/13/2018,100000,100000,0,-0.5,1.45,0.205269131
12/14/2018,100000,100000,0,-0.5,0.55,0.208233101
12/17/2018,100000,100000,0,-0.5,0.55,0.303321051
12/18/2018,100000,100000,0,-0.5,-0.5,0.24422478
12/19/2018,100000,100000,0,-0.5,-0.5,0.290566115
12/20/2018,100000,100000,0,-0.5,-0.5,0.219788688
12/21/2018,100000,100000,0,-0.5,-0.5,0.235632304
12/24/2018,100000,100000,0,1.65,-0.5,0.178719052
12/26/2018,100000,100000,0,1.65,-0.5,0.120438433
12/27/2018,100000,100000,0,1.3,-0.5,0.113950481
12/28/2018,100000,100000,0,1.3,-0.5,0.155820334
12/31/2018,100000,100000,0,1.3,-0.5,0.134841475
1/2/2019,100000,100000,0,2.45,2.5,0.112304212
1/3/2019,100000,100000,0,2.3,-0.5,0.158000205
1/4/2019,100000,100000,0,-0.5,-0.5,0.108272226
1/7/2019,100000,100000,0,-0.5,-0.5,0.110741199
1/8/2019,100000,100000,0,-0.5,-0.5,0.118001664
1/9/2019,100000,100000,0,-0.5,-0.5,0.123181974
1/10/2019,100000,100000,0,-0.5,-0.5,0.099555469
1/11/2019,100000,100000,0,2.5,-0.5,0.101541132
1/14/2019,100000,100000,0,0.95,1.25,0.175996063
1/15/2019,100000,100000,0,-0.5,1.6,0.153681732
1/16/2019,100000,100000,0,-0.5,1.45,0.213003196
1/17/2019,100000,100000,0,-0.5,0.9,0.161848679
1/18/2019,100000,100000,0,-0.5,1.65,0.16747589
1/22/2019,100000,100000,0,-0.5,1.65,0.224284427
1/23/2019,100000,100000,0,2.3,1.15,0.194033337
1/24/2019,100000,100000,0,2.35,1.4,0.171390309
1/25/2019,100000,100000,0,2.35,1.4,0.177522087
1/28/2019,100000,100000,0,2.5,1.1,0.154233887
1/29/2019,100000,100000,0,2.5,1.3,0.205086745
1/30/2019,100000,100000,0,0.65,2.15,0.153784153
1/31/2019,100000,100000,0,1,-0.5,0.158663944
2/1/2019,100000,100000,0,1.1,-0.5,0.192176884
2/4/2019,100000,100000,0,2.05,1,0.135854589
2/5/2019,100000,100000,0,2.2,1.45,0.146369873
2/6/2019,100000,100000,0,1.2,1.55,0.161750732
2/7/2019,100000,100000,0,2.45,0.65,0.176744697
2/8/2019,100000,100000,0,2.4,1.3,0.140380417
2/11/2019,100000,100000,0,1.55,1.4,0.183823592
2/12/2019,100000,100000,0,1.65,2.45,0.164703903
2/13/2019,100000,100000,0,1.65,2.45,0.176199291
2/14/2019,100000,100000,0,0.25,2.4,0.155101822
2/15/2019,100000,100000,0,0.25,2.45,0.145962729
2/19/2019,100000,100000,0,0.85,0.55,0.159153219
2/20/2019,100000,100000,0,0.95,1.05,0.16850775
2/21/2019,100000,100000,0,0.85,1,0.183321953
2/22/2019,100000,100000,0,0.75,1.2,0.160291524
2/25/2019,100000,100000,0,1.85,1.35,0.220160347
2/26/2019,100000,100000,0,0.95,1.5,0.197035707
2/27/2019,100000,100000,0,1.05,1.35,0.167015077
2/28/2019,100000,100000,0,1.45,1.4,0.189095144
3/1/2019,100000,100000,0,1.05,-0.5,0.174580764
3/4/2019,100000,100000,0,1.05,-0.5,0.193233112
3/5/2019,100000,100000,0,1.45,1.15,0.182643975
3/6/2019,100000,100000,0,0.85,1.2,0.212129466
3/7/2019,100000,100000,0,1.8,-0.5,0.205505045
3/8/2019,100000,100000,0,1.75,0.8,0.15015086
3/11/2019,100000,100000,0,1.75,0.8,0.16352904
3/12/2019,100000,100000,0,1.75,0.8,0.168988928
3/13/2019,100000,100000,0,1.75,0.8,0.180106862
3/14/2019,100000,100000,0,0.5,-0.5,0.213889571
3/15/2019,100000,100000,0,0.3,-0.5,0.171121629
3/18/2019,100000,100000,0,0.3,-0.5,0.165606494
3/19/2019,100000,100000,0,0.3,-0.5,0.196840284
