bsp2s_bi_amp,bsp2s_break_bi_amp,bsp2s_lv,bsp2s_retrace_rate,bsp3_bi_amp,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_k,macd_dea,macd_diff,macd_value,ppo,rsi,timestamp,type,volume
,,,,5.270000457763672,0.011369473334231644,5.270000457763672,,1915,True,False,,0.20676315491711622,0.24302121484605976,0.07251611985788708,0.005219057345862938,49.486328821091675,2007/08/16,3b,360300.0
,,,,1.6899986267089844,0.10196397907530173,1.6899986267089844,,2773,True,False,,0.6309774764974874,0.4675182283193635,-0.3269184963562477,0.010659900604384808,51.2013979043517,2011/01/11,3b,100400.0
,,,,4.339996337890625,0.07246865356885072,4.339996337890625,,3291,True,False,,1.2391066890981384,0.9737805121906291,-0.5306523538150185,0.014341493673550771,52.02435725159794,2013/02/04,3b,124800.0
61.730010986328125,119.94000244140625,1.0,0.26980169426750944,61.730010986328125,0.04203130774146149,61.730010986328125,,5674,False,False,,-0.6188191995902923,3.243690175258621,7.725018749697826,0.00840347843469577,61.596656063700436,2022/07/22,"2s,3b",139600.0
