bsp2_bi_amp,bsp2_bi_amp_rate,bsp2_bi_klu_cnt,bsp2_break_bi_amp,bsp2_break_bi_amp_rate,bsp2_break_bi_bi_klu_cnt,bsp2_retrace_rate,bsp2s_bi_amp,bsp2s_bi_amp_rate,bsp2s_bi_klu_cnt,bsp2s_break_bi_amp,bsp2s_break_bi_amp_rate,bsp2s_break_bi_klu_cnt,bsp2s_lv,bsp2s_retrace_rate,bsp3_bi_amp,bsp3_bi_amp_rate,bsp3_bi_klu_cnt,bsp3_zs_height,bsp_bi_amp,bsp_type,chain_id,chain_type,direction,is_buy,is_mature,is_segbsp,kdj_d,kdj_j,kdj_k,klu_close,klu_idx,macd_dea,macd_diff,macd_value,mature_rate,next_bi_return,parent_idx,point_index,ppo,rsi,timestamp,volume
1.480010986328125,0.0030939917789148067,15,4.510009765625,0.009518001436098603,26,0.3281613706490554,,,,,,,,,1.480010986328125,0.0030939917789148067,15,0.0021522578165838985,1.480010986328125,"2,3b",,3b,buy,True,0,False,43.98536177673978,17.22503930937077,35.065254287616774,477.05999755859375,442,0.42484181869888377,0.2715466738695227,-0.30659028965872215,,,,0,0.0005689381694473245,46.75645599597675,2025/07/21 17:50,26011.0
1.52001953125,0.0031776304209371444,25,4.510009765625,0.009518001436098603,26,0.33703242570237646,,,,,,,,,1.52001953125,0.0031776304209371444,25,0.0021522578165838985,1.52001953125,"2,3b",,3b,buy,True,0,False,40.75842227851976,24.469799780164067,35.32888144573453,477.17999267578125,452,0.13011202995343407,0.020408300146470992,-0.21940745961392616,,,,1,4.2758840782768264e-05,48.088129081436456,2025/07/21 18:40,30135.0
1.540008544921875,0.003219417843152729,26,4.510009765625,0.009518001436098603,26,0.3414645699128458,,,,,,,,,1.540008544921875,0.003219417843152729,26,0.0021522578165838985,1.540008544921875,"2,3b",,3b,buy,True,0,False,37.39867298589073,17.2401772301165,30.679174400632654,477.0,453,0.10294154416128273,-0.005740399007322594,-0.21736388633721065,,,,2,-1.2027645292703547e-05,44.870484045316694,2025/07/21 18:45,28287.0
1.589996337890625,0.0033239182974872743,27,4.510009765625,0.009518001436098603,26,0.3525483137552103,,,,,,,,,1.589996337890625,0.0033239182974872743,27,0.0021522578165838985,1.589996337890625,"2,3b",,3b,buy,True,0,False,35.774519996012714,26.02960205674468,32.5262140162567,477.1000061035156,454,0.0787164035202523,-0.018184159043869386,-0.19380112512824338,,,,3,-3.810158244334336e-05,46.992712760857565,2025/07/21 18:50,32040.0
1.69000244140625,0.0035329830037475344,28,4.510009765625,0.009518001436098603,26,0.3747225680723218,,,,,,,,,1.69000244140625,0.0035329830037475344,28,0.0021522578165838985,1.69000244140625,"2,3b",,3b,buy,True,0,False,31.755163721179063,7.639026072177167,23.716451171511764,476.7099914550781,455,0.05120540352588028,-0.05883859645160783,-0.22008799995497622,,,,4,-0.00012329595089572698,40.45249231284784,2025/07/21 18:55,38375.0
1.980010986328125,0.004139251512624937,29,4.510009765625,0.009518001436098603,26,0.4390258756022303,,,,,,,,,1.980010986328125,0.004139251512624937,29,0.0021522578165838985,1.980010986328125,"2,3b",,3b,buy,True,0,False,26.440431630010877,-5.447960916998227,15.810967447674509,476.3699951171875,456,0.017535912155866796,-0.11714205332418715,-0.2693559309601079,,,,5,-0.0002455026957432613,35.77779547287564,2025/07/21 19:00,84232.0
2.550018310546875,0.005330862920476367,30,4.510009765625,0.009518001436098603,26,0.5654130352406215,,,,,,,,,2.550018310546875,0.005330862920476367,30,0.0021522578165838985,2.550018310546875,"2,3b",,3b,buy,True,0,False,21.140502741712698,-10.659070588076379,10.54064496511634,475.79998779296875,457,-0.02736269376338011,-0.2069571174403677,-0.3591888473539752,,,,6,-0.0004338253737603801,29.601680000152825,2025/07/21 19:05,34713.0
2.89990234375,0.006062302303227016,31,4.510009765625,0.009518001436098603,26,0.6429924755047908,,,,,,,,,2.89990234375,0.006062302303227016,31,0.0021522578165838985,2.89990234375,"2,3b",,3b,buy,True,0,False,17.91065681319783,-1.4684187578913779,11.450964956168093,475.68499755859375,458,-0.07871806894019137,-0.2841395696474365,-0.4108430014144902,,,,7,-0.0005957423472729824,28.5316548197504,2025/07/21 19:10,33992.0
3.089996337890625,0.006459697498617666,33,4.510009765625,0.009518001436098603,26,0.685141828614735,,,,,,,,,3.089996337890625,0.006459697498617666,33,0.0021522578165838985,3.089996337890625,"2,3b",,3b,buy,True,0,False,14.875824260948443,3.664081981210952,11.13857683436928,475.3500061035156,460,-0.18367291251420553,-0.40134627466983375,-0.43534672431125643,,,,8,-0.0008418315500278612,27.076728056646004,2025/07/21 19:20,41223.0
3.240020751953125,0.00677332645680364,34,4.510009765625,0.009518001436098603,26,0.7184065934065934,,,,,,,,,3.240020751953125,0.00677332645680364,34,0.0021522578165838985,3.240020751953125,"2,3b",,3b,buy,True,0,False,12.919076594154088,1.1785905933879661,9.00558126056538,475.2099914550781,461,-0.23948683848377175,-0.4627425423620366,-0.4465114077565297,,,,9,-0.0009708442555225462,25.900061867057147,2025/07/21 19:25,29797.0
3.3699951171875,0.007045040397591692,35,4.510009765625,0.009518001436098603,26,0.7472256807232177,,,,,,,,,3.3699951171875,0.007045040397591692,35,0.0021522578165838985,3.3699951171875,"2,3b",,3b,buy,True,0,False,11.345324647919405,1.902812970511313,8.19782075545004,475.1235046386719,462,-0.2940836398322298,-0.512470845226062,-0.43677441078766444,,,,10,-0.0010754286924553702,25.17237847299421,2025/07/21 19:30,50599.0
,,,,,,,,,,,,,,,4.52001953125,0.009355506466461995,20,0.0021522578165838985,4.52001953125,3b,,3b,buy,True,0,False,29.304565729030983,13.462941492524948,24.024024316862302,478.69940185546875,492,0.4934552804108914,0.23040073603499422,-0.5261090887517943,,,,0,0.0004805629989857303,44.275031143864304,2025/07/22 15:30,50680.0
,,,,,,,4.94000244140625,0.010224784310198154,21,4.510009765625,0.009518001436098603,26,1.0,0.03325799815947599,4.94000244140625,0.010224784310198154,21,0.0021522578165838985,4.94000244140625,"2s,3b",,3b,buy,True,0,False,24.928229553209526,-1.3297875017191956,16.17555720156662,478.2099914550781,493,0.41414393814108585,0.09689856906186378,-0.6344907381584441,,,,0,0.00020214654218250508,41.035906042299004,2025/07/22 15:35,55188.0
,,,,,,,5.3800048828125,0.01113549844702332,22,4.510009765625,0.009518001436098603,26,1.0,0.1308193038488605,5.3800048828125,0.01113549844702332,22,0.0021522578165838985,5.3800048828125,"2s,3b",,3b,buy,True,0,False,22.696047801297055,9.302957289822274,18.23168429747213,478.3196105957031,494,0.33130377927888477,-5.685616991968345e-05,-0.6627212708976089,,0.002888489732511287,,1,-1.1863028824176794e-07,42.058391814322384,2025/07/22 15:40,45319.0
