side,seen_idx,exec_px,qty,fee,reason,signal_ts,signal_dir,bsp_type,pred_ret,ret_th,daily_no_sell,daily_no_buy,daily_last_dir,pnl,entry_px,entry_idx
buy,11681,150.37,665.0262685376072,0.0,OPEN_LONG pred_ret=3.57%,2019/01/02 04:00,buy,1,3.5660910606384277,2.3999999999999995,1,0,buy,,,
sell,12264,156.23,665.0262685376072,0.0,CLOSE_LONG pred_ret=5.82%,2019/01/07 05:10,sell,2s,5.816068649291992,-0.5,0,1,sell,3897.053933630368,150.37,11681.0
buy,22504,178.07,583.461862939464,0.0,OPEN_LONG pred_ret=1.49%,2019/03/28 06:00,buy,2,1.4914220571517944,-0.5,1,0,buy,,,
sell,23395,183.8,583.461862939464,0.0,CLOSE_LONG pred_ret=2.70%,2019/04/04 05:35,sell,2s,2.701324939727783,2.349999999999999,0,1,sell,3343.2364746431394,178.07,22504.0
buy,27872,183.89,583.1763032697455,0.0,OPEN_LONG pred_ret=1.56%,2019/05/10 07:55,buy,1,1.5614227056503296,1.4999999999999996,1,0,buy,,,
sell,31926,182.66,583.1763032697455,0.0,CLOSE_LONG pred_ret=1.64%,2019/06/12 06:40,sell,3a,1.6355067491531372,-0.5,0,1,sell,-717.306853021781,183.89,27872.0
buy,38581,183.66,580.000999429662,0.0,OPEN_LONG pred_ret=2.68%,2019/08/05 07:20,buy,1p,2.6818854808807373,2.4499999999999993,1,0,buy,,,
sell,39895,187.0,580.000999429662,0.0,CLOSE_LONG pred_ret=4.61%,2019/08/14 07:20,sell,3a,4.606739521026611,1.4499999999999995,0,1,sell,1937.203338095073,183.66,38581.0
