date,equity,cash,pos,qty,bucket_next,prev_reg_score,prev_strength,prev_reg_slope,prev_reg_above_ma,th_buy_today_live,th_sell_today_live,th_buy_bull_base,th_buy_side_base,th_buy_bear_base,th_sell_bull_base,th_sell_side_base,th_sell_bear_base,bucket_today,reg_score,strength,reg_slope,reg_above_ma
2018-10-01,100000.0,100000.0,0,0.0,bull,0.03366435812406658,1.0,0.0005983820766405114,0.021246141262763363,0.19999999999999998,0.8999999999999999,0.3,0.3,0.3,0.3,0.3,0.3,,,,,
2018-10-02,100000.0,100000.0,0,0.0,bull,0.035626041610878914,1.0,0.00061144858091093,0.022527797245430747,0.19999999999999998,0.8999999999999999,0.3,0.3,0.3,0.3,0.3,0.3,,,,,
2018-10-03,100000.0,100000.0,0,0.0,bull,0.03118935005103936,1.0,0.000632585263198155,0.019527729507629932,0.19999999999999998,0.8999999999999999,0.3,0.3,0.3,0.3,0.3,0.3,,,,,
2018-10-04,100000.0,100000.0,0,0.0,side,0.03199006756464697,1.0,0.0006669322750831934,0.01999284715959826,0.2913992914073863,0.35160425155568226,0.3,0.3,0.3,0.3,0.3,0.3,,,,,
2018-10-05,100000.0,100000.0,0,0.0,side,0.002580212577784114,0.08600708592613714,0.0006307739559763791,0.0004585938065699846,0.4069125240665272,0.19308747593347275,0.3,0.3,0.3,0.3,0.3,0.3,,,,,
2018-10-08,100000.0,100000.0,0,0.0,side,-0.016036878609979086,-0.5345626203326362,0.0005469104289205633,-0.01178507326449385,0.47147278978858326,0.12852721021141672,0.3,0.3,0.3,0.3,0.3,0.3,,,,,
2018-10-09,100000.0,100000.0,0,0.0,side,-0.025720918468287488,-0.8573639489429162,0.0004129615076804106,-0.017973201994219146,0.4470411040007513,0.15295889599924867,0.3,0.3,0.3,0.3,0.3,0.3,,,,,
2018-10-10,100000.0,100000.0,0,0.0,bear,-0.022056165600112698,-0.7352055200037566,0.00028811509073517494,-0.015280340581545482,0.5,0.09999999999999998,0.3,0.3,0.3,0.3,0.3,0.3,,,,,
2018-10-11,100000.0,100000.0,0,0.0,bear,-0.08707986737506568,-1.0,2.3469960045060626e-05,-0.05810018483680057,0.5,0.09999999999999998,0.3,0.3,0.3,0.3,0.3,0.3,,,,,
2018-10-12,100000.0,100000.0,0,0.0,bear,-0.10449371609855757,-1.0,-0.000323853944621847,-0.06901476950979468,0.5,0.09999999999999998,0.3,0.3,0.3,0.3,0.3,0.3,,,,,
2018-10-15,100000.0,100000.0,0,0.0,bear,-0.06547969637066846,-1.0,-0.0005477493635970788,-0.042557632186584815,0.5,0.09999999999999998,0.3,0.3,0.3,0.3,0.3,0.3,,,,,
2018-10-16,100000.0,100000.0,0,0.0,bear,-0.08242095888671115,-1.0,-0.0008095150046644983,-0.05332827591514511,0.5,0.09999999999999998,0.3,0.3,0.3,0.3,0.3,0.3,,,,,
2018-10-17,100000.0,100000.0,0,0.0,bear,-0.04093582945484051,-1.0,-0.0009616322979308305,-0.025367288374032015,0.5,0.09999999999999998,0.3,0.3,0.3,0.3,0.3,0.3,,,,,
2018-10-18,100000.0,100000.0,0,0.0,bear,-0.040034408206096446,-1.0,-0.0010955972665261415,-0.024498410937678683,0.5,0.09999999999999998,0.3,0.3,0.3,0.3,0.3,0.3,,,,,
2018-10-19,100000.0,100000.0,0,0.0,bear,-0.07316920446195364,-1.0,-0.0012972547473333379,-0.046184960146635756,0.5,0.09999999999999998,0.3,0.3,0.3,0.3,0.3,0.3,,,,,
