date,equity,cash,pos,qty,pm_th,buy_th,sell_th,has_model,had_bsp,bsp_count
2021-10-01,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,35
2021-10-04,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,41
2021-10-05,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,0,0
2021-10-06,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,43
2021-10-07,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,44
2021-10-08,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,46
2021-10-11,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,36
2021-10-12,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,24
2021-10-13,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,44
2021-10-14,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,43
2021-10-15,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,52
2021-10-18,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,55
2021-10-19,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,33
2021-10-20,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,26
2021-10-21,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,53
2021-10-22,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,58
2021-10-25,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,34
2021-10-26,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,24
2021-10-27,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,45
2021-10-28,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,38
2021-10-29,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,23
2021-11-01,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,33
2021-11-02,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,35
2021-11-03,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,46
2021-11-04,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,53
2021-11-05,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,26
2021-11-08,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,36
2021-11-09,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,49
2021-11-10,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,40
2021-11-11,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,39
2021-11-12,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,53
2021-11-15,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,45
2021-11-16,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,45
2021-11-17,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,36
2021-11-18,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,34
2021-11-19,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,33
2021-11-22,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,25
2021-11-23,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,41
2021-11-24,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,36
2021-11-26,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,26
2021-11-29,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,69
2021-11-30,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,37
2021-12-01,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,27
2021-12-02,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,33
2021-12-03,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,55
2021-12-06,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,44
2021-12-07,100000.0,100000.0,0,0.0,0.7,0.0,0.0,0,1,33
2021-12-08,100000.0,100000.0,0,0.0,0.8,0.25,2.125,1,1,26
2021-12-09,100000.0,100000.0,0,0.0,0.75,0.25,2.25,1,1,48
2021-12-10,100000.0,100000.0,0,0.0,0.8500000000000001,0.25,2.25,1,1,35
2021-12-13,100000.0,100000.0,0,0.0,0.8,0.875,1.25,1,1,23
2021-12-14,100000.0,100000.0,0,0.0,0.8,0.875,1.25,1,1,45
2021-12-15,100000.0,100000.0,0,0.0,0.8,0.75,1.25,1,1,41
2021-12-16,100000.0,100000.0,0,0.0,0.8500000000000001,-0.75,0.875,1,1,48
2021-12-17,100000.0,100000.0,0,0.0,0.9,-0.75,0.375,1,1,31
2021-12-20,100000.0,100000.0,0,0.0,0.9,-0.75,0.75,1,1,23
2021-12-21,-1027.4656679151085,0.0,-1,260.09155222638367,0.5,2.375,1.25,1,1,60
2021-12-22,-2486.47523928422,0.0,-1,260.09155222638367,0.5,1.75,1.5,1,1,44
2021-12-23,-3274.552642530165,0.0,-1,260.09155222638367,0.8500000000000001,-0.75,1.5,1,1,45
2021-12-27,-4868.913857677893,0.0,-1,260.09155222638367,0.55,1.625,1.875,1,1,42
2021-12-28,-4790.886392009968,0.0,-1,260.09155222638367,0.8,0.625,1.75,1,1,36
2021-12-29,-4268.102372034948,0.0,-1,260.09155222638367,0.8,0.75,1.875,1,1,38
2021-12-30,-3771.3275072825636,0.0,-1,260.09155222638367,0.75,1.0,1.875,1,1,44
2021-12-31,-3529.44236371202,0.0,-1,260.09155222638367,0.8500000000000001,-0.75,1.5,1,1,17
2022-01-03,-4522.9920932168025,0.0,-1,260.09155222638367,0.7,1.125,1.75,1,1,48
2022-01-04,-2858.4061589679623,0.0,-1,260.09155222638367,0.75,0.875,2.0,1,1,33
2022-01-05,-46.816479400746175,0.0,-1,260.09155222638367,0.75,0.875,2.25,1,1,48
2022-01-06,-447.3574698293669,0.0,-1,260.09155222638367,0.75,0.875,2.25,1,1,23
2022-01-07,1238.0357885975827,0.0,-1,260.09155222638367,0.8,0.625,2.25,1,1,27
2022-01-10,899.9167707033048,0.0,-1,260.09155222638367,0.8500000000000001,0.75,2.0,1,1,57
2022-01-11,-358.9263420724019,0.0,-1,260.09155222638367,0.8500000000000001,0.75,2.0,1,1,28
2022-01-12,-665.8343736995448,0.0,-1,260.09155222638367,0.8,0.875,2.0,1,1,44
2022-01-13,1786.8289637952548,0.0,-1,260.09155222638367,0.8,1.125,1.875,1,1,59
2022-01-14,1061.1735330836527,0.0,-1,260.09155222638367,0.8500000000000001,0.75,1.375,1,1,55
2022-01-18,3807.7403245942696,0.0,-1,260.09155222638367,0.8500000000000001,0.75,1.375,1,1,61
2022-01-19,4564.606741573036,0.0,-1,260.09155222638367,0.75,1.25,2.375,1,1,42
2022-01-20,6819.600499375796,0.0,-1,260.09155222638367,0.8,-0.75,2.75,1,1,25
2022-01-21,8850.915522263851,0.0,-1,260.09155222638367,0.75,1.125,2.75,1,1,62
2022-01-24,9079.79608822307,0.0,-1,260.09155222638367,0.6,2.125,2.75,1,1,45
2022-01-25,10343.841032043289,0.0,-1,260.09155222638367,0.65,2.625,2.75,1,1,19
2022-01-26,10211.19434040782,0.0,-1,260.09155222638367,0.65,2.5,3.0,1,1,29
2022-01-27,10440.074906367052,0.0,-1,260.09155222638367,0.7,2.0,2.625,1,1,48
2022-01-28,8265.709529754487,0.0,-1,260.09155222638367,0.75,2.125,2.75,1,1,37
2022-01-31,5667.394923012907,0.0,-1,260.09155222638367,0.75,2.0,2.375,1,1,30
2022-02-01,4000.2080732417817,0.0,-1,260.09155222638367,0.75,2.75,2.125,1,1,47
2022-02-02,6322.799625468178,0.0,-1,260.09155222638367,0.7,2.5,3.0,1,1,36
2022-02-03,6356.637536412818,0.0,-1,260.09155222638367,0.65,2.75,3.0,1,1,33
2022-02-04,108101.85185185187,108101.85185185187,0,0.0,0.7,2.5,2.75,1,1,33
2022-02-07,108101.85185185187,108101.85185185187,0,0.0,0.75,1.75,2.5,1,1,51
2022-02-08,108101.85185185187,108101.85185185187,0,0.0,0.75,1.75,2.5,1,1,36
2022-02-09,108101.85185185187,108101.85185185187,0,0.0,0.75,1.75,2.625,1,1,32
2022-02-10,108101.85185185187,108101.85185185187,0,0.0,0.75,2.5,2.875,1,1,41
2022-02-11,108101.85185185187,108101.85185185187,0,0.0,0.75,2.5,2.875,1,1,48
2022-02-14,108101.85185185187,108101.85185185187,0,0.0,0.8,1.625,2.0,1,1,23
2022-02-15,108459.52157264444,0.0,1,305.700616062021,0.8,0.875,2.25,1,1,44
2022-02-16,108630.71391763918,0.0,1,305.700616062021,0.8,1.0,2.25,1,1,30
