bsp3_bi_amp,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_k,macd_dea,macd_diff,macd_value,ppo,rsi,timestamp,type,volume
0.9971124864526466,0.04409508066902984,0.9971124864526466,,1970,True,False,,0.3040001418022468,0.28023096529138414,-0.04753835302172538,0.012762064214273233,52.851927036082664,2007/11/02,3a,6337700.0
0.7968211555958966,0.034971165662887736,0.7968211555958966,,2577,False,False,,-0.18892328644613587,-0.18675187768252144,0.0043428175272288705,-0.009638346862755179,40.214663963864815,2010/04/05,3a,7385200.0
2.3350346495821803,0.08623231149931192,2.3350346495821803,,2905,False,False,,-0.07669576386768942,0.06034985220479783,0.2740912321449745,0.002891504477053657,62.23054878176156,2011/07/21,3a,7045400.0
3.157752065157595,0.05079353509123373,3.157752065157595,,3433,True,False,,0.1786563678891247,-0.128155922126318,-0.6136245800308854,-0.004910636482972035,34.41350899642539,2013/08/27,3a,4280400.0
2.513392205563143,0.012425812335685467,2.513392205563143,,4023,False,False,,-0.6459138069793992,-0.29460685868247793,0.7026138965938424,-0.010670350563049599,51.92829198150723,2015/12/30,3a,2380400.0
2.5535632739225242,0.02222181417120769,2.5535632739225242,,4120,True,False,,0.193959146150054,0.08042742096538902,-0.22706345036932996,0.0027687077224028585,54.526087239472474,2016/05/19,3a,4223300.0
2.3463481588643162,0.024739565642463896,2.3463481588643162,,4613,True,False,,0.39669523453760125,0.15921704800982894,-0.4749563730555446,0.004412945687300424,42.97327059484568,2018/05/04,3a,4056300.0
4.93605417032002,0.02943757359467153,4.93605417032002,,4800,False,False,,0.12234841950281099,0.3272634418732139,0.40983004474080575,0.009061060180592613,63.61979184181336,2019/02/01,3a,2337700.0
1.1035328390614794,0.036522210699098515,1.1035328390614794,,5001,True,False,,0.6220557186123385,0.5950902054618368,-0.05393102630100355,0.016688881157101803,59.59614752239126,2019/11/18,3a,3123200.0
3.439199264336615,0.04862911572477692,3.439199264336615,,5338,True,False,,0.835288365942148,0.4571208582438331,-0.7563350153966297,0.009069027723935554,43.24111852762507,2021/03/23,3a,1831900.0
4.366207572424287,0.03300140711793639,4.366207572424287,,5986,False,False,,-1.4224302204843098,-1.1705193305440815,0.5038217798804565,-0.016476738251950878,42.92357349424171,2023/10/18,3a,1919200.0
4.678888647924474,0.06780238863241811,4.678888647924474,,6323,False,False,,-1.0739743986855275,-0.7666031839190595,0.614742429532936,-0.016225502056573325,53.61167548995122,2025/02/24,3a,5041400.0
