bsp1_bi_amp,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_k,macd_dea,macd_diff,macd_value,ppo,rsi,timestamp,type,volume
1.8557801265775655,1.8557801265775655,1.1969467186974656,176,False,False,,0.3879790983866308,0.4783958139051858,0.18083343103711003,0.03564051861209214,78.92450019599823,2000/09/13,1p,628600.0
1.721678056299485,1.721678056299485,0.6958356032915359,208,True,False,,-0.14127496442268914,-0.180107705685419,-0.07766548252545974,-0.013668887427083089,46.46289302496984,2000/10/27,1p,268200.0
1.3844671121952583,1.3844671121952583,0.8991889061795876,248,False,False,,0.3103104326859944,0.36709318949683123,0.11356551362167366,0.024705296743051722,77.10028058874634,2000/12/26,1p,212500.0
1.5811265899312463,1.5811265899312463,0.8209317614941317,351,False,False,,0.12708212912644745,0.21995474539779458,0.18574523254269426,0.015022182009273627,74.33255145967266,2001/05/24,1p,702100.0
3.126120934825723,3.126120934825723,1.0737967790910303,640,True,False,,-0.2489588402154756,-0.3377011929678577,-0.17748470550476425,-0.022389442494507646,47.125104496493,2002/07/24,1p,1212200.0
0.990637196254557,0.990637196254557,0.6004791453979913,1740,False,False,,0.06883497150195123,0.12288858724559049,0.10810723148727852,0.004848609288320849,67.41890215697664,2006/12/04,1p,690700.0
1.19597127300408,1.19597127300408,1.6184672760214098,3048,True,False,,-0.11329261177674295,-0.13627851906374744,-0.04597181457400898,-0.0067886912099587105,39.34910862409973,2012/02/14,1p,1507200.0
5.3230941502356295,5.3230941502356295,3.338566645483698,3593,False,False,,0.21021796361995185,0.26124225942447765,0.10204859160905161,0.009164953195301235,66.9042451152084,2014/04/16,1p,1909500.0
4.700248630302838,4.700248630302838,1.8330181714512397,3770,False,False,,0.6187127422686443,0.9104519822400476,0.5834784799428068,0.028367687947159013,78.88879873983828,2014/12/29,1p,2024500.0
1.429090911683275,1.429090911683275,0.79118252330929,4366,True,False,,-0.027545813984910773,-0.07591802387269553,-0.09674441977556951,-0.0017584289796312444,46.5172773498821,2017/05/11,1p,1220400.0
5.8754409341154314,5.8754409341154314,0.986444690711771,4497,False,False,,0.6549514141359134,0.7597372262893458,0.20957162430686482,0.01529680728782417,70.22207185851946,2017/11/15,1p,979000.0
4.1983267483144004,4.1983267483144004,0.19341031874323508,4552,True,False,,-0.806245502794515,-0.883666087245274,-0.1548411689015179,-0.01942082064279681,27.43446161514244,2018/02/06,1p,2420800.0
3.8857741727725355,3.8857741727725355,0.5952319697328149,4995,True,False,,-0.32050503498729976,-0.554628432356921,-0.4682467947392426,-0.008550003583612215,33.80178014488996,2019/11/08,1p,2452300.0
10.12133078149769,10.12133078149769,0.7312158779261133,5247,False,False,,0.7169097472765892,0.593380239603249,-0.2470590153466803,0.008322304058231178,55.43020235116715,2020/11/09,1p,1967200.0
8.64655005520298,8.64655005520298,0.481171357001422,5317,True,False,,-0.577972086263793,-0.5996372946238608,-0.0433304167201356,-0.009305574240410775,38.15054255209035,2021/02/22,1p,2226300.0
14.150594974644306,14.150594974644306,1.559851763505494,5651,True,False,,-1.3210054622195522,-2.5075820988183466,-2.373153273197589,-0.03068761549467728,19.002151085352153,2022/06/17,1p,2183300.0
11.273219458470578,11.273219458470578,0.8303694801096981,5694,False,False,,1.4872868504804468,1.8579114016201004,0.7412491022793071,0.021970707803648272,76.83812224924947,2022/08/19,1p,1380400.0
21.1680102897553,21.1680102897553,2.4036158410619533,5732,True,False,,-3.0869372912901545,-3.7104112428080214,-1.2469479030357338,-0.048064816010535985,32.52089045308087,2022/10/13,1p,2599400.0
7.604463068588956,7.604463068588956,0.4653842497979646,6026,False,False,,0.3791584187603235,0.3693155558873258,-0.019685725745995475,0.0050202148993010705,43.20025940151121,2023/12/14,1p,7698200.0
