date,equity,cash,pos,qty,has_buy_model,has_sell_model,bsp_rows,buy_ret_th,buy_mr_th,sell_ret_th,sell_mr_th
2020-01-02,100000.0,100000.0,0,0.0,0,0,56,0.3,0.7,0.3,0.7
2020-01-03,100000.0,100000.0,0,0.0,0,0,67,0.3,0.7,0.3,0.7
2020-01-06,100000.0,100000.0,0,0.0,0,0,124,0.3,0.7,0.3,0.7
2020-01-07,100000.0,100000.0,0,0.0,0,0,160,0.3,0.7,0.3,0.7
2020-01-08,100000.0,100000.0,0,0.0,0,0,204,0.3,0.7,0.3,0.7
2020-01-09,100000.0,100000.0,0,0.0,0,0,257,0.3,0.7,0.3,0.7
2020-01-10,100000.0,100000.0,0,0.0,0,0,293,0.3,0.7,0.3,0.7
2020-01-13,100000.0,100000.0,0,0.0,0,0,357,0.3,0.7,0.3,0.7
2020-01-14,100000.0,100000.0,0,0.0,0,0,399,0.3,0.7,0.3,0.7
2020-01-15,100000.0,100000.0,0,0.0,0,0,482,0.3,0.7,0.3,0.7
2020-01-16,100000.0,100000.0,0,0.0,0,0,507,0.3,0.7,0.3,0.7
2020-01-17,100000.0,100000.0,0,0.0,0,0,532,0.3,0.7,0.3,0.7
2020-01-21,100000.0,100000.0,0,0.0,0,1,555,0.3,0.7,-0.5,0.4
2020-01-22,100000.0,100000.0,0,0.0,0,1,593,0.3,0.7,-0.5,0.4
2020-01-23,100000.0,100000.0,0,0.0,0,1,641,0.3,0.7,-0.5,0.4
2020-01-24,100000.0,100000.0,0,0.0,0,1,684,0.3,0.7,-0.5,0.4
2020-01-27,100000.0,100000.0,0,0.0,0,1,732,0.3,0.7,-0.5,0.4
2020-01-28,100000.0,100000.0,0,0.0,0,1,774,0.3,0.7,-0.5,0.4
2020-01-29,100000.0,100000.0,0,0.0,0,1,807,0.3,0.7,-0.5,0.4
2020-01-30,100000.0,100000.0,0,0.0,0,1,875,0.3,0.7,-0.5,0.4
2020-01-31,100000.0,100000.0,0,0.0,0,1,909,0.3,0.7,-0.5,0.4
2020-02-03,100000.0,100000.0,0,0.0,0,1,953,0.3,0.7,-0.5,0.4
2020-02-04,100000.0,100000.0,0,0.0,0,1,999,0.3,0.7,-0.5,0.4
2020-02-05,100000.0,100000.0,0,0.0,0,1,1052,0.3,0.7,-0.5,0.4
2020-02-06,100000.0,100000.0,0,0.0,0,1,1089,0.3,0.7,-0.5,0.4
2020-02-07,100000.0,100000.0,0,0.0,0,1,1133,0.3,0.7,-0.5,0.4
2020-02-10,100000.0,100000.0,0,0.0,1,1,1177,0.3,0.7,-0.5,0.4
2020-02-11,100000.0,100000.0,0,0.0,1,1,1209,-0.5,0.4,-0.5,0.4
2020-02-12,100000.0,100000.0,0,0.0,1,1,1237,-0.5,0.4,-0.5,0.4
2020-02-13,100000.0,100000.0,0,0.0,1,1,1265,-0.5,0.4,-0.5,0.4
2020-02-14,100000.0,100000.0,0,0.0,1,1,1317,-0.5,0.4,-0.5,0.4
2020-02-18,100000.0,100000.0,0,0.0,1,1,1341,-0.5,0.4,-0.5,0.4
2020-02-19,100000.0,100000.0,0,0.0,1,1,1377,-0.5,0.4,-0.5,0.4
2020-02-20,100000.0,100000.0,0,0.0,1,1,1403,-0.5,0.4,-0.5,0.4
2020-02-21,100000.0,100000.0,0,0.0,1,1,1424,-0.5,0.4,-0.5,0.4
2020-02-24,100000.0,100000.0,0,0.0,1,1,1471,-0.5,0.4,-0.5,0.4
2020-02-25,100000.0,100000.0,0,0.0,1,1,1514,-0.5,0.4,-0.5,0.4
2020-02-26,100000.0,100000.0,0,0.0,1,1,1563,-0.5,0.4,-0.5,0.4
2020-02-27,100000.0,100000.0,0,0.0,1,1,1610,-0.5,0.4,-0.5,0.4
2020-02-28,100000.0,100000.0,0,0.0,1,1,1659,-0.5,0.4,-0.5,0.4
2020-03-02,100000.0,100000.0,0,0.0,1,1,1704,-0.5,0.4,-0.5,0.4
