side,seen_idx,exec_px,qty,fee,reason,pnl,entry_px,entry_idx
buy,15701,213.35,468.71338176704944,0.0,OPEN_LONG pred_ret=0.95% pred_mr=0.46,,,
sell,15751,214.2,468.71338176704944,0.0,CLOSE_LONG (sell BSP),398.4063745019894,213.35,15701.0
buy,15790,214.37,468.3416820194149,0.0,OPEN_LONG pred_ret=0.48% pred_mr=0.53,,,
sell,15821,212.58,468.3416820194149,0.0,CLOSE_LONG (sell BSP),-838.331610814749,214.37,15790.0
buy,15840,212.79,467.8794810079761,0.0,OPEN_LONG pred_ret=0.96% pred_mr=0.74,,,
sell,15888,211.43,467.8794810079761,0.0,CLOSE_LONG (sell BSP),-636.3160941708405,212.79,15840.0
buy,15893,211.23,468.3224857715116,0.0,OPEN_LONG pred_ret=2.67% pred_mr=0.41,,,
sell,15915,211.34,468.3224857715116,0.0,CLOSE_LONG (sell BSP),51.51547343487267,211.23,15893.0
buy,15924,210.78,469.56672427626563,0.0,OPEN_LONG pred_ret=2.57% pred_mr=0.62,,,
sell,15931,211.41,469.56672427626563,0.0,CLOSE_LONG (sell BSP),295.82703629404523,210.78,15924.0
buy,16037,214.69,462.39275783336586,0.0,OPEN_LONG pred_ret=1.31% pred_mr=0.50,,,
sell,16079,217.16,462.39275783336586,0.0,CLOSE_LONG (sell BSP),1142.1101118484132,214.69,16037.0
buy,16352,219.69,457.06773768079444,0.0,OPEN_LONG pred_ret=2.58% pred_mr=0.51,,,
sell,16363,220.33,457.06773768079444,0.0,CLOSE_LONG (sell BSP),292.52335211571517,219.69,16352.0
buy,16442,218.25,461.4237555244419,0.0,OPEN_LONG pred_ret=2.89% pred_mr=0.51,,,
sell,16447,218.45,461.4237555244419,0.0,CLOSE_LONG (sell BSP),92.28475110488313,218.25,16442.0
buy,16479,221.83,454.39309108017096,0.0,OPEN_LONG pred_ret=2.34% pred_mr=0.48,,,
sell,16547,222.0621,454.39309108017096,0.0,CLOSE_LONG (sell BSP),105.46463643969597,221.83,16479.0
buy,17040,225.88,446.71278568600155,0.0,OPEN_LONG pred_ret=2.81% pred_mr=0.53,,,
sell,17044,226.25,446.71278568600155,0.0,CLOSE_LONG (sell BSP),165.2837307038226,225.88,17040.0
buy,17073,227.35,444.5514306639888,0.0,OPEN_LONG pred_ret=2.43% pred_mr=0.46,,,
sell,17084,227.47,444.5514306639888,0.0,CLOSE_LONG (sell BSP),53.34617167968068,227.35,17073.0
buy,17160,225.26,448.912873715429,0.0,OPEN_LONG pred_ret=2.59% pred_mr=0.55,,,
sell,17220,222.43,448.912873715429,0.0,CLOSE_LONG (sell BSP),-1270.4234326146568,225.26,17160.0
buy,17284,221.75,450.2894723811629,0.0,OPEN_LONG pred_ret=3.13% pred_mr=0.42,,,
sell,17290,223.44,450.2894723811629,0.0,CLOSE_LONG (sell BSP),760.9892083241643,221.75,17284.0
buy,17300,222.48,452.2324690257418,0.0,OPEN_LONG pred_ret=2.83% pred_mr=0.50,,,
sell,17320,219.0,452.2324690257418,0.0,CLOSE_LONG (sell BSP),-1573.768992209577,222.48,17300.0
buy,17353,216.9,456.6109299983285,0.0,OPEN_LONG pred_ret=3.41% pred_mr=0.56,,,
sell,17359,219.45,456.6109299983285,0.0,CLOSE_LONG (sell BSP),1164.35787149573,216.9,17353.0
buy,17409,219.48,456.5485173507071,0.0,OPEN_LONG pred_ret=3.33% pred_mr=0.89,,,
sell,17419,220.0,456.5485173507071,0.0,CLOSE_LONG (sell BSP),237.40522902237234,219.48,17409.0
buy,17443,219.5,457.5884911943306,0.0,OPEN_LONG pred_ret=3.51% pred_mr=0.73,,,
sell,17474,218.09,457.5884911943306,0.0,CLOSE_LONG (sell BSP),-645.1997725840046,219.5,17443.0
buy,17486,216.09,461.82365701592647,0.0,OPEN_LONG pred_ret=3.49% pred_mr=0.48,,,
sell,17494,218.22,461.82365701592647,0.0,CLOSE_LONG (sell BSP),983.6843894439213,216.09,17486.0
buy,17501,217.81,462.6929821129217,0.0,OPEN_LONG pred_ret=2.89% pred_mr=0.59,,,
sell,17516,219.22,462.6929821129217,0.0,CLOSE_LONG (sell BSP),652.397104779218,217.81,17501.0
buy,17528,219.0,463.1577878483776,0.0,OPEN_LONG pred_ret=2.82% pred_mr=0.55,,,
sell,17542,220.11,463.1577878483776,0.0,CLOSE_LONG (sell BSP),514.1051445117055,219.0,17528.0
buy,17621,222.3,458.5949648371858,0.0,OPEN_LONG pred_ret=2.63% pred_mr=0.46,,,
sell,17662,218.9,458.5949648371858,0.0,CLOSE_LONG (sell BSP),-1559.2228804464344,222.3,17621.0
buy,17679,219.08,458.21817510890986,0.0,OPEN_LONG pred_ret=2.85% pred_mr=0.42,,,
sell,17692,220.13,458.21817510890986,0.0,CLOSE_LONG (sell BSP),481.12908386434754,219.08,17679.0
buy,17982,227.24,443.88121319628726,0.0,OPEN_LONG pred_ret=1.38% pred_mr=0.43,,,
sell,17988,227.81,443.88121319628726,0.0,CLOSE_LONG (sell BSP),253.0122915218807,227.24,17982.0
buy,18003,226.97,445.5239863340803,0.0,OPEN_LONG pred_ret=1.06% pred_mr=0.41,,,
sell,18008,227.55,445.5239863340803,0.0,CLOSE_LONG (sell BSP),258.4039120737721,226.97,18003.0
buy,18055,228.68,443.32247284554825,0.0,OPEN_LONG pred_ret=1.54% pred_mr=0.41,,,
sell,18062,229.42,443.32247284554825,0.0,CLOSE_LONG (sell BSP),328.05862990569716,228.68,18055.0
buy,18117,227.135,447.7823396668311,0.0,OPEN_LONG pred_ret=1.83% pred_mr=0.65,,,
sell,18156,227.45,447.7823396668311,0.0,CLOSE_LONG (sell BSP),141.05143699505078,227.135,18117.0
buy,18487,229.1497,444.460949140325,0.0,OPEN_LONG pred_ret=1.06% pred_mr=0.58,,,
sell,18492,229.6,444.460949140325,0.0,CLOSE_LONG (sell BSP),200.14076539788772,229.1497,18487.0
buy,18500,228.9,445.8201569358611,0.0,OPEN_LONG pred_ret=1.11% pred_mr=0.53,,,
sell,18530,229.09,445.8201569358611,0.0,CLOSE_LONG (sell BSP),84.7058298178126,228.9,18500.0
buy,18710,229.7,444.6362200802631,0.0,OPEN_LONG pred_ret=1.20% pred_mr=0.41,,,
sell,18748,234.15,444.6362200802631,0.0,CLOSE_LONG (sell BSP),1978.6311793571786,229.7,18710.0
buy,18755,233.86,445.1875948507381,0.0,OPEN_LONG pred_ret=0.93% pred_mr=0.40,,,
sell,18767,233.98,445.1875948507381,0.0,CLOSE_LONG (sell BSP),53.42251138207794,233.86,18755.0
buy,18815,231.4601,450.03434044647736,0.0,OPEN_LONG pred_ret=1.66% pred_mr=0.47,,,
sell,18887,229.68,450.03434044647736,0.0,CLOSE_LONG (sell BSP),-801.1061294287764,231.4601,18815.0
buy,18917,229.3,450.78014528454827,0.0,OPEN_LONG pred_ret=1.53% pred_mr=0.51,,,
sell,18926,231.47,450.78014528454827,0.0,CLOSE_LONG (sell BSP),978.1929152674641,229.3,18917.0
buy,18985,229.16,455.3241413379926,0.0,OPEN_LONG pred_ret=2.14% pred_mr=0.66,,,
sell,19015,225.85,455.3241413379926,0.0,CLOSE_LONG (sell BSP),-1507.1229078287565,229.16,18985.0
buy,19121,229.75,447.5950264251823,0.0,OPEN_LONG pred_ret=1.60% pred_mr=0.48,,,
sell,19130,229.77,447.5950264251823,0.0,CLOSE_LONG (sell BSP),8.951900528508226,229.75,19121.0
buy,19139,228.98,449.13926640629813,0.0,OPEN_LONG pred_ret=1.63% pred_mr=0.74,,,
sell,19150,229.63,449.13926640629813,0.0,CLOSE_LONG (sell BSP),291.94052316409636,228.98,19139.0
buy,19164,229.41,449.5699827595931,0.0,OPEN_LONG pred_ret=1.67% pred_mr=0.66,,,
sell,19180,228.81,449.5699827595931,0.0,CLOSE_LONG (sell BSP),-269.7419896557533,229.41,19164.0
buy,19205,231.11,445.09587536334425,0.0,OPEN_LONG pred_ret=1.31% pred_mr=0.47,,,
sell,19213,232.19,445.09587536334425,0.0,CLOSE_LONG (sell BSP),480.7035453924047,231.11,19205.0
buy,19253,231.64,446.152699450073,0.0,OPEN_LONG pred_ret=1.30% pred_mr=0.47,,,
sell,19271,231.02,446.152699450073,0.0,CLOSE_LONG (sell BSP),-276.6146736590346,231.64,19253.0
buy,19302,230.21,447.72249957411,0.0,OPEN_LONG pred_ret=1.70% pred_mr=0.45,,,
sell,19323,229.88,447.72249957411,0.0,CLOSE_LONG (sell BSP),-147.7484248594619,230.21,19302.0
buy,19382,229.47,448.52245697518805,0.0,OPEN_LONG pred_ret=1.46% pred_mr=0.47,,,
sell,19399,230.0887,448.52245697518805,0.0,CLOSE_LONG (sell BSP),277.5008441305443,229.47,19382.0
