date,equity,cash,pos,buy_th,sell_th,p_day,daily_action,daily_buy_level,daily_sell_level
2010-01-04,100000.0,100000.0,0,0.3,0.3,0.3006112819687128,FORCE_SELL,0.2,0.3
2010-01-05,100000.0,100000.0,0,0.3,0.3,0.30307664785613614,FORCE_SELL,0.2,0.3
2010-01-06,100000.0,100000.0,0,0.3,0.3,0.40655152835631186,FORCE_SELL,0.2,0.3
2010-01-07,100000.0,100000.0,0,0.3,0.3,0.3542393672633162,FORCE_SELL,0.2,0.3
2010-01-08,100000.0,100000.0,0,0.3,0.3,0.2973187861843714,FREE,0.2,0.3
2010-01-11,100000.0,100000.0,0,0.3,0.3,0.40128139317882966,FORCE_SELL,0.2,0.3
2010-01-12,100000.0,100000.0,0,0.3,0.3,0.33741219613028156,FORCE_SELL,0.2,0.3
2010-01-13,100000.0,100000.0,0,0.3,0.3,0.2971096917284357,FREE,0.2,0.3
2010-01-14,100000.0,100000.0,0,0.3,0.3,0.3512517896760543,FORCE_SELL,0.2,0.3
2010-01-15,100000.0,100000.0,0,0.3,0.3,0.357181595808197,FORCE_SELL,0.2,0.3
2010-01-19,100000.0,100000.0,0,0.3,0.3,0.2761563643470291,FREE,0.2,0.3
2010-01-20,100000.0,100000.0,0,0.3,0.3,0.33147365623392444,FORCE_SELL,0.2,0.3
2010-01-21,100000.0,100000.0,0,0.3,0.3,0.3511363562689738,FORCE_SELL,0.2,0.3
2010-01-22,100000.0,100000.0,0,0.3,0.3,0.31304312760151637,FORCE_SELL,0.2,0.3
2010-01-25,100000.0,100000.0,0,0.3,0.3,0.3023048980223441,FORCE_SELL,0.2,0.3
2010-01-26,100000.0,100000.0,0,0.3,0.3,0.2864104318665323,FREE,0.2,0.3
2010-01-27,100000.0,100000.0,0,0.3,0.3,0.23153726792124965,FREE,0.2,0.3
2010-01-28,100000.0,100000.0,0,0.3,0.3,0.3512496658357773,FORCE_SELL,0.2,0.3
2010-01-29,100000.0,100000.0,0,0.3,0.3,0.41572135170845415,FORCE_SELL,0.2,0.3
2010-02-01,100000.0,100000.0,0,0.3,0.3,0.236613120914308,FREE,0.2,0.3
2010-02-02,100000.0,100000.0,0,0.3,0.3,0.2190277656881011,FREE,0.2,0.3
2010-02-03,100000.0,100000.0,0,0.3,0.3,0.2214522107344907,FREE,0.2,0.3
2010-02-04,100000.0,100000.0,0,0.3,0.3,0.3041533946764687,FORCE_SELL,0.2,0.3
2010-02-05,100000.0,100000.0,0,0.3,0.3,0.2187368061488134,FREE,0.2,0.3
2010-02-08,100000.0,100000.0,0,0.3,0.3,0.27792029405269286,FREE,0.2,0.3
2010-02-09,100000.0,100000.0,0,0.3,0.3,0.2427398693747568,FREE,0.2,0.3
2010-02-10,100000.0,100000.0,0,0.3,0.3,0.23162069654289028,FREE,0.2,0.3
2010-02-11,100000.0,100000.0,0,0.3,0.3,0.2819543681429288,FREE,0.2,0.3
2010-02-12,100000.0,100000.0,0,0.3,0.3,0.2978375685216745,FREE,0.2,0.3
2010-02-16,100000.0,100000.0,0,0.3,0.3,0.32692953611840014,FORCE_SELL,0.2,0.3
2010-02-17,100000.0,100000.0,0,0.3,0.3,0.3428380468567491,FORCE_SELL,0.2,0.3
2010-02-18,100000.0,100000.0,0,0.3,0.3,0.35123298440460043,FORCE_SELL,0.2,0.3
2010-02-19,100000.0,100000.0,0,0.3,0.3,0.3978751488511063,FORCE_SELL,0.2,0.3
2010-02-22,100000.0,100000.0,0,0.3,0.3,0.383503524374374,FORCE_SELL,0.2,0.3
2010-02-23,100000.0,100000.0,0,0.3,0.3,0.35532889085452196,FORCE_SELL,0.2,0.3
2010-02-24,100000.0,100000.0,0,0.3,0.3,0.33111992227104425,FORCE_SELL,0.2,0.3
2010-02-25,100000.0,100000.0,0,0.3,0.3,0.24059461431189674,FREE,0.2,0.3
2010-02-26,100000.0,100000.0,0,0.3,0.3,0.32365940234439555,FORCE_SELL,0.2,0.3
2010-03-01,100000.0,100000.0,0,0.3,0.3,0.31656064666400924,FORCE_SELL,0.2,0.3
2010-03-02,100000.0,100000.0,0,0.3,0.3,0.4408495137764579,FORCE_SELL,0.2,0.3
2010-03-03,100000.0,100000.0,0,0.3,0.3,0.40701609589902626,FORCE_SELL,0.2,0.3
2010-03-04,100000.0,100000.0,0,1.3499999999999996,2.2999999999999994,0.34543343929537956,FORCE_SELL,0.2,0.3
2010-03-05,100000.0,100000.0,0,1.2999999999999996,2.4499999999999993,0.3832061054942064,FORCE_SELL,0.2,0.3
2010-03-08,100000.0,100000.0,0,1.2999999999999996,2.4499999999999993,0.4368747066628409,FORCE_SELL,0.2,0.3
2010-03-09,100000.0,100000.0,0,1.2999999999999996,2.4499999999999993,0.37416125852460347,FORCE_SELL,0.2,0.3
2010-03-10,100000.0,100000.0,0,1.2999999999999996,2.4499999999999993,0.2750509795005435,FREE,0.2,0.3
2010-03-11,100000.0,100000.0,0,1.2999999999999996,2.4499999999999993,0.25631049707099773,FREE,0.2,0.3
2010-03-12,100000.0,100000.0,0,1.2999999999999996,2.4499999999999993,0.2844420339806779,FREE,0.2,0.3
2010-03-15,100000.0,0.0,1,-0.5,-0.5,0.2556144832085951,FREE,0.2,0.3
2010-03-16,100529.35192069267,100529.35192069267,0,-0.5,0.5499999999999998,0.2822018168702189,FREE,0.2,0.3
2010-03-17,100529.35192069267,100529.35192069267,0,-0.5,0.6999999999999997,0.3162900524570505,FORCE_SELL,0.2,0.3
2010-03-18,100435.02379290355,0.0,1,-0.5,0.8499999999999996,0.2734057420382782,FREE,0.2,0.3
2010-03-19,100582.16593743062,100582.16593743062,0,-0.5,0.34999999999999987,0.30261864939428573,FORCE_SELL,0.2,0.3
2010-03-22,101278.375583945,101278.375583945,0,1.3499999999999996,0.8999999999999997,0.24238399777922573,FREE,0.2,0.3
2010-03-23,102337.99449568329,0.0,1,1.3499999999999996,1.0999999999999996,0.28036125514938626,FREE,0.2,0.3
2010-03-24,101786.99266157938,0.0,1,1.2999999999999996,0.7999999999999998,0.2857641512304588,FREE,0.2,0.3
2010-03-25,102126.07071333562,102126.07071333562,0,1.6499999999999995,1.0499999999999996,0.30677294624121415,FORCE_SELL,0.2,0.3
2010-03-26,102296.1037134827,0.0,1,1.7499999999999996,-0.5,0.27823365219742663,FREE,0.2,0.3
