date,equity,cash,pos,buy_th,sell_th,p_day,daily_action,daily_buy_level,daily_sell_level,SPY,Return %,SPY %
1/2/2024,100000,100000,0,1.8,1.4,0.136867347,FORCE_BUY,0.2,0.3,475.31,0.00%,0.00%
1/3/2024,100000,100000,0,0.45,-0.5,0.170256046,FORCE_BUY,0.2,0.3,472.65,0.00%,-0.56%
1/4/2024,99684.62325,0,1,0.35,-0.5,0.271748295,FREE,0.2,0.3,468.79,-0.32%,-1.37%
1/5/2024,99823.13331,0,1,0.35,-0.5,0.239400393,FREE,0.2,0.3,467.28,-0.18%,-1.69%
1/8/2024,100128.485,100128.485,0,-0.5,-0.5,0.285325692,FREE,0.2,0.3,467.92,0.13%,-1.55%
1/9/2024,100128.485,100128.485,0,-0.5,-0.5,0.244836381,FREE,0.2,0.3,474.6,0.13%,-0.15%
1/10/2024,100436.9721,100436.9721,0,-0.5,-0.5,0.242632427,FREE,0.2,0.3,473.88,0.44%,-0.30%
1/11/2024,100964.7608,100964.7608,0,0.05,-0.5,0.284718209,FREE,0.2,0.3,476.56,0.96%,0.26%
1/12/2024,100865.0939,0,1,-0.05,-0.5,0.160960756,FORCE_BUY,0.2,0.3,476.35,0.87%,0.22%
1/16/2024,100674.2422,0,1,1.3,1.5,0.176031401,FORCE_BUY,0.2,0.3,476.68,0.67%,0.29%
1/17/2024,100158.9428,0,1,-0.5,-0.5,0.149368075,FORCE_BUY,0.2,0.3,474.93,0.16%,-0.08%
1/18/2024,101096.2364,0,1,1.25,1.55,0.168554626,FORCE_BUY,0.2,0.3,472.29,1.10%,-0.64%
1/19/2024,102347.375,0,1,1.25,1.55,0.162612241,FORCE_BUY,0.2,0.3,476.49,2.35%,0.25%
1/22/2024,102538.2266,0,1,1.25,1.55,0.159180936,FORCE_BUY,0.2,0.3,482.43,2.54%,1.50%
1/23/2024,103053.5261,0,1,-0.5,1.55,0.139466912,FORCE_BUY,0.2,0.3,483.45,3.05%,1.71%
1/24/2024,102947.4974,0,1,-0.5,2,0.197069075,FORCE_BUY,0.2,0.3,484.86,2.95%,2.01%
1/25/2024,103259.2217,0,1,1.5,1.75,0.153675851,FORCE_BUY,0.2,0.3,485.39,3.26%,2.12%
1/26/2024,103218.9308,0,1,1,1.45,0.152354222,FORCE_BUY,0.2,0.3,488.03,3.22%,2.68%
1/29/2024,104181.6713,0,1,1,1.45,0.143157116,FORCE_BUY,0.2,0.3,487.41,4.18%,2.55%
1/30/2024,103740.592,0,1,1.25,1.25,0.131149646,FORCE_BUY,0.2,0.3,491.27,3.74%,3.36%
1/31/2024,103995.7806,103995.7806,0,1.85,1.05,0.269459395,FREE,0.2,0.3,490.89,4.00%,3.28%
2/1/2024,105641.3922,0,1,1,2.35,0.183184574,FORCE_BUY,0.2,0.3,482.88,5.64%,1.59%
2/2/2024,106043.1277,0,1,0.9,2.25,0.196797795,FORCE_BUY,0.2,0.3,489.2,6.04%,2.92%
2/5/2024,105819.7026,0,1,0.9,2.25,0.182270368,FORCE_BUY,0.2,0.3,494.35,5.82%,4.01%
2/6/2024,106088.2424,0,1,0.95,2.5,0.144178322,FORCE_BUY,0.2,0.3,492.55,6.09%,3.63%
2/7/2024,106934.6797,0,1,0.95,2.5,0.127465381,FORCE_BUY,0.2,0.3,493.98,6.93%,3.93%
2/8/2024,106999.1292,0,1,0.75,-0.5,0.116418763,FORCE_BUY,0.2,0.3,498.1,7.00%,4.79%
2/9/2024,107630.7347,0,1,0.8,1.8,0.134655022,FORCE_BUY,0.2,0.3,498.32,7.63%,4.84%
2/12/2024,107458.8693,0,1,1.85,-0.5,0.177357263,FORCE_BUY,0.2,0.3,501.2,7.46%,5.45%
2/13/2024,107191.5701,107191.5701,0,2.2,-0.5,0.225434194,FREE,0.2,0.3,500.98,7.19%,5.40%
2/14/2024,107191.5701,107191.5701,0,1.75,2.05,0.156369225,FORCE_BUY,0.2,0.3,494.08,7.19%,3.95%
2/15/2024,107191.5701,107191.5701,0,1.75,2.05,0.14056054,FORCE_BUY,0.2,0.3,498.57,7.19%,4.89%
2/16/2024,106912.6768,0,1,1.2,-0.5,0.202712552,FREE,0.2,0.3,502.01,6.91%,5.62%
2/20/2024,106421.3955,0,1,2,1.45,0.164323514,FORCE_BUY,0.2,0.3,499.51,6.42%,5.09%
2/21/2024,107459.7367,0,1,1.8,-0.5,0.138030053,FORCE_BUY,0.2,0.3,496.76,7.46%,4.51%
2/22/2024,108841.3313,0,1,1.65,2.5,0.160672756,FORCE_BUY,0.2,0.3,497.21,8.84%,4.61%
2/23/2024,108779.1166,0,1,1.35,1.85,0.159333009,FORCE_BUY,0.2,0.3,507.5,8.78%,6.77%
2/26/2024,108497.9921,0,1,1.35,1.85,0.190961286,FORCE_BUY,0.2,0.3,507.85,8.50%,6.85%
2/27/2024,108704.0299,0,1,0.95,1.6,0.127523937,FORCE_BUY,0.2,0.3,505.99,8.70%,6.45%
2/28/2024,108504.514,0,1,0.9,1.65,0.145460881,FORCE_BUY,0.2,0.3,506.93,8.50%,6.65%
2/29/2024,109107.3526,0,1,0.85,2.3,0.164199116,FORCE_BUY,0.2,0.3,506.26,9.11%,6.51%
3/1/2024,109843.2018,0,1,-0.5,2.1,0.136418849,FORCE_BUY,0.2,0.3,508.08,9.84%,6.89%
3/4/2024,109753.0978,0,1,0.9,0.85,0.159366328,FORCE_BUY,0.2,0.3,512.85,9.75%,7.90%
3/5/2024,108761.9539,0,1,2,-0.5,0.211749731,FREE,0.2,0.3,512.3,8.76%,7.78%
3/6/2024,109182.4392,0,1,1.05,1.6,0.191645142,FORCE_BUY,0.2,0.3,507.18,9.18%,6.71%
3/7/2024,110465.3484,0,1,0.2,1.25,0.158800615,FORCE_BUY,0.2,0.3,509.75,10.47%,7.25%
3/8/2024,109535.069,0,1,0.75,1.3,0.22458773,FREE,0.2,0.3,514.81,9.54%,8.31%
3/11/2024,109759.8595,0,1,1.75,1.75,0.14174155,FORCE_BUY,0.2,0.3,511.72,9.76%,7.66%
3/12/2024,110684.7119,0,1,1.35,1.85,0.17173189,FORCE_BUY,0.2,0.3,511.28,10.68%,7.57%
3/13/2024,110586.2323,0,1,1.3,1.15,0.158319386,FORCE_BUY,0.2,0.3,516.78,10.59%,8.72%
3/14/2024,110093.834,0,1,-0.5,1.05,0.190954251,FORCE_BUY,0.2,0.3,515.97,10.09%,8.55%
3/15/2024,109139.0095,0,1,2.45,-0.5,0.167107786,FORCE_BUY,0.2,0.3,514.95,9.14%,8.34%
3/18/2024,109712.7605,0,1,2.45,-0.5,0.184692772,FORCE_BUY,0.2,0.3,509.83,9.71%,7.26%
3/19/2024,110350.7375,0,1,1.55,2.3,0.145422621,FORCE_BUY,0.2,0.3,512.86,10.35%,7.90%
3/20/2024,111727.3974,0,1,0.65,2.45,0.151351313,FORCE_BUY,0.2,0.3,515.71,11.73%,8.50%
3/21/2024,111934.9754,0,1,0.45,1.8,0.178262381,FORCE_BUY,0.2,0.3,520.48,11.93%,9.50%
3/22/2024,111485.3944,0,1,1.5,-0.5,0.167869476,FORCE_BUY,0.2,0.3,522.2,11.49%,9.87%
3/25/2024,111425.4502,0,1,1.65,-0.5,0.161409474,FORCE_BUY,0.2,0.3,521.21,11.43%,9.66%
3/26/2024,111262.7447,0,1,1.95,1.3,0.184751662,FORCE_BUY,0.2,0.3,519.77,11.26%,9.35%
3/27/2024,111845.0592,0,1,1.8,1.65,0.132576445,FORCE_BUY,0.2,0.3,518.81,11.85%,9.15%
3/28/2024,111956.384,0,1,1.6,1.65,0.1626161,FORCE_BUY,0.2,0.3,523.17,11.96%,10.07%
4/1/2024,111682.3537,0,1,1.6,1.65,0.180373667,FORCE_BUY,0.2,0.3,523.07,11.68%,10.05%
4/2/2024,111050.7994,0,1,2.3,1.3,0.138724487,FORCE_BUY,0.2,0.3,522.16,11.05%,9.86%
4/3/2024,111474.6901,0,1,1.35,1.65,0.166935448,FORCE_BUY,0.2,0.3,518.84,11.47%,9.16%
4/4/2024,109907.579,0,1,1.75,-0.5,0.324418647,FORCE_SELL,0.2,0.3,519.41,9.91%,9.28%
4/5/2024,111005.8413,0,1,1.7,-0.5,0.194820444,FORCE_BUY,0.2,0.3,513.07,11.01%,7.94%
4/8/2024,111070.0671,0,1,1.5,1.7,0.159677122,FORCE_BUY,0.2,0.3,518.43,11.07%,9.07%
4/9/2024,111228.4909,0,1,1.55,1.85,0.18039838,FORCE_BUY,0.2,0.3,518.72,11.23%,9.13%
4/10/2024,109871.1843,0,1,1.9,-0.5,0.178873626,FORCE_BUY,0.2,0.3,519.32,9.87%,9.26%
4/11/2024,110950.1788,0,1,2.25,-0.5,0.189273022,FORCE_BUY,0.2,0.3,514.12,10.95%,8.17%
4/12/2024,110465.9779,110465.9779,0,2.15,-0.5,0.222521897,FREE,0.2,0.3,518,10.47%,8.98%
4/15/2024,110097.1615,0,1,2.5,-0.5,0.269540808,FREE,0.2,0.3,510.85,10.10%,7.48%
4/16/2024,110188.82,0,1,2.5,-0.5,0.169772965,FORCE_BUY,0.2,0.3,504.45,10.19%,6.13%
4/17/2024,109348.6169,0,1,1.9,-0.5,0.199459177,FORCE_BUY,0.2,0.3,503.53,9.35%,5.94%
4/18/2024,108829.2186,0,1,1.55,-0.5,0.192768311,FORCE_BUY,0.2,0.3,500.55,8.83%,5.31%
4/19/2024,107962.8273,0,1,1.55,-0.5,0.183808919,FORCE_BUY,0.2,0.3,499.52,7.96%,5.09%
4/22/2024,108975.4357,0,1,0.55,-0.5,0.165265066,FORCE_BUY,0.2,0.3,495.16,8.98%,4.18%
4/23/2024,110520.5365,0,1,0.55,2.25,0.142355123,FORCE_BUY,0.2,0.3,499.72,10.52%,5.14%
4/24/2024,109651.9629,0,1,1.15,1.65,0.15097801,FORCE_BUY,0.2,0.3,505.65,9.65%,6.38%
4/25/2024,110664.5714,0,1,0.75,2.4,0.145783925,FORCE_BUY,0.2,0.3,505.41,10.66%,6.33%
4/26/2024,111013.7467,0,1,-0.5,-0.5,0.145780815,FORCE_BUY,0.2,0.3,503.49,11.01%,5.93%
4/29/2024,111262.5341,0,1,0.65,1.35,0.124491944,FORCE_BUY,0.2,0.3,508.26,11.26%,6.93%
4/30/2024,110075.9608,0,1,1.45,-0.5,0.232690718,FREE,0.2,0.3,510.06,10.08%,7.31%
5/1/2024,109705.4936,0,1,1.85,-0.5,0.241805131,FREE,0.2,0.3,501.98,9.71%,5.61%
5/2/2024,110622.8184,0,1,0.55,2.3,0.164210711,FORCE_BUY,0.2,0.3,500.35,10.62%,5.27%
5/3/2024,111896.1526,0,1,1.1,2.45,0.141366074,FORCE_BUY,0.2,0.3,505.03,11.90%,6.25%
5/6/2024,112798.1887,0,1,-0.5,2,0.121247866,FORCE_BUY,0.2,0.3,511.29,12.80%,7.57%
5/7/2024,112988.206,0,1,-0.5,2,0.144941994,FORCE_BUY,0.2,0.3,516.57,12.99%,8.68%
5/8/2024,112916.1304,0,1,0.3,1.65,0.138307324,FORCE_BUY,0.2,0.3,517.14,12.92%,8.80%
5/9/2024,113695.8565,0,1,1.1,2.1,0.118658776,FORCE_BUY,0.2,0.3,517.19,13.70%,8.81%
5/10/2024,113556.0737,0,1,0.45,2,0.147377084,FORCE_BUY,0.2,0.3,520.17,13.56%,9.44%
5/13/2024,113746.091,0,1,0.45,2,0.153606223,FORCE_BUY,0.2,0.3,520.84,13.75%,9.58%
5/14/2024,114359.8249,0,1,1.15,1.15,0.128084202,FORCE_BUY,0.2,0.3,520.91,14.36%,9.59%
5/15/2024,115796.9671,0,1,1.15,1.15,0.139752457,FORCE_BUY,0.2,0.3,523.3,15.80%,10.10%
5/16/2024,115475.9034,0,1,-0.5,0.95,0.175121543,FORCE_BUY,0.2,0.3,529.78,15.48%,11.46%
5/17/2024,115670.2889,0,1,1.35,0.75,0.125685579,FORCE_BUY,0.2,0.3,528.69,15.67%,11.23%
5/20/2024,115735.8121,0,1,-0.5,1.05,0.15144501,FORCE_BUY,0.2,0.3,529.45,15.74%,11.39%
5/21/2024,116063.4281,0,1,1,0.7,0.136089583,FORCE_BUY,0.2,0.3,530.06,16.06%,11.52%
5/22/2024,115976.0639,0,1,1.25,1.65,0.176911325,FORCE_BUY,0.2,0.3,531.36,15.98%,11.79%
