klu_idx,timestamp,klu_open,klu_high,klu_low,klu_close,klu_volume,bsp_type,bsp_types,is_buy,direction,is_segbsp,feat_divergence_rate,feat_bsp1_bi_amp,feat_bsp1_bi_klu_cnt,feat_bsp1_bi_amp_rate,feat_macd_value,feat_macd_dea,feat_macd_diff,feat_ppo,feat_rsi,feat_kdj_k,feat_kdj_d,feat_kdj_j,feat_volume,feat_bsp_bi_amp,macd_value,macd_dif,macd_dea,rsi,kdj_k,kdj_d,kdj_j,dmi_plus,dmi_minus,dmi_adx,price_change_pct,high_low_spread_pct,upper_shadow,lower_shadow,body_size,is_bullish_candle,snapshot_first_seen,snapshot_last_seen,profit_target_pct,profit_target_distance,has_profit_target,exit_type,exit_klu_idx,exit_price,feat_bsp2_retrace_rate,feat_bsp2_break_bi_amp,feat_bsp2_break_bi_bi_klu_cnt,feat_bsp2_break_bi_amp_rate,feat_bsp2_bi_amp,feat_bsp2_bi_klu_cnt,feat_bsp2_bi_amp_rate,feat_bsp2s_retrace_rate,feat_bsp2s_break_bi_amp,feat_bsp2s_break_bi_klu_cnt,feat_bsp2s_break_bi_amp_rate,feat_bsp2s_bi_amp,feat_bsp2s_bi_klu_cnt,feat_bsp2s_bi_amp_rate,feat_bsp2s_lv,feat_bsp3_zs_height,feat_bsp3_bi_amp,feat_bsp3_bi_klu_cnt,feat_bsp3_bi_amp_rate,feat_zs_cnt,direction_encoded
94.0,2023/05/01 07:50,4460.75,4461.0,4458.25,4458.75,1228.0,1p,1p,1,buy,False,0.42335048418600135,7.25,30.0,0.001623558392117344,-0.45275253842274543,-0.46185927084529393,-0.6882355400566667,-0.00015423977549176325,33.878394735845816,29.87789246955535,42.11588354774064,5.401910313184771,1228.0,7.25,-0.45275253842274543,-0.6882355400566667,-0.46185927084529393,33.878394735845816,29.87789246955535,42.11588354774064,5.401910313184771,11.76470588235294,34.11764705882353,37.99070348403666,-0.04483550972370117,0.06168339595132619,0.25,0.5,2.0,0,95.0,96.0,0.448556209700028,58.0,1,best_24h,152.0,4478.75,0.5681231673302368,21.355095541401273,34.018046709129514,0.004662099111631858,10.39676220806794,17.848195329087048,0.0022679226225772635,0.5008891899288628,25.116592639593907,39.52918781725889,0.005487236686670708,9.923223350253807,20.854060913705585,0.0021661287856992975,2.0558375634517767,0.0012839963034036194,9.731432360742705,16.896551724137932,0.002144468958849843,1.4028497409326426,0
96.0,2023/05/01 08:00,4459.0,4459.25,4457.75,4458.75,725.0,1p,1p,1,buy,False,0.478870667570614,7.75,32.0,0.001735527936401299,-0.6677278049018984,-0.6191141911181232,-0.9529780935690724,-0.0002135931183980343,34.547493759371946,23.4545019162936,32.13228285430269,6.098940040275437,725.0,7.75,-0.6677278049018984,-0.9529780935690724,-0.6191141911181232,34.547493759371946,23.4545019162936,32.13228285430269,6.098940040275437,4.878048780487805,32.926829268292686,40.787921856472494,-0.005606638259699485,0.033649262520329765,0.25,1.0,0.25,0,97.0,97.0,0.448556209700028,56.0,1,best_24h,152.0,4478.75,0.5681231673302368,21.355095541401273,34.018046709129514,0.004662099111631858,10.39676220806794,17.848195329087048,0.0022679226225772635,0.5008891899288628,25.116592639593907,39.52918781725889,0.005487236686670708,9.923223350253807,20.854060913705585,0.0021661287856992975,2.0558375634517767,0.0012839963034036194,9.731432360742705,16.896551724137932,0.002144468958849843,1.4028497409326426,0
97.0,2023/05/01 08:05,4458.75,4459.0,4457.0,4457.5,1229.0,1p,1p,1,buy,False,0.5948900074471123,8.5,33.0,0.001903482252827231,-0.829502881949143,-0.722802051361766,-1.1375534923363375,-0.00025497999184478503,30.54823902980695,18.534885335500082,27.599817014701816,0.4050219770966166,1229.0,8.5,-0.829502881949143,-1.1375534923363375,-0.722802051361766,30.54823902980695,18.534885335500082,27.599817014701816,0.4050219770966166,4.705882352941177,35.294117647058826,43.33668374067404,-0.02803476310625175,0.04487323311644604,0.25,0.5,1.25,0,98.0,98.0,0.47672462142456534,55.0,1,best_24h,152.0,4478.75,0.5681231673302368,21.355095541401273,34.018046709129514,0.004662099111631858,10.39676220806794,17.848195329087048,0.0022679226225772635,0.5008891899288628,25.116592639593907,39.52918781725889,0.005487236686670708,9.923223350253807,20.854060913705585,0.0021661287856992975,2.0558375634517767,0.0012839963034036194,9.731432360742705,16.896551724137932,0.002144468958849843,1.4028497409326426,0
98.0,2023/05/01 08:10,4457.25,4458.75,4457.0,4458.75,798.0,1p,1p,1,buy,False,0.5948900074471123,8.5,34.0,0.001903482252827231,-0.7146929981687464,-0.8121386761328594,-1.1694851752172326,-0.00026214869615847865,38.2467545608348,22.501517759898604,25.90038392976741,15.70378542016099,798.0,8.5,-0.7146929981687464,-1.1694851752172326,-0.8121386761328594,38.2467545608348,22.501517759898604,25.90038392976741,15.70378542016099,4.545454545454546,34.090909090909086,45.70339120457548,0.033653037186606095,0.039264078976890285,0.0,0.25,1.5,1,99.0,103.0,0.448556209700028,54.0,1,best_24h,152.0,4478.75,0.5681231673302368,21.355095541401273,34.018046709129514,0.004662099111631858,10.39676220806794,17.848195329087048,0.0022679226225772635,0.5008891899288628,25.116592639593907,39.52918781725889,0.005487236686670708,9.923223350253807,20.854060913705585,0.0021661287856992975,2.0558375634517767,0.0012839963034036194,9.731432360742705,16.896551724137932,0.002144468958849843,1.4028497409326426,0
103.0,2023/05/01 08:35,4459.0,4459.0,4456.75,4458.0,1557.0,1p,1p,1,buy,False,0.5948900074471123,8.75,39.0,0.0019594670249692085,-0.19388731732958764,-1.0243100276801775,-1.1212536863449714,-0.00025138086123888397,36.076822936123634,37.08961251458447,33.80888847577701,43.6510605921994,1557.0,8.75,-0.19388731732958764,-1.1212536863449714,-1.0243100276801775,36.076822936123634,37.08961251458447,33.80888847577701,43.6510605921994,11.956521739130435,34.78260869565217,45.343335541976955,-0.02242655303879794,0.05048521904975599,0.0,1.25,1.0,0,104.0,113.0,0.46545536114849706,49.0,1,best_24h,152.0,4478.75,0.5681231673302368,21.355095541401273,34.018046709129514,0.004662099111631858,10.39676220806794,17.848195329087048,0.0022679226225772635,0.5008891899288628,25.116592639593907,39.52918781725889,0.005487236686670708,9.923223350253807,20.854060913705585,0.0021661287856992975,2.0558375634517767,0.0012839963034036194,9.731432360742705,16.896551724137932,0.002144468958849843,1.4028497409326426,0
113.0,2023/05/01 09:25,4457.75,4458.5,4456.0,4457.0,2809.0,1p,1p,1,buy,False,0.5948900074471123,9.5,49.0,0.0021274213413951405,-0.3254270553155938,-0.6292427756477996,-0.7919563033055965,-0.00017757516341346098,36.548003122414144,28.7428872785172,41.74883850391326,2.7309848277250666,2809.0,9.5,-0.3254270553155938,-0.7919563033055965,-0.6292427756477996,36.548003122414144,28.7428872785172,41.74883850391326,2.7309848277250666,19.230769230769234,31.73076923076923,26.731456380474732,-0.016824631260164882,0.056104129263913824,0.75,1.0,0.75,0,114.0,114.0,0.48799641014135064,39.0,1,best_24h,152.0,4478.75,0.5681231673302368,21.355095541401273,34.018046709129514,0.004662099111631858,10.39676220806794,17.848195329087048,0.0022679226225772635,0.5008891899288628,25.116592639593907,39.52918781725889,0.005487236686670708,9.923223350253807,20.854060913705585,0.0021661287856992975,2.0558375634517767,0.0012839963034036194,9.731432360742705,16.896551724137932,0.002144468958849843,1.4028497409326426,0
114.0,2023/05/01 09:30,4456.75,4458.75,4456.0,4458.75,4106.0,1p,1p,1,buy,False,0.8743519634442901,9.5,50.0,0.0021274213413951405,-0.21180700609029834,-0.6427250758494187,-0.7486285788945679,-0.00016786341271424237,45.32650407012187,34.43970263026269,39.312459882479104,24.694188125829854,4106.0,9.5,-0.21180700609029834,-0.7486285788945679,-0.6427250758494187,45.32650407012187,34.43970263026269,39.312459882479104,24.694188125829854,19.444444444444446,25.925925925925924,24.925857985264706,0.04487575026644977,0.061714542190305206,0.0,0.75,2.0,1,115.0,1047.0,0.448556209700028,38.0,1,best_24h,152.0,4478.75,0.5681231673302368,21.355095541401273,34.018046709129514,0.004662099111631858,10.39676220806794,17.848195329087048,0.0022679226225772635,0.5008891899288628,25.116592639593907,39.52918781725889,0.005487236686670708,9.923223350253807,20.854060913705585,0.0021661287856992975,2.0558375634517767,0.0012839963034036194,9.731432360742705,16.896551724137932,0.002144468958849843,1.4028497409326426,0
138.0,2023/05/01 11:30,4461.5,4464.25,4460.0,4462.75,17356.0,2,2,1,buy,False,340427.651405393,18.103689211850195,28.434879821129122,0.0039517757345749645,-2.2305191394650317,1.6755594494310206,0.5602998796985048,0.00012544543298289099,43.02689294037549,28.11087623327633,44.96995837436932,-5.607288048909652,17356.0,16.0,-2.2305191394650317,0.5602998796985048,1.6755594494310206,43.02689294037549,28.11087623327633,44.96995837436932,-5.607288048909652,13.636363636363635,24.62121212121212,21.113308576106757,0.028017482909335426,0.0952914798206278,1.5,1.5,1.25,1,139.0,1047.0,0.358523332026217,14.0,1,best_24h,152.0,4478.75,0.8,20.0,20.0,0.004488330341113106,16.0,6.0,0.0035746201966041107,0.5008891899288628,25.116592639593907,39.52918781725889,0.005487236686670708,9.923223350253807,20.854060913705585,0.0021661287856992975,2.0558375634517767,0.0012839963034036194,9.731432360742705,16.896551724137932,0.002144468958849843,1.4028497409326426,0
151.0,2023/05/01 12:35,4472.5,4478.25,4472.5,4476.5,19462.0,1p,1p,0,sell,False,0.6095122386321297,18.25,14.0,0.004091928251121076,1.5608769531482247,1.083642070622751,1.8640805471968633,0.0004171511155274603,70.59025655064806,87.47531955467139,83.03625137500754,96.35345591399908,19462.0,18.25,1.5608769531482247,1.8640805471968633,1.083642070622751,70.59025655064806,87.47531955467139,83.03625137500754,96.35345591399908,33.14285714285714,6.2857142857142865,26.38722879588271,0.08943543879262157,0.1285634432643935,1.75,0.0,4.0,1,152.0,152.0,2.038422875013962,264.0,1,best_24h,415.0,4385.25,0.5681231673302368,21.355095541401273,34.018046709129514,0.004662099111631858,10.39676220806794,17.848195329087048,0.0022679226225772635,0.5008891899288628,25.116592639593907,39.52918781725889,0.005487236686670708,9.923223350253807,20.854060913705585,0.0021661287856992975,2.0558375634517767,0.0012839963034036194,9.731432360742705,16.896551724137932,0.002144468958849843,1.4028497409326426,1
152.0,2023/05/01 12:40,4476.75,4480.75,4476.0,4478.75,12326.0,1p,1p,0,sell,False,0.7648386633461692,20.75,15.0,0.004652466367713004,2.0049499379756384,1.4779237605530469,2.480398729540866,0.0005549915703745686,74.41673907610797,87.60981493712276,84.56084872983351,93.70774735170124,12326.0,20.75,2.0049499379756384,2.480398729540866,1.4779237605530469,74.41673907610797,87.60981493712276,84.56084872983351,93.70774735170124,38.4180790960452,2.824858757062147,26.987041096393888,0.04467526665549785,0.10612153708668454,2.0,0.75,2.0,1,153.0,1112.0,2.0876360591682945,263.0,1,best_24h,415.0,4385.25,0.5681231673302368,21.355095541401273,34.018046709129514,0.004662099111631858,10.39676220806794,17.848195329087048,0.0022679226225772635,0.5008891899288628,25.116592639593907,39.52918781725889,0.005487236686670708,9.923223350253807,20.854060913705585,0.0021661287856992975,2.0558375634517767,0.0012839963034036194,9.731432360742705,16.896551724137932,0.002144468958849843,1.4028497409326426,1
162.0,2023/05/01 13:30,4476.25,4476.75,4472.25,4472.75,8358.0,2s,2s,1,buy,False,340427.651405393,18.103689211850195,28.434879821129122,0.0039517757345749645,-0.5812959314352195,2.2443619163522746,1.9537139506346648,0.0004368239193958207,50.91583360813275,29.559028648625688,42.274649890145795,4.127786165585476,8358.0,8.5,-0.5812959314352195,1.9537139506346648,2.2443619163522746,50.91583360813275,29.559028648625688,42.274649890145795,4.127786165585476,23.42857142857143,16.0,41.69713572877595,-0.07819044959508517,0.1006204930404159,0.5,0.5,3.5,0,163.0,163.0,-0.1788608797719524,152.0,1,best_24h,314.0,4464.75,0.5681231673302368,21.355095541401273,34.018046709129514,0.004662099111631858,10.39676220806794,17.848195329087048,0.0022679226225772635,0.1875,20.0,20.0,0.004488330341113106,8.5,11.0,0.0018970038498019304,1.0,0.0012839963034036194,9.731432360742705,16.896551724137932,0.002144468958849843,1.4028497409326426,0
163.0,2023/05/01 13:35,4472.75,4474.0,4471.0,4473.75,9994.0,2s,2s,1,buy,False,340427.651405393,18.103689211850195,28.434879821129122,0.0039517757345749645,-0.7919499543116428,2.145368172063319,1.7493931949074977,0.0003911327558209049,53.428975985673574,33.286266012664036,39.27852193098521,21.30175417602169,9994.0,9.75,-0.7919499543116428,1.7493931949074977,2.145368172063319,53.428975985673574,33.286266012664036,39.27852193098521,21.30175417602169,21.54696132596685,18.23204419889503,39.31400698624434,0.02235760997149405,0.06709908297919928,0.25,1.75,1.0,1,164.0,164.0,-0.20117351215423301,151.0,1,best_24h,314.0,4464.75,0.5681231673302368,21.355095541401273,34.018046709129514,0.004662099111631858,10.39676220806794,17.848195329087048,0.0022679226225772635,0.25,20.0,20.0,0.004488330341113106,9.75,12.0,0.0021759750041845673,1.0,0.0012839963034036194,9.731432360742705,16.896551724137932,0.002144468958849843,1.4028497409326426,0
164.0,2023/05/01 13:40,4474.0,4474.25,4470.75,4472.75,6986.0,2s,2s,1,buy,False,340427.651405393,18.103689211850195,28.434879821129122,0.0039517757345749645,-1.0492216414192246,2.014215466885916,1.4896046461763035,0.000333048077006169,50.63689857380171,31.714653532252214,36.75723246474087,21.629495667274895,6986.0,10.0,-1.0492216414192246,1.4896046461763035,2.014215466885916,50.63689857380171,31.714653532252214,36.75723246474087,21.629495667274895,18.478260869565215,17.934782608695652,36.61247343818638,-0.027939204291461777,0.07828664094391322,0.25,2.0,1.25,0,165.0,172.0,-0.1788608797719524,150.0,1,best_24h,314.0,4464.75,0.5681231673302368,21.355095541401273,34.018046709129514,0.004662099111631858,10.39676220806794,17.848195329087048,0.0022679226225772635,0.2625,20.0,20.0,0.004488330341113106,10.0,13.0,0.0022317692350610945,1.0,0.0012839963034036194,9.731432360742705,16.896551724137932,0.002144468958849843,1.4028497409326426,0
172.0,2023/05/01 14:20,4471.75,4471.75,4470.0,4470.25,9057.0,2s,2s,1,buy,False,340427.651405393,18.103689211850195,28.434879821129122,0.0039517757345749645,-1.346935353677619,1.0016445287897664,0.3281768519509569,7.337147917179088e-05,42.994140766129235,26.892875226652688,37.10265006312488,6.473325553708307,9057.0,10.75,-1.346935353677619,0.3281768519509569,1.0016445287897664,42.994140766129235,26.892875226652688,37.10265006312488,6.473325553708307,7.100591715976331,18.93491124260355,35.53843943714076,-0.03354391457483088,0.039149888143176735,0.0,0.25,1.5,0,173.0,173.0,-0.12303562440579385,142.0,1,best_24h,314.0,4464.75,0.5681231673302368,21.355095541401273,34.018046709129514,0.004662099111631858,10.39676220806794,17.848195329087048,0.0022679226225772635,0.3,20.0,20.0,0.004488330341113106,10.75,21.0,0.002399151927690677,1.0,0.0012839963034036194,9.731432360742705,16.896551724137932,0.002144468958849843,1.4028497409326426,0
173.0,2023/05/01 14:25,4470.25,4472.25,4469.5,4469.75,6788.0,2s,2s,1,buy,False,340427.651405393,18.103689211850195,28.434879821129122,0.0039517757345749645,-1.5491834915556837,0.807996592345306,0.03340484656746412,7.468800112411807e-06,41.82011023874371,19.119059674911313,31.108119933720353,-4.859060842706768,6788.0,11.25,-1.5491834915556837,0.03340484656746412,0.807996592345306,41.82011023874371,19.119059674911313,31.108119933720353,-4.859060842706768,6.395348837209303,18.6046511627907,36.488351570368245,-0.011185056764163079,0.061528135138158635,2.0,0.25,0.5,0,174.0,174.0,-0.11186307959058113,141.0,1,best_24h,314.0,4464.75,0.5681231673302368,21.355095541401273,34.018046709129514,0.004662099111631858,10.39676220806794,17.848195329087048,0.0022679226225772635,0.325,20.0,20.0,0.004488330341113106,11.25,22.0,0.0025107403894437316,1.0,0.0012839963034036194,9.731432360742705,16.896551724137932,0.002144468958849843,1.4028497409326426,0
