klu_idx,timestamp,klu_open,klu_high,klu_low,klu_close,klu_volume,bsp_type,bsp_types,is_buy,direction,is_segbsp,feat_divergence_rate,feat_bsp1_bi_amp,feat_bsp1_bi_klu_cnt,feat_bsp1_bi_amp_rate,feat_macd_value,feat_macd_dea,feat_macd_diff,feat_ppo,feat_rsi,feat_kdj_k,feat_kdj_d,feat_kdj_j,feat_volume,feat_bsp_bi_amp,macd_value,macd_dif,macd_dea,rsi,kdj_k,kdj_d,kdj_j,dmi_plus,dmi_minus,dmi_adx,price_change_pct,high_low_spread_pct,upper_shadow,lower_shadow,body_size,is_bullish_candle,snapshot_first_seen,snapshot_last_seen,profit_target_pct,profit_target_distance,has_profit_target,exit_type,exit_klu_idx,exit_price,feat_bsp2_retrace_rate,feat_bsp2_break_bi_amp,feat_bsp2_break_bi_bi_klu_cnt,feat_bsp2_break_bi_amp_rate,feat_bsp2_bi_amp,feat_bsp2_bi_klu_cnt,feat_bsp2_bi_amp_rate,feat_zs_cnt,feat_bsp3_zs_height,feat_bsp3_bi_amp,feat_bsp3_bi_klu_cnt,feat_bsp3_bi_amp_rate,feat_bsp2s_retrace_rate,feat_bsp2s_break_bi_amp,feat_bsp2s_break_bi_klu_cnt,feat_bsp2s_break_bi_amp_rate,feat_bsp2s_bi_amp,feat_bsp2s_bi_klu_cnt,feat_bsp2s_bi_amp_rate,feat_bsp2s_lv,direction_encoded
42.0,2023/07/03 07:30,443.5,443.5,443.31,443.31,3428.0,1p,1p,1,buy,False,1.9661767543935522,0.6399999999999864,14.0,0.0014416037842099028,-0.08521805978534183,-0.01529210288419168,-0.057901132776862596,-0.0001305176972412176,35.658254125382896,14.195873146530596,23.237289520366346,-3.8869596011409016,3428.0,0.6399999999999864,-0.08521805978534183,-0.057901132776862596,-0.01529210288419168,35.658254125382896,14.195873146530596,23.237289520366346,-3.8869596011409016,8.860759493670113,49.43037974683991,22.5608099778455,-0.04284103720405811,0.042859398614964184,0.0,0.0,0.18999999999999773,0,43.0,43.0,0.17820486792538415,93.0,1,best_24h,135.0,444.1,0.5705332395255669,2.2809905594405544,25.865384615384617,0.005127585060369672,1.1881437062937033,15.627622377622378,0.0026730522091093977,1.5562913907284768,0.001791042066385391,1.2498328282828322,14.217171717171718,0.00281854347404249,0.48046020569190934,3.316878758620685,33.93103448275862,0.007434192866254529,1.4340001379310339,19.453793103448277,0.0032170687812850206,2.12551724137931,0
43.0,2023/07/03 07:35,443.33,443.44,443.27,443.32,13233.0,1p,1p,1,buy,False,2.1472267359159285,0.6800000000000068,15.0,0.0015317040207230698,-0.09306513056116723,-0.026925244204337583,-0.0734578094849212,-0.00016559322174177193,36.244167437735584,12.494218461324053,19.656265834018914,-1.8298762840656693,13233.0,0.6800000000000068,-0.09306513056116723,-0.0734578094849212,-0.026925244204337583,36.244167437735584,12.494218461324053,19.656265834018914,-1.8298762840656693,4.938271604937276,50.67901234568401,26.823748792651713,-0.002255656057562291,0.03835134342500415,0.11000000000001364,0.05000000000001137,0.009999999999990905,0,44.0,44.0,0.175945141207261,92.0,1,best_24h,135.0,444.1,0.5705332395255669,2.2809905594405544,25.865384615384617,0.005127585060369672,1.1881437062937033,15.627622377622378,0.0026730522091093977,1.5562913907284768,0.001791042066385391,1.2498328282828322,14.217171717171718,0.00281854347404249,0.48046020569190934,3.316878758620685,33.93103448275862,0.007434192866254529,1.4340001379310339,19.453793103448277,0.0032170687812850206,2.12551724137931,0
44.0,2023/07/03 07:40,443.3,443.3,443.14,443.18,7140.0,1p,1p,1,buy,False,2.6207644100928547,0.8100000000000023,16.0,0.0018245297893907024,-0.11048289581894638,-0.04073560618170588,-0.09597705409117907,-0.00021637283956849624,31.868760810935584,10.798614776686339,16.703715481574722,-1.011586633090424,7140.0,0.8100000000000023,-0.11048289581894638,-0.09597705409117907,-0.04073560618170588,31.868760810935584,10.798614776686339,16.703715481574722,-1.011586633090424,4.571428571427662,52.62857142857423,30.90890845146143,-0.02706970448906035,0.0361059710249639,0.0,0.040000000000020464,0.12000000000000455,0,45.0,46.0,0.20759059524347126,91.0,1,best_24h,135.0,444.1,0.5705332395255669,2.2809905594405544,25.865384615384617,0.005127585060369672,1.1881437062937033,15.627622377622378,0.0026730522091093977,1.5562913907284768,0.001791042066385391,1.2498328282828322,14.217171717171718,0.00281854347404249,0.48046020569190934,3.316878758620685,33.93103448275862,0.007434192866254529,1.4340001379310339,19.453793103448277,0.0032170687812850206,2.12551724137931,0
46.0,2023/07/03 07:50,443.2,443.2,443.11,443.12,2125.0,1p,1p,1,buy,False,2.7113292920914103,0.839999999999975,18.0,0.0018921049667754814,-0.11751447126759504,-0.0696235659542961,-0.12838080158809362,-0.0002894635788979304,30.387929792463055,7.747230150182432,12.36193627787386,-1.482182105200426,2125.0,0.839999999999975,-0.11751447126759504,-0.12838080158809362,-0.0696235659542961,30.387929792463055,7.747230150182432,12.36193627787386,-1.482182105200426,3.8888888888886077,51.16666666667069,38.48047261343089,-0.018050541516241896,0.02031098372863961,0.0,0.009999999999990905,0.07999999999998408,0,47.0,47.0,0.22115905398086708,89.0,1,best_24h,135.0,444.1,0.5705332395255669,2.2809905594405544,25.865384615384617,0.005127585060369672,1.1881437062937033,15.627622377622378,0.0026730522091093977,1.5562913907284768,0.001791042066385391,1.2498328282828322,14.217171717171718,0.00281854347404249,0.48046020569190934,3.316878758620685,33.93103448275862,0.007434192866254529,1.4340001379310339,19.453793103448277,0.0032170687812850206,2.12551724137931,0
47.0,2023/07/03 07:55,443.1,443.24,443.1,443.17,1085.0,1p,1p,1,buy,False,2.7113292920914103,0.8499999999999659,19.0,0.0019146300259037412,-0.10616319224921927,-0.08289396498544851,-0.13597556111005815,-0.00030660523751230415,33.696023979149885,10.025931211232649,11.583267922326788,6.91125778904437,1085.0,0.8499999999999659,-0.10616319224921927,-0.13597556111005815,-0.08289396498544851,33.696023979149885,10.025931211232649,11.583267922326788,6.91125778904437,6.250000000001009,42.102272727276706,41.028157505655926,0.01579778830963511,0.03159557661927022,0.06999999999999318,0.0,0.06999999999999318,1,48.0,48.0,0.2098517498928192,88.0,1,best_24h,135.0,444.1,0.5705332395255669,2.2809905594405544,25.865384615384617,0.005127585060369672,1.1881437062937033,15.627622377622378,0.0026730522091093977,1.5562913907284768,0.001791042066385391,1.2498328282828322,14.217171717171718,0.00281854347404249,0.48046020569190934,3.316878758620685,33.93103448275862,0.007434192866254529,1.4340001379310339,19.453793103448277,0.0032170687812850206,2.12551724137931,0
48.0,2023/07/03 08:00,443.5311,443.89,443.04,443.0799,43431.0,1p,1p,1,buy,False,2.7113292920914103,0.9099999999999682,20.0,0.0020497803806734274,-0.10347166661564952,-0.09582792331240471,-0.14756375662022947,-0.00033275759235342313,30.850903426806866,8.248660023174327,10.471731955942634,3.802516157637715,43431.0,0.9099999999999682,-0.10347166661564952,-0.14756375662022947,-0.09582792331240471,30.850903426806866,8.248660023174327,10.471731955942634,3.802516157637715,30.27888446215251,29.521912350600736,38.18799073988098,-0.101729055752792,0.19185626579992007,0.35890000000000555,0.03989999999998872,0.4511999999999716,0,49.0,49.0,0.2302293559242957,87.0,1,best_24h,135.0,444.1,0.5705332395255669,2.2809905594405544,25.865384615384617,0.005127585060369672,1.1881437062937033,15.627622377622378,0.0026730522091093977,1.5562913907284768,0.001791042066385391,1.2498328282828322,14.217171717171718,0.00281854347404249,0.48046020569190934,3.316878758620685,33.93103448275862,0.007434192866254529,1.4340001379310339,19.453793103448277,0.0032170687812850206,2.12551724137931,0
49.0,2023/07/03 08:05,443.08,443.12,443.0203,443.11,5973.0,1p,1p,1,buy,False,2.7113292920914103,0.9296999999999684,21.0,0.0020941547471561403,-0.09077140161763486,-0.10717434851460905,-0.15256004932342648,-0.00034404423125738076,32.88953456383521,8.93707379721326,9.960179236366177,6.89086291890743,5973.0,0.9296999999999684,-0.09077140161763486,-0.15256004932342648,-0.10717434851460905,32.88953456383521,8.93707379721326,9.960179236366177,6.89086291890743,31.670625494854704,25.865733216655695,36.180926061790124,0.006770786313990602,0.02250461209113541,0.009999999999990905,0.05969999999996389,0.03000000000002956,1,50.0,80.0,0.22342082101509986,86.0,1,best_24h,135.0,444.1,0.5705332395255669,2.2809905594405544,25.865384615384617,0.005127585060369672,1.1881437062937033,15.627622377622378,0.0026730522091093977,1.5562913907284768,0.001791042066385391,1.2498328282828322,14.217171717171718,0.00281854347404249,0.48046020569190934,3.316878758620685,33.93103448275862,0.007434192866254529,1.4340001379310339,19.453793103448277,0.0032170687812850206,2.12551724137931,0
80.0,2023/07/03 10:40,443.24,443.33,443.02,443.2299,477005.0,1p,1p,1,buy,False,0.11295303321412842,0.660000000000025,9.0,0.001487558600793421,-0.001354794221486877,0.03449909249571581,0.03382169538497237,7.629348898153327e-05,47.04328891922708,46.39886225762052,58.880056533328755,21.436473706204055,477005.0,0.660000000000025,-0.001354794221486877,0.03382169538497237,0.03449909249571581,47.04328891922708,46.39886225762052,58.880056533328755,21.436473706204055,15.232796873965142,14.16208578934607,17.406948929571353,-0.0022786752098237174,0.06997426752742592,0.08999999999997499,0.20990000000000464,0.010100000000022646,0,81.0,150.0,0.1963089583983473,55.0,1,best_24h,135.0,444.1,0.5705332395255669,2.2809905594405544,25.865384615384617,0.005127585060369672,1.1881437062937033,15.627622377622378,0.0026730522091093977,1.5562913907284768,0.001791042066385391,1.2498328282828322,14.217171717171718,0.00281854347404249,0.48046020569190934,3.316878758620685,33.93103448275862,0.007434192866254529,1.4340001379310339,19.453793103448277,0.0032170687812850206,2.12551724137931,0
135.0,2023/07/03 15:40,444.0,444.1,444.0,444.1,7362.0,1p,1p,0,sell,False,0.30618163864904574,1.080000000000041,56.0,0.0024378131912781388,0.030671030389416792,0.05259960808812829,0.06793512328283668,0.00015305193728449665,66.98396119720061,91.80431743022135,83.23629743408809,108.94035742248789,7362.0,1.080000000000041,0.030671030389416792,0.06793512328283668,0.05259960808812829,66.98396119720061,91.80431743022135,83.23629743408809,108.94035742248789,59.32203389831358,15.25423728814686,34.25672517287013,0.022522522522527642,0.022522522522527642,0.0,0.0,0.10000000000002274,1,1015.0,1063.0,0.6439990993019621,212.0,1,best_24h,347.0,441.24,0.5705332395255669,2.2809905594405544,25.865384615384617,0.005127585060369672,1.1881437062937033,15.627622377622378,0.0026730522091093977,1.5562913907284768,0.001791042066385391,1.2498328282828322,14.217171717171718,0.00281854347404249,0.48046020569190934,3.316878758620685,33.93103448275862,0.007434192866254529,1.4340001379310339,19.453793103448277,0.0032170687812850206,2.12551724137931,1
144.0,2023/07/03 16:30,443.75,443.75,443.75,443.75,600.0,2,2,1,buy,False,80968.83355494044,2.353306058394159,31.80948905109489,0.005297823969773624,-0.06468696778647415,0.03504622542160399,0.0027027415283669143,6.088910342385451e-06,40.034704906529775,7.195438222032185,21.21040572366748,-20.834496781238407,600.0,0.35000000000002274,-0.06468696778647415,0.0027027415283669143,0.03504622542160399,40.034704906529775,7.195438222032185,21.21040572366748,-20.834496781238407,24.475524475533604,42.89044289044588,28.137875339050474,0.0,0.0,0.0,0.0,0.0,0,145.0,150.0,-0.006760563380275541,142.0,1,best_24h,286.0,443.72,0.32407407407408284,1.080000000000041,56.0,0.0024378131912781388,0.35000000000002274,10.0,0.000788110785859092,1.5562913907284768,0.001791042066385391,1.2498328282828322,14.217171717171718,0.00281854347404249,0.48046020569190934,3.316878758620685,33.93103448275862,0.007434192866254529,1.4340001379310339,19.453793103448277,0.0032170687812850206,2.12551724137931,0
