klu_idx,timestamp,klu_open,klu_high,klu_low,klu_close,klu_volume,bsp_type,bsp_types,is_buy,direction,is_segbsp,feat_divergence_rate,feat_bsp1_bi_amp,feat_bsp1_bi_klu_cnt,feat_bsp1_bi_amp_rate,feat_macd_value,feat_macd_dea,feat_macd_diff,feat_ppo,feat_rsi,feat_kdj_k,feat_kdj_d,feat_kdj_j,feat_volume,feat_bsp_bi_amp,macd_value,macd_dif,macd_dea,rsi,kdj_k,kdj_d,kdj_j,dmi_plus,dmi_minus,dmi_adx,price_change_pct,high_low_spread_pct,upper_shadow,lower_shadow,body_size,is_bullish_candle,snapshot_first_seen,snapshot_last_seen,profit_target_pct,profit_target_distance,has_profit_target,exit_type,exit_klu_idx,exit_price,feat_zs_cnt,feat_bsp2_retrace_rate,feat_bsp2_break_bi_amp,feat_bsp2_break_bi_bi_klu_cnt,feat_bsp2_break_bi_amp_rate,feat_bsp2_bi_amp,feat_bsp2_bi_klu_cnt,feat_bsp2_bi_amp_rate,feat_bsp3_zs_height,feat_bsp3_bi_amp,feat_bsp3_bi_klu_cnt,feat_bsp3_bi_amp_rate,feat_bsp2s_retrace_rate,feat_bsp2s_break_bi_amp,feat_bsp2s_break_bi_klu_cnt,feat_bsp2s_break_bi_amp_rate,feat_bsp2s_bi_amp,feat_bsp2s_bi_klu_cnt,feat_bsp2s_bi_amp_rate,feat_bsp2s_lv,direction_encoded
75.0,2023/01/03 00:20,4176.25,4177.5,4175.0,4175.5,553.0,1p,1p,0,sell,False,2.3090091155206876e-08,4.75,5.0,0.0011383380264813373,-0.2851571143289271,1.3275533287158876,1.184974771551424,0.00028393419592856017,58.101178349048055,52.884451875972516,47.039285892481125,64.57478384295531,553.0,4.75,-0.2851571143289271,1.184974771551424,1.3275533287158876,58.101178349048055,52.884451875972516,47.039285892481125,64.57478384295531,28.735632183908045,9.195402298850574,44.73746689502498,-0.01795869500149656,0.059880239520958084,1.25,0.5,0.75,0,76.0,79.0,1.173512154233026,150.0,1,best_24h,225.0,4126.5,1.2452153110047848,0.5724721913169434,31.635802469135804,34.387205387205384,0.007346714553658743,15.479517396184063,18.673400673400675,0.003597643617025158,0.0023716884224596274,15.291348600508906,13.913486005089059,0.003562129694985643,0.5031099994139349,39.50212404418012,35.146134239592186,0.009159641807768409,16.500637213254034,26.42395921835174,0.003839515460102246,1.8853016142735768,1
79.0,2023/01/03 00:40,4175.0,4182.75,4174.5,4179.75,2733.0,1p,1p,0,sell,False,0.21902543626768145,10.0,9.0,0.0023965011083817624,0.15418840800924727,1.176781584184738,1.2538757881893616,0.0003003962122987982,66.89982544870739,50.15391382085487,45.81271869506721,58.83630407243017,2733.0,10.0,0.15418840800924727,1.2538757881893616,1.176781584184738,66.89982544870739,50.15391382085487,45.81271869506721,58.83630407243017,42.97520661157025,11.570247933884298,42.935796110046844,0.11377245508982037,0.1976284584980237,3.0,0.5,4.75,1,80.0,89.0,1.2739996411268617,146.0,1,best_24h,225.0,4126.5,1.2452153110047848,0.5724721913169434,31.635802469135804,34.387205387205384,0.007346714553658743,15.479517396184063,18.673400673400675,0.003597643617025158,0.0023716884224596274,15.291348600508906,13.913486005089059,0.003562129694985643,0.5031099994139349,39.50212404418012,35.146134239592186,0.009159641807768409,16.500637213254034,26.42395921835174,0.003839515460102246,1.8853016142735768,1
89.0,2023/01/03 01:30,4181.75,4183.0,4180.75,4182.0,641.0,1p,1p,0,sell,False,0.21902543626768145,10.25,19.0,0.0024564136360913065,0.41692784489551604,1.9258940182361546,2.1343579406839126,0.0005109102480163033,66.91377725615843,76.47022633220891,71.68974112898972,86.03119673864728,641.0,10.25,0.41692784489551604,2.1343579406839126,1.9258940182361546,66.91377725615843,76.47022633220891,71.68974112898972,86.03119673864728,32.37410071942446,12.23021582733813,45.06333893776174,0.005978358342799067,0.053818094839442686,1.0,1.0,0.25,1,90.0,90.0,1.327116212338594,136.0,1,best_24h,225.0,4126.5,1.2452153110047848,0.5724721913169434,31.635802469135804,34.387205387205384,0.007346714553658743,15.479517396184063,18.673400673400675,0.003597643617025158,0.0023716884224596274,15.291348600508906,13.913486005089059,0.003562129694985643,0.5031099994139349,39.50212404418012,35.146134239592186,0.009159641807768409,16.500637213254034,26.42395921835174,0.003839515460102246,1.8853016142735768,1
90.0,2023/01/03 01:35,4182.25,4183.25,4181.25,4181.5,760.0,1p,1p,0,sell,False,0.21902543626768145,10.5,20.0,0.0025163261638008506,0.31111375574998146,1.9647832377049022,2.120340115579893,0.000507519281134206,64.51016534142786,73.707423615412,72.36230195779714,76.39766693064172,760.0,10.5,0.31111375574998146,2.120340115579893,1.9647832377049022,64.51016534142786,73.707423615412,72.36230195779714,76.39766693064172,33.093525179856115,10.79136690647482,45.47450559443216,-0.0179329308386634,0.04783258594917788,1.0,0.25,0.75,0,91.0,102.0,1.3153174698074854,135.0,1,best_24h,225.0,4126.5,1.2452153110047848,0.5724721913169434,31.635802469135804,34.387205387205384,0.007346714553658743,15.479517396184063,18.673400673400675,0.003597643617025158,0.0023716884224596274,15.291348600508906,13.913486005089059,0.003562129694985643,0.5031099994139349,39.50212404418012,35.146134239592186,0.009159641807768409,16.500637213254034,26.42395921835174,0.003839515460102246,1.8853016142735768,1
102.0,2023/01/03 02:35,4180.5,4182.75,4180.0,4182.0,983.0,1,1,0,sell,False,0.03547221549168357,8.0,5.0,0.0019162824121204862,0.15362526910002172,0.6286577542397522,0.7054703887897631,0.00016885491720103503,60.43261149280256,62.38233430670542,44.92883598191382,97.28933095628861,983.0,8.0,0.15362526910002172,0.7054703887897631,0.6286577542397522,60.43261149280256,62.38233430670542,44.92883598191382,97.28933095628861,32.075471698113205,20.754716981132077,28.243774910575265,0.03588087549336204,0.06578947368421052,0.75,0.5,1.5,1,103.0,103.0,1.327116212338594,123.0,1,best_24h,225.0,4126.5,1.0,0.5724721913169434,31.635802469135804,34.387205387205384,0.007346714553658743,15.479517396184063,18.673400673400675,0.003597643617025158,0.0023716884224596274,15.291348600508906,13.913486005089059,0.003562129694985643,0.5031099994139349,39.50212404418012,35.146134239592186,0.009159641807768409,16.500637213254034,26.42395921835174,0.003839515460102246,1.8853016142735768,1
103.0,2023/01/03 02:40,4182.0,4182.75,4180.5,4181.25,817.0,1,1,0,sell,False,0.08501410533953047,8.0,6.0,0.0019162824121204862,0.36818435581349407,0.6746807987164389,0.858772976623186,0.0002055360565327924,58.202815141644955,68.67155620447028,52.84307605609931,100.32851650121222,817.0,8.0,0.36818435581349407,0.858772976623186,0.6746807987164389,58.202815141644955,68.67155620447028,52.84307605609931,100.32851650121222,28.930817610062892,20.754716981132077,27.401769288572147,-0.01793400286944046,0.05382131324004305,0.75,0.75,0.75,0,104.0,104.0,1.3094170403587444,122.0,1,best_24h,225.0,4126.5,1.0,0.5724721913169434,31.635802469135804,34.387205387205384,0.007346714553658743,15.479517396184063,18.673400673400675,0.003597643617025158,0.0023716884224596274,15.291348600508906,13.913486005089059,0.003562129694985643,0.5031099994139349,39.50212404418012,35.146134239592186,0.009159641807768409,16.500637213254034,26.42395921835174,0.003839515460102246,1.8853016142735768,1
104.0,2023/01/03 02:45,4181.5,4186.5,4180.0,4185.25,3138.0,1,1,0,sell,False,0.22665336538965392,11.75,7.0,0.0028145397928019643,0.9816044407650426,0.7973813538120693,1.2881835741945906,0.0003082713842742505,65.51167107736325,75.56827151220003,60.41814120813287,105.86853212033434,3138.0,11.75,0.9816044407650426,1.2881835741945906,0.7973813538120693,65.51167107736325,75.56827151220003,60.41814120813287,105.86853212033434,33.89830508474576,18.64406779661017,27.518232772568144,0.08968073657778308,0.15550239234449761,1.25,1.5,3.75,1,105.0,105.0,1.40373932262111,121.0,1,best_24h,225.0,4126.5,1.0,0.5724721913169434,31.635802469135804,34.387205387205384,0.007346714553658743,15.479517396184063,18.673400673400675,0.003597643617025158,0.0023716884224596274,15.291348600508906,13.913486005089059,0.003562129694985643,0.5031099994139349,39.50212404418012,35.146134239592186,0.009159641807768409,16.500637213254034,26.42395921835174,0.003839515460102246,1.8853016142735768,1
105.0,2023/01/03 02:50,4185.25,4187.0,4184.0,4185.75,1456.0,1,1,0,sell,False,0.31492702031173386,12.25,8.0,0.0029343074435594944,1.3639054559081867,0.9678695358005927,1.649822263754686,0.0003947649560429025,66.30483803600345,80.31082046391566,67.04903429339379,106.8343928049594,1456.0,12.25,1.3639054559081867,1.649822263754686,0.9678695358005927,66.30483803600345,80.31082046391566,67.04903429339379,106.8343928049594,37.34939759036144,7.83132530120482,30.21931138405137,0.011946717639328594,0.07170172084130019,1.25,1.25,0.5,1,106.0,106.0,1.4155169324493817,120.0,1,best_24h,225.0,4126.5,1.0,0.5724721913169434,31.635802469135804,34.387205387205384,0.007346714553658743,15.479517396184063,18.673400673400675,0.003597643617025158,0.0023716884224596274,15.291348600508906,13.913486005089059,0.003562129694985643,0.5031099994139349,39.50212404418012,35.146134239592186,0.009159641807768409,16.500637213254034,26.42395921835174,0.003839515460102246,1.8853016142735768,1
106.0,2023/01/03 02:55,4185.5,4187.25,4184.0,4186.5,1455.0,1,1,0,sell,False,0.3717746931084752,12.5,9.0,0.00299419126893826,1.6101048801634006,1.1691326458210178,1.9741850859027181,0.0004723169287453841,67.51180126181725,84.8738803092771,72.99064963202156,108.64034166378818,1455.0,12.5,1.6101048801634006,1.9741850859027181,1.1691326458210178,67.51180126181725,84.8738803092771,72.99064963202156,108.64034166378818,36.627906976744185,7.55813953488372,32.760037262634164,0.023892008123282762,0.07767686424474188,0.75,1.5,1.0,1,107.0,107.0,1.4331780723754926,119.0,1,best_24h,225.0,4126.5,1.0,0.5724721913169434,31.635802469135804,34.387205387205384,0.007346714553658743,15.479517396184063,18.673400673400675,0.003597643617025158,0.0023716884224596274,15.291348600508906,13.913486005089059,0.003562129694985643,0.5031099994139349,39.50212404418012,35.146134239592186,0.009159641807768409,16.500637213254034,26.42395921835174,0.003839515460102246,1.8853016142735768,1
107.0,2023/01/03 03:00,4186.5,4191.0,4185.5,4190.75,2857.0,1,1,0,sell,False,0.5082466700815388,16.25,10.0,0.0038924486496197375,2.2011461753431227,1.4442759177389082,2.5448490054104695,0.000608728044423037,73.33961052540754,89.3509484547723,78.44408257293847,111.16468021843997,2857.0,16.25,2.2011461753431227,2.5448490054104695,1.4442759177389082,73.33961052540754,89.3509484547723,78.44408257293847,111.16468021843997,41.935483870967744,4.838709677419355,36.085059231559306,0.10151678012659739,0.1314060446780552,0.25,1.0,4.25,1,108.0,108.0,1.5331384597029172,118.0,1,best_24h,225.0,4126.5,1.0,0.5724721913169434,31.635802469135804,34.387205387205384,0.007346714553658743,15.479517396184063,18.673400673400675,0.003597643617025158,0.0023716884224596274,15.291348600508906,13.913486005089059,0.003562129694985643,0.5031099994139349,39.50212404418012,35.146134239592186,0.009159641807768409,16.500637213254034,26.42395921835174,0.003839515460102246,1.8853016142735768,1
