klu_idx,timestamp,klu_open,klu_high,klu_low,klu_close,klu_volume,bsp_type,bsp_types,is_buy,direction,is_segbsp,feat_divergence_rate,feat_bsp1_bi_amp,feat_bsp1_bi_klu_cnt,feat_bsp1_bi_amp_rate,feat_macd_value,feat_macd_dea,feat_macd_diff,feat_ppo,feat_rsi,feat_kdj_k,feat_kdj_d,feat_kdj_j,feat_volume,feat_bsp_bi_amp,macd_value,macd_dif,macd_dea,rsi,kdj_k,kdj_d,kdj_j,dmi_plus,dmi_minus,dmi_adx,price_change_pct,high_low_spread_pct,upper_shadow,lower_shadow,body_size,is_bullish_candle,snapshot_first_seen,snapshot_last_seen,profit_target_pct,profit_target_distance,has_profit_target,exit_type,exit_klu_idx,exit_price,feat_bsp2_retrace_rate,feat_bsp2_break_bi_amp,feat_bsp2_break_bi_bi_klu_cnt,feat_bsp2_break_bi_amp_rate,feat_bsp2_bi_amp,feat_bsp2_bi_klu_cnt,feat_bsp2_bi_amp_rate,feat_bsp2s_retrace_rate,feat_bsp2s_break_bi_amp,feat_bsp2s_break_bi_klu_cnt,feat_bsp2s_break_bi_amp_rate,feat_bsp2s_bi_amp,feat_bsp2s_bi_klu_cnt,feat_bsp2s_bi_amp_rate,feat_bsp2s_lv,feat_zs_cnt,feat_bsp3_zs_height,feat_bsp3_bi_amp,feat_bsp3_bi_klu_cnt,feat_bsp3_bi_amp_rate,direction_encoded
76.0,2023/03/01 06:20,4297.5,4299.25,4297.5,4298.75,1212.0,1p,1p,0,sell,False,0.9820019659191157,12.5,30.0,0.002915961975855835,0.6866716689257895,1.1257290057909553,1.46906484025385,0.0003420507939781714,61.818187798975266,84.18490179329234,79.84233179853814,92.87004178280074,1212.0,12.5,0.6866716689257895,1.46906484025385,1.1257290057909553,61.818187798975266,84.18490179329234,79.84233179853814,92.87004178280074,28.947368421052634,3.508771929824561,32.82507008019393,0.029086678301337987,0.04072134962187318,0.5,0.0,1.25,1,77.0,77.0,1.4946205292236114,238.0,1,best_24h,314.0,4234.5,0.5659618805480565,28.233576642335766,32.62408759124087,0.006483508818371214,13.528284671532846,20.42214111922141,0.003111138485895834,0.4953498038885948,32.82837837837838,35.11486486486486,0.007536006854611035,13.536148648648648,22.51689189189189,0.0031199328384738574,2.0486486486486486,1.2998805256869772,0.0018165845081805434,13.689268867924529,16.34198113207547,0.003167503674284594,1
77.0,2023/03/01 06:25,4298.75,4299.25,4298.0,4299.25,2415.0,1p,1p,0,sell,False,0.9820019659191157,12.5,31.0,0.002915961975855835,0.7463362137352361,1.2190210325078596,1.5921891393754777,0.0003706905494707238,62.92493460083696,89.45660119552822,83.0470882642015,102.27562705818167,2415.0,12.5,0.7463362137352361,1.5921891393754777,1.2190210325078596,62.92493460083696,89.45660119552822,83.0470882642015,102.27562705818167,29.72972972972973,3.6036036036036037,36.07887781577853,0.011631288165164292,0.02908329455560726,0.0,0.75,0.5,1,78.0,78.0,1.506076641274641,237.0,1,best_24h,314.0,4234.5,0.5659618805480565,28.233576642335766,32.62408759124087,0.006483508818371214,13.528284671532846,20.42214111922141,0.003111138485895834,0.4953498038885948,32.82837837837838,35.11486486486486,0.007536006854611035,13.536148648648648,22.51689189189189,0.0031199328384738574,2.0486486486486486,1.2998805256869772,0.0018165845081805434,13.689268867924529,16.34198113207547,0.003167503674284594,1
78.0,2023/03/01 06:30,4299.25,4300.0,4298.0,4298.0,1592.0,1p,1p,0,sell,False,0.509427075526549,9.75,21.0,0.0022725948371307035,0.5847448647025191,1.263225670467944,1.5555981028192036,0.000362152881544894,58.84982244485315,81.37691876533086,82.49090651486695,79.14894326625867,1592.0,9.75,0.5847448647025191,1.5555981028192036,1.263225670467944,58.84982244485315,81.37691876533086,82.49090651486695,79.14894326625867,30.630630630630627,3.6036036036036037,35.919656721648586,-0.029074838634645578,0.04653327128897162,0.75,0.0,1.25,0,79.0,1042.0,1.4774313634248488,236.0,1,best_24h,314.0,4234.5,0.5659618805480565,28.233576642335766,32.62408759124087,0.006483508818371214,13.528284671532846,20.42214111922141,0.003111138485895834,0.4953498038885948,32.82837837837838,35.11486486486486,0.007536006854611035,13.536148648648648,22.51689189189189,0.0031199328384738574,2.0486486486486486,1.2998805256869772,0.0018165845081805434,13.689268867924529,16.34198113207547,0.003167503674284594,1
117.0,2023/03/01 09:45,4277.5,4278.0,4271.75,4273.5,21014.0,2,2,0,sell,False,1.3106321858336467,23.575613496932515,33.39325153374233,0.005416171170032861,0.7258244889548706,-4.832141674147557,-4.469229429670122,-0.0010441746368822324,36.85107496031312,56.092210461003106,47.099488071578676,74.07765523985196,21014.0,9.0,0.7258244889548706,-4.469229429670122,-4.832141674147557,36.85107496031312,56.092210461003106,47.099488071578676,74.07765523985196,9.583333333333334,23.333333333333332,68.53539094613355,-0.0935125657510228,0.14631006027974483,0.5,1.75,4.0,0,118.0,118.0,0.9126009126009126,197.0,1,best_24h,314.0,4234.5,0.2903225806451613,31.0,33.0,0.007209302325581395,9.0,8.0,0.0021082220660576245,0.4953498038885948,32.82837837837838,35.11486486486486,0.007536006854611035,13.536148648648648,22.51689189189189,0.0031199328384738574,2.0486486486486486,1.2998805256869772,0.0018165845081805434,13.689268867924529,16.34198113207547,0.003167503674284594,1
118.0,2023/03/01 09:50,4273.75,4284.75,4273.0,4283.75,30709.0,2,2,0,sell,False,1.3106321858336467,23.575613496932515,33.39325153374233,0.005416171170032861,2.1396098923057814,-4.564690437609334,-3.4948854914564436,-0.0008164816382616927,54.534556474309035,68.61173819093328,54.27023811136354,97.29473835007275,30709.0,15.75,2.1396098923057814,-3.4948854914564436,-4.564690437609334,54.534556474309035,68.61173819093328,54.27023811136354,97.29473835007275,18.315018315018314,19.78021978021978,63.91473115327785,0.23398654577361802,0.2749824479288556,1.0,0.75,10.0,1,119.0,119.0,1.1496936095710535,196.0,1,best_24h,314.0,4234.5,0.5080645161290323,31.0,33.0,0.007209302325581395,15.75,9.0,0.0036893886156008433,0.4953498038885948,32.82837837837838,35.11486486486486,0.007536006854611035,13.536148648648648,22.51689189189189,0.0031199328384738574,2.0486486486486486,1.2998805256869772,0.0018165845081805434,13.689268867924529,16.34198113207547,0.003167503674284594,1
119.0,2023/03/01 09:55,4284.0,4285.5,4279.5,4282.0,29777.0,2,2,0,sell,False,1.3106321858336467,23.575613496932515,33.39325153374233,0.005416171170032861,2.7739885108694207,-4.2188400324848585,-2.831845777050148,-0.0006615629099826594,51.880310584539174,71.54761040686202,60.02936220994033,94.5841068007054,29777.0,16.5,2.7739885108694207,-2.831845777050148,-4.2188400324848585,51.880310584539174,71.54761040686202,60.02936220994033,94.5841068007054,19.202898550724637,14.855072463768115,60.10691629203461,-0.04668534080298786,0.14020329477742727,1.5,2.5,2.0,0,120.0,1042.0,1.1092947220924803,195.0,1,best_24h,314.0,4234.5,0.532258064516129,31.0,33.0,0.007209302325581395,16.5,10.0,0.003865073787772312,0.4953498038885948,32.82837837837838,35.11486486486486,0.007536006854611035,13.536148648648648,22.51689189189189,0.0031199328384738574,2.0486486486486486,1.2998805256869772,0.0018165845081805434,13.689268867924529,16.34198113207547,0.003167503674284594,1
134.0,2023/03/01 11:10,4268.5,4269.75,4257.5,4259.5,43464.0,1p,1p,1,buy,False,0.40437511934093023,28.0,16.0,0.00653366001633415,0.13330282747432953,-2.744192028618019,-2.6775406148808543,-0.0006265402790098428,35.07800003754528,43.090368924639215,54.11592757006238,21.039251633792873,43464.0,28.0,0.13330282747432953,-2.6775406148808543,-2.744192028618019,35.07800003754528,43.090368924639215,54.11592757006238,21.039251633792873,15.898617511520738,35.714285714285715,32.83623108092437,-0.21084690172191636,0.28772753963593656,1.25,2.0,9.0,0,135.0,135.0,0.4343232773799742,13.0,1,best_24h,147.0,4278.0,0.5659618805480565,28.233576642335766,32.62408759124087,0.006483508818371214,13.528284671532846,20.42214111922141,0.003111138485895834,0.4953498038885948,32.82837837837838,35.11486486486486,0.007536006854611035,13.536148648648648,22.51689189189189,0.0031199328384738574,2.0486486486486486,1.2998805256869772,0.0018165845081805434,13.689268867924529,16.34198113207547,0.003167503674284594,0
135.0,2023/03/01 11:15,4259.5,4259.5,4254.75,4256.5,41596.0,1p,1p,1,buy,False,0.40437511934093023,30.75,17.0,0.007175358767938397,-1.4082949042862722,-2.920228891653803,-3.624376343796939,-0.0008483488105844292,33.00382045498965,30.907597974681593,46.37981770493545,-0.03684148582611613,41596.0,30.75,-1.4082949042862722,-3.624376343796939,-2.920228891653803,33.00382045498965,30.907597974681593,46.37981770493545,-0.03684148582611613,17.293233082706767,34.83709273182957,32.89463215756164,-0.0704308017372931,0.11163993184088372,0.0,1.75,3.0,0,136.0,136.0,0.505109832021614,12.0,1,best_24h,147.0,4278.0,0.5659618805480565,28.233576642335766,32.62408759124087,0.006483508818371214,13.528284671532846,20.42214111922141,0.003111138485895834,0.4953498038885948,32.82837837837838,35.11486486486486,0.007536006854611035,13.536148648648648,22.51689189189189,0.0031199328384738574,2.0486486486486486,1.2998805256869772,0.0018165845081805434,13.689268867924529,16.34198113207547,0.003167503674284594,0
136.0,2023/03/01 11:20,4256.25,4256.75,4252.5,4254.0,34511.0,1p,1p,1,buy,False,0.666001765706991,33.0,18.0,0.0077003850192509625,-2.566555331186424,-3.241048308052106,-4.524325973645318,-0.0010593333874367593,31.34070016271616,22.329203247488877,38.36294621911992,-9.738282695773208,34511.0,33.0,-2.566555331186424,-4.524325973645318,-3.241048308052106,31.34070016271616,22.329203247488877,38.36294621911992,-9.738282695773208,18.11023622047244,32.28346456692913,32.55394414630724,-0.05286343612334801,0.09994121105232218,0.5,1.5,2.25,0,137.0,137.0,0.5641748942172073,11.0,1,best_24h,147.0,4278.0,0.5659618805480565,28.233576642335766,32.62408759124087,0.006483508818371214,13.528284671532846,20.42214111922141,0.003111138485895834,0.4953498038885948,32.82837837837838,35.11486486486486,0.007536006854611035,13.536148648648648,22.51689189189189,0.0031199328384738574,2.0486486486486486,1.2998805256869772,0.0018165845081805434,13.689268867924529,16.34198113207547,0.003167503674284594,0
137.0,2023/03/01 11:25,4253.75,4258.75,4252.0,4258.75,26538.0,1p,1p,1,buy,False,0.666001765706991,33.5,19.0,0.007817057519542644,-2.4926236122482495,-3.552626259583137,-4.798938065707262,-0.0011238687101366182,37.758387654964075,22.513254142393713,33.07971552687785,1.3803313734254345,26538.0,33.5,-2.4926236122482495,-4.798938065707262,-3.552626259583137,37.758387654964075,22.513254142393713,33.07971552687785,1.3803313734254345,19.94818652849741,26.42487046632124,31.22626816778011,0.11754334410813988,0.15874882408278457,0.0,1.75,5.0,1,138.0,236.0,0.45201056648077487,10.0,1,best_24h,147.0,4278.0,0.5659618805480565,28.233576642335766,32.62408759124087,0.006483508818371214,13.528284671532846,20.42214111922141,0.003111138485895834,0.4953498038885948,32.82837837837838,35.11486486486486,0.007536006854611035,13.536148648648648,22.51689189189189,0.0031199328384738574,2.0486486486486486,1.2998805256869772,0.0018165845081805434,13.689268867924529,16.34198113207547,0.003167503674284594,0
