klu_idx,timestamp,klu_open,klu_high,klu_low,klu_close,klu_volume,bsp_type,bsp_types,is_buy,direction,is_segbsp,feat_divergence_rate,feat_bsp1_bi_amp,feat_bsp1_bi_klu_cnt,feat_bsp1_bi_amp_rate,feat_macd_value,feat_macd_dea,feat_macd_diff,feat_ppo,feat_rsi,feat_kdj_k,feat_kdj_d,feat_kdj_j,feat_volume,feat_bsp_bi_amp,macd_value,macd_dif,macd_dea,rsi,kdj_k,kdj_d,kdj_j,dmi_plus,dmi_minus,dmi_adx,price_change_pct,high_low_spread_pct,upper_shadow,lower_shadow,body_size,is_bullish_candle,snapshot_first_seen,snapshot_last_seen,profit_target_pct,profit_target_distance,has_profit_target,exit_type,exit_klu_idx,exit_price,feat_bsp2_retrace_rate,feat_bsp2_break_bi_amp,feat_bsp2_break_bi_bi_klu_cnt,feat_bsp2_break_bi_amp_rate,feat_bsp2_bi_amp,feat_bsp2_bi_klu_cnt,feat_bsp2_bi_amp_rate,feat_zs_cnt,feat_bsp2s_retrace_rate,feat_bsp2s_break_bi_amp,feat_bsp2s_break_bi_klu_cnt,feat_bsp2s_break_bi_amp_rate,feat_bsp2s_bi_amp,feat_bsp2s_bi_klu_cnt,feat_bsp2s_bi_amp_rate,feat_bsp2s_lv,feat_bsp3_zs_height,feat_bsp3_bi_amp,feat_bsp3_bi_klu_cnt,feat_bsp3_bi_amp_rate,direction_encoded
89.0,2023/02/01 07:25,4390.5,4393.75,4390.5,4392.5,3216.0,1p,1p,0,sell,False,2.921885746954992,13.75,21.0,0.003139269406392694,1.6607575561778902,0.8481492138978666,1.6785279919868117,0.0003826438019602774,73.48718118376833,89.47216496756167,90.5878244604133,87.24084598185843,3216.0,13.75,1.6607575561778902,1.6785279919868117,0.8481492138978666,73.48718118376833,89.47216496756167,90.5878244604133,87.24084598185843,37.5,1.6666666666666667,59.70965669254608,0.04555289830315454,0.07402345974262613,1.25,0.0,2.0,1,404.0,1024.0,0.44963005122367666,59.0,1,best_24h,148.0,4372.75,0.5637593393170071,29.962101910828025,31.756687898089172,0.006914898492087242,15.039171974522294,20.2828025477707,0.00346908187528337,1.2769830949284786,0.5007400679986359,35.450949367088604,35.120253164556964,0.008169145175117087,14.869066455696203,25.28006329113924,0.003439085384916428,1.870253164556962,0.0022470886154838565,15.024390243902438,15.302439024390244,0.0034860502563489825,1
120.0,2023/02/01 10:00,4397.0,4398.75,4394.25,4397.0,14301.0,1p,1p,0,sell,False,1.3667294168362358,16.25,5.0,0.0037079292641186536,2.2697083142228496,0.2117317783213884,1.3465859354328131,0.0003067962029978852,66.76155080229881,81.00249961033616,68.77789438021063,105.45171007058724,14301.0,16.25,2.2697083142228496,1.3465859354328131,0.2117317783213884,66.76155080229881,81.00249961033616,68.77789438021063,105.45171007058724,19.480519480519483,10.822510822510822,32.271614813272144,0.0,0.10240655401945725,1.75,2.75,0.0,0,121.0,121.0,0.5515123948146463,28.0,1,best_24h,148.0,4372.75,0.5637593393170071,29.962101910828025,31.756687898089172,0.006914898492087242,15.039171974522294,20.2828025477707,0.00346908187528337,1.2769830949284786,0.5007400679986359,35.450949367088604,35.120253164556964,0.008169145175117087,14.869066455696203,25.28006329113924,0.003439085384916428,1.870253164556962,0.0022470886154838565,15.024390243902438,15.302439024390244,0.0034860502563489825,1
121.0,2023/02/01 10:05,4397.0,4398.75,4383.0,4387.0,37681.0,1p,1p,0,sell,False,1.3667294168362358,16.25,6.0,0.0037079292641186536,1.2051485744580612,0.3623753501286461,0.9649496373576767,0.00021985511992457304,46.805507559421976,63.232435637660004,66.92940813269375,55.83849064759252,37681.0,16.25,1.2051485744580612,0.9649496373576767,0.3623753501286461,46.805507559421976,63.232435637660004,66.92940813269375,55.83849064759252,15.734265734265735,23.426573426573427,31.36956069395679,-0.22742779167614283,0.3593429158110883,1.75,4.0,10.0,0,122.0,122.0,0.32482334169136085,27.0,1,best_24h,148.0,4372.75,0.5637593393170071,29.962101910828025,31.756687898089172,0.006914898492087242,15.039171974522294,20.2828025477707,0.00346908187528337,1.2769830949284786,0.5007400679986359,35.450949367088604,35.120253164556964,0.008169145175117087,14.869066455696203,25.28006329113924,0.003439085384916428,1.870253164556962,0.0022470886154838565,15.024390243902438,15.302439024390244,0.0034860502563489825,1
131.0,2023/02/01 10:55,4382.75,4383.0,4374.5,4377.75,24350.0,1p,1p,1,buy,False,2.0109558961391194,19.25,43.0,0.004381223328591749,-2.3939735290037922,-0.02873418931284739,-1.2257209538147436,-0.0002793555962853383,34.942577002186724,25.619291392478907,35.16675204342503,6.5243700905866575,24350.0,19.25,-2.3939735290037922,-1.2257209538147436,-0.02873418931284739,34.942577002186724,25.619291392478907,35.16675204342503,6.5243700905866575,11.64021164021164,29.894179894179896,23.235705339183387,-0.11408362329587587,0.19430792090524632,0.25,3.25,5.0,0,132.0,132.0,2.8382159785277827,276.0,1,best_24h,407.0,4502.0,0.5637593393170071,29.962101910828025,31.756687898089172,0.006914898492087242,15.039171974522294,20.2828025477707,0.00346908187528337,1.2769830949284786,0.5007400679986359,35.450949367088604,35.120253164556964,0.008169145175117087,14.869066455696203,25.28006329113924,0.003439085384916428,1.870253164556962,0.0022470886154838565,15.024390243902438,15.302439024390244,0.0034860502563489825,0
132.0,2023/02/01 11:00,4377.75,4379.0,4374.0,4376.0,15237.0,1p,1p,1,buy,False,2.606817071464507,19.75,44.0,0.0044950213371266,-3.103325675129319,-0.4166498987040123,-1.9683127362686719,-0.0004486890390755991,33.18511433854364,20.5882995248105,30.307267870553517,1.1503628333244649,15237.0,19.75,-3.103325675129319,-1.9683127362686719,-0.4166498987040123,33.18511433854364,20.5882995248105,30.307267870553517,1.1503628333244649,9.973045822102426,30.997304582210244,25.241425634504875,-0.03997487293701102,0.11431184270690445,1.25,2.0,1.75,0,133.0,133.0,2.8793418647166362,275.0,1,best_24h,407.0,4502.0,0.5637593393170071,29.962101910828025,31.756687898089172,0.006914898492087242,15.039171974522294,20.2828025477707,0.00346908187528337,1.2769830949284786,0.5007400679986359,35.450949367088604,35.120253164556964,0.008169145175117087,14.869066455696203,25.28006329113924,0.003439085384916428,1.870253164556962,0.0022470886154838565,15.024390243902438,15.302439024390244,0.0034860502563489825,0
133.0,2023/02/01 11:05,4376.0,4379.75,4373.75,4378.25,16319.0,1p,1p,1,buy,False,2.606817071464507,20.0,45.0,0.004551920341394026,-3.090475875622718,-0.8029593831568521,-2.348197320968211,-0.000535363440625534,37.53518009162868,21.517740808748123,27.377425516618384,9.798371393007592,16319.0,20.0,-3.090475875622718,-2.348197320968211,-0.8029593831568521,37.53518009162868,21.517740808748123,27.377425516618384,9.798371393007592,5.706521739130435,31.25,28.375441450527635,0.05141681901279707,0.1371820520148614,1.5,2.25,2.25,1,134.0,148.0,2.8264717638325814,274.0,1,best_24h,407.0,4502.0,0.5637593393170071,29.962101910828025,31.756687898089172,0.006914898492087242,15.039171974522294,20.2828025477707,0.00346908187528337,1.2769830949284786,0.5007400679986359,35.450949367088604,35.120253164556964,0.008169145175117087,14.869066455696203,25.28006329113924,0.003439085384916428,1.870253164556962,0.0022470886154838565,15.024390243902438,15.302439024390244,0.0034860502563489825,0
141.0,2023/02/01 11:45,4388.5,4390.0,4387.25,4388.25,8740.0,2,2,0,sell,False,8280.576840563497,25.2921875,35.994375,0.005813145185663146,1.6627061678810904,-1.1640592755557613,-0.3327061916152161,-7.585868355064609e-05,54.61604763467888,82.65438654470188,68.42579087108449,111.11157789193666,8740.0,16.25,1.6627061678810904,-0.3327061916152161,-1.1640592755557613,54.61604763467888,82.65438654470188,68.42579087108449,111.11157789193666,16.730038022813687,23.574144486692013,27.36324701541647,-0.005696707303178763,0.06268163428115563,1.5,1.0,0.25,0,404.0,1024.0,0.35321597447729736,7.0,1,best_24h,148.0,4372.75,0.8125,20.0,45.0,0.004551920341394026,16.25,9.0,0.003715347242069163,1.2769830949284786,0.5007400679986359,35.450949367088604,35.120253164556964,0.008169145175117087,14.869066455696203,25.28006329113924,0.003439085384916428,1.870253164556962,0.0022470886154838565,15.024390243902438,15.302439024390244,0.0034860502563489825,1
145.0,2023/02/01 12:05,4380.25,4381.25,4378.0,4379.5,10142.0,2,2,1,buy,False,8280.576840563497,25.2921875,35.994375,0.005813145185663146,-0.4205898086128237,-0.8883044034874356,-1.0985993077938474,-0.00025054061725827265,39.49625047536338,35.6393625497952,54.02918283105226,-1.1402780127189232,10142.0,12.0,-0.4205898086128237,-1.0985993077938474,-0.8883044034874356,39.49625047536338,35.6393625497952,54.02918283105226,-1.1402780127189232,20.5607476635514,18.22429906542056,23.171918523916823,-0.017122310370412647,0.07423481041571493,1.0,1.5,0.75,0,146.0,146.0,2.8998744148875444,288.0,1,best_24h,433.0,4506.5,0.7384615384615385,16.25,9.0,0.003715347242069163,12.0,5.0,0.002733485193621868,1.2769830949284786,0.5007400679986359,35.450949367088604,35.120253164556964,0.008169145175117087,14.869066455696203,25.28006329113924,0.003439085384916428,1.870253164556962,0.0022470886154838565,15.024390243902438,15.302439024390244,0.0034860502563489825,0
146.0,2023/02/01 12:10,4379.25,4379.5,4375.75,4376.5,9076.0,2,2,1,buy,False,8280.576840563497,25.2921875,35.994375,0.005813145185663146,-1.1400971906695352,-1.0308165523211277,-1.6008651476558953,-0.0003651365541628095,35.42095030809625,25.51396099810908,44.524108886737864,-12.506334779148489,9076.0,14.25,-1.1400971906695352,-1.6008651476558953,-1.0308165523211277,35.42095030809625,25.51396099810908,44.524108886737864,-12.506334779148489,21.052631578947366,22.00956937799043,21.675511645224354,-0.06279614089170521,0.08569959435525339,0.25,0.75,2.75,0,147.0,147.0,2.970410145093111,287.0,1,best_24h,433.0,4506.5,0.8769230769230769,16.25,9.0,0.003715347242069163,14.25,6.0,0.003246013667425968,1.2769830949284786,0.5007400679986359,35.450949367088604,35.120253164556964,0.008169145175117087,14.869066455696203,25.28006329113924,0.003439085384916428,1.870253164556962,0.0022470886154838565,15.024390243902438,15.302439024390244,0.0034860502563489825,0
147.0,2023/02/01 12:15,4376.5,4379.0,4375.0,4376.75,8071.0,2,2,1,buy,False,8280.576840563497,25.2921875,35.994375,0.005813145185663146,-1.4806003525212184,-1.21589159638628,-1.9561917726468891,-0.0004462388028889155,36.01346045879911,20.89819622096161,36.648804664812445,-10.603020666740065,8071.0,15.0,-1.4806003525212184,-1.9561917726468891,-1.21589159638628,36.01346045879911,20.89819622096161,36.648804664812445,-10.603020666740065,20.398009950248756,24.378109452736318,20.762181448343252,0.005712327202102137,0.09142857142857143,2.25,1.5,0.25,1,148.0,148.0,2.964528474324556,286.0,1,best_24h,433.0,4506.5,0.9230769230769231,16.25,9.0,0.003715347242069163,15.0,7.0,0.003416856492027335,1.2769830949284786,0.5007400679986359,35.450949367088604,35.120253164556964,0.008169145175117087,14.869066455696203,25.28006329113924,0.003439085384916428,1.870253164556962,0.0022470886154838565,15.024390243902438,15.302439024390244,0.0034860502563489825,0
