klu_idx,timestamp,klu_open,klu_high,klu_low,klu_close,klu_volume,bsp_type,bsp_types,is_buy,direction,is_segbsp,feat_divergence_rate,feat_bsp1_bi_amp,feat_bsp1_bi_klu_cnt,feat_bsp1_bi_amp_rate,feat_macd_value,feat_macd_dea,feat_macd_diff,feat_ppo,feat_rsi,feat_kdj_k,feat_kdj_d,feat_kdj_j,feat_volume,feat_bsp_bi_amp,macd_value,macd_dif,macd_dea,rsi,kdj_k,kdj_d,kdj_j,dmi_plus,dmi_minus,dmi_adx,price_change_pct,high_low_spread_pct,upper_shadow,lower_shadow,body_size,is_bullish_candle,snapshot_first_seen,snapshot_last_seen,profit_target_pct,profit_target_distance,has_profit_target,exit_type,exit_klu_idx,exit_price,feat_zs_cnt,feat_bsp3_zs_height,feat_bsp3_bi_amp,feat_bsp3_bi_klu_cnt,feat_bsp3_bi_amp_rate,feat_bsp2_retrace_rate,feat_bsp2_break_bi_amp,feat_bsp2_break_bi_bi_klu_cnt,feat_bsp2_break_bi_amp_rate,feat_bsp2_bi_amp,feat_bsp2_bi_klu_cnt,feat_bsp2_bi_amp_rate,feat_bsp2s_retrace_rate,feat_bsp2s_break_bi_amp,feat_bsp2s_break_bi_klu_cnt,feat_bsp2s_break_bi_amp_rate,feat_bsp2s_bi_amp,feat_bsp2s_bi_klu_cnt,feat_bsp2s_bi_amp_rate,feat_bsp2s_lv,direction_encoded
27.0,2023/06/01 06:20,418.96,419.1,418.96,419.04,5066.0,1p,1p,0,sell,False,0.013350697227282316,0.4600000000000364,10.0,0.0010987961016626132,0.001958567050924065,0.10610120465110187,0.1070804881765639,0.00025567844762115375,66.95161495121809,81.78044040299346,76.92992547564208,91.48147025769623,5066.0,0.4600000000000364,0.001958567050924065,0.1070804881765639,0.10610120465110187,66.95161495121809,81.78044040299346,76.92992547564208,91.48147025769623,34.75609756097654,27.439024390245002,7.798065654662158,0.019094901661266213,0.033416077907209095,0.060000000000002274,0.0,0.08000000000004093,1,28.0,28.0,0.4679266895761755,42.0,1,best_24h,69.0,417.0792,1.6287744227353464,0.0017271864817488007,1.1830274881516587,14.028436018957345,0.002672797544781339,0.5735179877504754,2.23022947530864,27.09104938271605,0.0050384452450677655,1.1868265432098748,15.177469135802468,0.002686488936227646,0.5047893252022267,3.062335705812572,33.829181494661924,0.006902915883124871,1.367016725978646,19.988137603795966,0.0030912499436877945,2.1055753262158956,1
28.0,2023/06/01 06:25,419.07,419.17,419.07,419.17,3357.0,1p,1p,0,sell,False,0.14490904824807943,0.5300000000000296,11.0,0.0012660042040895032,0.021258371937270537,0.10875850114326069,0.11938768711189596,0.0002850464288850129,70.76344871384072,87.85362693532898,80.57115929553771,102.4185622149115,3357.0,0.5300000000000296,0.021258371937270537,0.11938768711189596,0.10875850114326069,70.76344871384072,87.85362693532898,80.57115929553771,102.4185622149115,40.2515723270445,16.981132075473184,10.145299583567539,0.02386236189658595,0.02386236189658595,0.0,0.0,0.10000000000002274,1,29.0,29.0,0.4987952382088416,41.0,1,best_24h,69.0,417.0792,1.6287744227353464,0.0017271864817488007,1.1830274881516587,14.028436018957345,0.002672797544781339,0.5735179877504754,2.23022947530864,27.09104938271605,0.0050384452450677655,1.1868265432098748,15.177469135802468,0.002686488936227646,0.5047893252022267,3.062335705812572,33.829181494661924,0.006902915883124871,1.367016725978646,19.988137603795966,0.0030912499436877945,2.1055753262158956,1
29.0,2023/06/01 06:30,419.22,419.34,419.21,419.21,2071.0,1p,1p,0,sell,False,0.2410546145527469,0.6999999999999886,12.0,0.0016720810242690347,0.035363068871895637,0.11317888475224765,0.13086041918819546,0.0003124177084078552,71.83972059113962,83.72631732795503,81.62287863967681,87.93319470451146,2071.0,0.6999999999999886,0.035363068871895637,0.13086041918819546,0.11317888475224765,71.83972059113962,83.72631732795503,81.62287863967681,87.93319470451146,49.69325153374088,15.95092024540119,13.09219741037499,-0.0023853823768063896,0.03101071062236002,0.1199999999999477,0.0,0.010000000000047748,0,30.0,66.0,0.5082894014932767,40.0,1,best_24h,69.0,417.0792,1.6287744227353464,0.0017271864817488007,1.1830274881516587,14.028436018957345,0.002672797544781339,0.5735179877504754,2.23022947530864,27.09104938271605,0.0050384452450677655,1.1868265432098748,15.177469135802468,0.002686488936227646,0.5047893252022267,3.062335705812572,33.829181494661924,0.006902915883124871,1.367016725978646,19.988137603795966,0.0030912499436877945,2.1055753262158956,1
66.0,2023/06/01 09:35,417.22,417.67,417.03,417.66,1344596.0,1p,1p,1,buy,False,3.2739457672390446,2.3100000000000023,38.0,0.005508656460151673,-0.07881559876917388,-0.20772489583034282,-0.24713269521492975,-0.0005908941637424672,39.583031551662906,42.14025249493963,44.019806461248926,38.38114456232104,1344596.0,2.3100000000000023,-0.07881559876917388,-0.24713269521492975,-0.20772489583034282,39.583031551662906,42.14025249493963,44.019806461248926,38.38114456232104,18.171453789857924,31.99588099003333,13.853783479732117,0.10545994918747849,0.15346617749323627,0.009999999999990905,0.19000000000005457,0.4399999999999977,1,67.0,68.0,2.616961164583621,255.0,1,best_24h,321.0,428.59,1.6287744227353464,0.0017271864817488007,1.1830274881516587,14.028436018957345,0.002672797544781339,0.5735179877504754,2.23022947530864,27.09104938271605,0.0050384452450677655,1.1868265432098748,15.177469135802468,0.002686488936227646,0.5047893252022267,3.062335705812572,33.829181494661924,0.006902915883124871,1.367016725978646,19.988137603795966,0.0030912499436877945,2.1055753262158956,0
68.0,2023/06/01 09:45,417.32,417.34,416.92,417.18,872652.0,1p,1p,1,buy,False,3.2739457672390446,2.419999999999959,40.0,0.005770973434444506,-0.1517937716385077,-0.24157690020188555,-0.3174737860211394,-0.0007593355367792445,33.67314704359033,29.607065776871593,37.293718584345704,14.233760161923371,872652.0,2.419999999999959,-0.1517937716385077,-0.3174737860211394,-0.24157690020188555,33.67314704359033,29.607065776871593,37.293718584345704,14.233760161923371,10.936744635753232,34.02625413707233,18.894657540871453,-0.033547397680433806,0.10073875083947977,0.01999999999998181,0.2599999999999909,0.13999999999998636,0,69.0,69.0,2.7350304424948386,253.0,1,best_24h,321.0,428.59,1.6287744227353464,0.0017271864817488007,1.1830274881516587,14.028436018957345,0.002672797544781339,0.5735179877504754,2.23022947530864,27.09104938271605,0.0050384452450677655,1.1868265432098748,15.177469135802468,0.002686488936227646,0.5047893252022267,3.062335705812572,33.829181494661924,0.006902915883124871,1.367016725978646,19.988137603795966,0.0030912499436877945,2.1055753262158956,0
69.0,2023/06/01 09:50,417.18,417.31,416.79,417.0792,1000157.0,1p,1p,1,buy,False,2.9001238580043216,2.5499999999999545,41.0,0.00608098440406342,-0.16892115392341178,-0.26936120254299306,-0.35382177950469895,-0.0008464165040411231,32.3030774508854,25.88521895239162,33.490885295248546,10.67388626667777,1000157.0,2.5499999999999545,-0.16892115392341178,-0.35382177950469895,-0.26936120254299306,32.3030774508854,25.88521895239162,33.490885295248546,10.67388626667777,10.54462012835839,30.47578071779417,20.83749010519523,-0.02416223213001401,0.12476307013123678,0.12999999999999545,0.2891999999999939,0.10079999999999245,0,70.0,1008.0,2.7598595182881236,252.0,1,best_24h,321.0,428.59,1.6287744227353464,0.0017271864817488007,1.1830274881516587,14.028436018957345,0.002672797544781339,0.5735179877504754,2.23022947530864,27.09104938271605,0.0050384452450677655,1.1868265432098748,15.177469135802468,0.002686488936227646,0.5047893252022267,3.062335705812572,33.829181494661924,0.006902915883124871,1.367016725978646,19.988137603795966,0.0030912499436877945,2.1055753262158956,0
80.0,2023/06/01 10:45,419.19,419.75,418.98,419.27,1786680.0,1,1,0,sell,False,3.0699462696115636,2.9599999999999795,12.0,0.007101897838239832,0.4012066878242496,-0.06408037863753095,0.13652296527459384,0.0003264632283214719,64.12052828601736,78.19917933993891,70.90342435242205,92.79068931497264,1786680.0,2.9599999999999795,0.4012066878242496,0.13652296527459384,-0.06408037863753095,64.12052828601736,78.19917933993891,70.90342435242205,92.79068931497264,36.50023034125927,9.44871658575171,21.092268122904876,0.019084424723868433,0.18377965535347313,0.4800000000000182,0.20999999999997954,0.07999999999998408,1,81.0,85.0,-0.4722493858372929,59.0,1,best_24h,139.0,421.25,1.0,0.0017271864817488007,1.1830274881516587,14.028436018957345,0.002672797544781339,0.5735179877504754,2.23022947530864,27.09104938271605,0.0050384452450677655,1.1868265432098748,15.177469135802468,0.002686488936227646,0.5047893252022267,3.062335705812572,33.829181494661924,0.006902915883124871,1.367016725978646,19.988137603795966,0.0030912499436877945,2.1055753262158956,1
85.0,2023/06/01 11:10,419.33,419.9,419.25,419.8,996123.0,1,1,0,sell,False,3.0699462696115636,3.109999999999957,17.0,0.007461791309772203,0.38388344090173787,0.19616033733478994,0.38810205778565887,0.000927134997741648,67.85130746276545,87.09798479270592,82.67573453442992,95.9424853092579,996123.0,3.109999999999957,0.38388344090173787,0.38810205778565887,0.19616033733478994,67.85130746276545,87.09798479270592,82.67573453442992,95.9424853092579,36.733161733162085,7.4391355641352765,35.22203685356137,0.11208356187251742,0.15503875968991707,0.0999999999999659,0.07999999999998408,0.4700000000000273,1,86.0,86.0,-0.3454025726536419,54.0,1,best_24h,139.0,421.25,1.0,0.0017271864817488007,1.1830274881516587,14.028436018957345,0.002672797544781339,0.5735179877504754,2.23022947530864,27.09104938271605,0.0050384452450677655,1.1868265432098748,15.177469135802468,0.002686488936227646,0.5047893252022267,3.062335705812572,33.829181494661924,0.006902915883124871,1.367016725978646,19.988137603795966,0.0030912499436877945,2.1055753262158956,1
86.0,2023/06/01 11:15,419.81,420.31,419.81,419.93,1314415.0,1,1,0,sell,False,3.0699462696115636,3.519999999999982,18.0,0.008445500131960895,0.38086805421198494,0.24376884411128805,0.4342028712172805,0.0010370215916016593,69.03925115013895,85.93888641352812,83.76345182746266,90.28975558565907,1314415.0,3.519999999999982,0.38086805421198494,0.4342028712172805,0.24376884411128805,69.03925115013895,85.93888641352812,83.76345182746266,90.28975558565907,39.09499980089531,7.365570702310665,37.584265677325924,0.02858435959124474,0.11910149829684857,0.37999999999999545,0.0,0.12000000000000455,1,87.0,88.0,-0.3143381039697076,53.0,1,best_24h,139.0,421.25,1.0,0.0017271864817488007,1.1830274881516587,14.028436018957345,0.002672797544781339,0.5735179877504754,2.23022947530864,27.09104938271605,0.0050384452450677655,1.1868265432098748,15.177469135802468,0.002686488936227646,0.5047893252022267,3.062335705812572,33.829181494661924,0.006902915883124871,1.367016725978646,19.988137603795966,0.0030912499436877945,2.1055753262158956,1
88.0,2023/06/01 11:25,420.1018,420.31,419.97,420.17,674881.0,1,1,0,sell,False,3.0699462696115636,3.519999999999982,20.0,0.008445500131960895,0.35728843219690887,0.3354630922800728,0.5141073083785273,0.0012272602589421093,71.20235872527371,87.84904998299942,85.85271366636887,91.84172261626051,674881.0,3.519999999999982,0.35728843219690887,0.5141073083785273,0.3354630922800728,71.20235872527371,87.84904998299942,85.85271366636887,91.84172261626051,38.876075257119425,9.790098205607851,40.631977727524664,0.016234160386837254,0.08095816367835201,0.13999999999998636,0.13179999999999836,0.06819999999999027,1,89.0,89.0,-0.25703881762143516,51.0,1,best_24h,139.0,421.25,1.0,0.0017271864817488007,1.1830274881516587,14.028436018957345,0.002672797544781339,0.5735179877504754,2.23022947530864,27.09104938271605,0.0050384452450677655,1.1868265432098748,15.177469135802468,0.002686488936227646,0.5047893252022267,3.062335705812572,33.829181494661924,0.006902915883124871,1.367016725978646,19.988137603795966,0.0030912499436877945,2.1055753262158956,1
89.0,2023/06/01 11:30,420.18,420.5,420.09,420.36,786456.0,1,1,0,sell,False,3.0699462696115636,3.7099999999999795,21.0,0.008901365195901963,0.34479829671698703,0.3785628793696962,0.5509620277281897,0.00131490069527842,72.90245031880114,88.36401311997973,86.68981348423915,91.71241239146087,786456.0,3.7099999999999795,0.34479829671698703,0.5509620277281897,0.3785628793696962,72.90245031880114,88.36401311997973,86.68981348423915,91.71241239146087,42.55823954209163,4.521256876788382,43.5006290216686,0.04283878337855367,0.0975981337332536,0.13999999999998636,0.09000000000003183,0.18000000000000682,1,90.0,90.0,-0.21172328480349853,50.0,1,best_24h,139.0,421.25,1.0,0.0017271864817488007,1.1830274881516587,14.028436018957345,0.002672797544781339,0.5735179877504754,2.23022947530864,27.09104938271605,0.0050384452450677655,1.1868265432098748,15.177469135802468,0.002686488936227646,0.5047893252022267,3.062335705812572,33.829181494661924,0.006902915883124871,1.367016725978646,19.988137603795966,0.0030912499436877945,2.1055753262158956,1
90.0,2023/06/01 11:35,420.37,420.58,420.18,420.2384,648699.0,1,1,0,sell,False,3.0699462696115636,3.7899999999999636,22.0,0.00909330838071922,0.2964717984460087,0.41562185417544734,0.5638577533984517,0.0013453858727145748,70.05208121270164,84.10934207998704,85.82965634948845,80.66871354098424,648699.0,3.7899999999999636,0.2964717984460087,0.5638577533984517,0.41562185417544734,70.05208121270164,84.10934207998704,85.82965634948845,80.66871354098424,45.780440112977374,3.181352618020227,46.608066545703885,-0.03130575445440724,0.09519729639677692,0.20999999999997954,0.058400000000006,0.13159999999999172,0,91.0,91.0,-0.24072050531317155,49.0,1,best_24h,139.0,421.25,1.0,0.0017271864817488007,1.1830274881516587,14.028436018957345,0.002672797544781339,0.5735179877504754,2.23022947530864,27.09104938271605,0.0050384452450677655,1.1868265432098748,15.177469135802468,0.002686488936227646,0.5047893252022267,3.062335705812572,33.829181494661924,0.006902915883124871,1.367016725978646,19.988137603795966,0.0030912499436877945,2.1055753262158956,1
91.0,2023/06/01 11:40,420.23,420.71,420.205,420.54,772779.0,1,1,0,sell,False,3.0699462696115636,3.919999999999959,23.0,0.009405216056047312,0.2815566685948756,0.45081643774980673,0.5915947720472445,0.0014112094891348813,72.88391883613986,85.70252434962183,85.78727901619956,85.53301501646632,772779.0,3.919999999999959,0.2815566685948756,0.5915947720472445,0.45081643774980673,72.88391883613986,85.70252434962183,85.78727901619956,85.53301501646632,45.50369435934449,3.0786327866881127,49.5164989750404,0.07376912643076465,0.12017943622755452,0.16999999999995907,0.025000000000034106,0.3100000000000023,1,92.0,92.0,-0.16883055119607634,48.0,1,best_24h,139.0,421.25,1.0,0.0017271864817488007,1.1830274881516587,14.028436018957345,0.002672797544781339,0.5735179877504754,2.23022947530864,27.09104938271605,0.0050384452450677655,1.1868265432098748,15.177469135802468,0.002686488936227646,0.5047893252022267,3.062335705812572,33.829181494661924,0.006902915883124871,1.367016725978646,19.988137603795966,0.0030912499436877945,2.1055753262158956,1
92.0,2023/06/01 11:45,420.55,420.83,420.51,420.7913,616929.0,1,1,0,sell,False,3.0699462696115636,4.039999999999964,24.0,0.009693130833273264,0.28130323135542457,0.4859793416692348,0.6266309573469471,0.0014943687099344435,75.0047451563479,89.6518938702119,87.075483967537,94.80471367556169,616929.0,4.039999999999964,0.28130323135542457,0.6266309573469471,0.4859793416692348,75.0047451563479,89.6518938702119,87.075483967537,94.80471367556169,43.61361114535888,3.1592898532854865,52.15753040857194,0.05737724408511877,0.0760980713895016,0.03870000000000573,0.040000000000020464,0.24129999999996699,1,93.0,93.0,-0.10900890774120607,47.0,1,best_24h,139.0,421.25,1.0,0.0017271864817488007,1.1830274881516587,14.028436018957345,0.002672797544781339,0.5735179877504754,2.23022947530864,27.09104938271605,0.0050384452450677655,1.1868265432098748,15.177469135802468,0.002686488936227646,0.5047893252022267,3.062335705812572,33.829181494661924,0.006902915883124871,1.367016725978646,19.988137603795966,0.0030912499436877945,2.1055753262158956,1
93.0,2023/06/01 11:50,420.8,421.06,420.71,420.87,962248.0,1,1,0,sell,False,3.0699462696115636,4.269999999999982,25.0,0.010244967489623027,0.2675817400839162,0.5194270591797243,0.6532179292216824,0.0015573482847117087,75.64712995849544,89.60218339045437,87.91771710850945,92.97111595434424,962248.0,4.269999999999982,0.2675817400839162,0.6532179292216824,0.5194270591797243,75.64712995849544,89.60218339045437,87.91771710850945,92.97111595434424,38.185351017996,3.4637154684461975,54.386788233633474,0.016634980988591536,0.08319269805805014,0.18999999999999773,0.09000000000003183,0.06999999999999318,1,94.0,94.0,-0.09028916292441738,46.0,1,best_24h,139.0,421.25,1.0,0.0017271864817488007,1.1830274881516587,14.028436018957345,0.002672797544781339,0.5735179877504754,2.23022947530864,27.09104938271605,0.0050384452450677655,1.1868265432098748,15.177469135802468,0.002686488936227646,0.5047893252022267,3.062335705812572,33.829181494661924,0.006902915883124871,1.367016725978646,19.988137603795966,0.0030912499436877945,2.1055753262158956,1
94.0,2023/06/01 11:55,420.8899,421.0942,420.78,421.055,802602.0,1,1,0,sell,False,3.0699462696115636,4.30419999999998,26.0,0.010327023201132417,0.2590957991265359,0.5518140340705413,0.6813619336338093,0.0016239844125770769,77.1347606182365,92.13758055209435,89.32433825637108,97.7640651435409,802602.0,4.30419999999998,0.2590957991265359,0.6813619336338093,0.5518140340705413,77.1347606182365,92.13758055209435,89.32433825637108,97.7640651435409,33.39374302085128,3.7527230124295095,56.20166000985472,0.039226410517333714,0.07467084937497696,0.039199999999993906,0.10990000000003874,0.16509999999999536,1,95.0,95.0,-0.04631223949365123,45.0,1,best_24h,139.0,421.25,1.0,0.0017271864817488007,1.1830274881516587,14.028436018957345,0.002672797544781339,0.5735179877504754,2.23022947530864,27.09104938271605,0.0050384452450677655,1.1868265432098748,15.177469135802468,0.002686488936227646,0.5047893252022267,3.062335705812572,33.829181494661924,0.006902915883124871,1.367016725978646,19.988137603795966,0.0030912499436877945,2.1055753262158956,1
