feature,importance
feat_bsp2s_bi_amp_rate,0.17476743
feat_bsp2_bi_amp,0.17327778
klu_open,0.056787025
klu_high,0.050106347
feat_bsp2s_break_bi_amp,0.038567923
feat_bsp2_break_bi_bi_klu_cnt,0.02983164
feat_zs_cnt,0.023679083
feat_bsp3_zs_height,0.023046969
klu_close,0.022600045
feat_break_bi_amp,0.021890286
feat_bsp2s_lv,0.021663228
klu_low,0.019550936
feat_bsp3_bi_amp,0.017960567
feat_bsp2s_break_bi_klu_cnt,0.01761656
feat_break_bi_amp_rate,0.015751423
feat_macd_dea,0.01549239
feat_bsp2_break_bi_amp_rate,0.015414596
feat_bsp2s_break_bi_amp_rate,0.01501331
feat_bsp1_bi_klu_cnt,0.0147024235
feat_divergence_rate,0.013441399
feat_bi_amp_rate,0.012046588
feat_bi_klu_cnt,0.011744238
feat_break_bi_klu_cnt,0.0109881405
feat_kdj_k,0.010712661
feat_ppo,0.010518749
upper_shadow,0.010422061
dmi_adx,0.009940189
feat_bsp1_bi_amp,0.00982799
feat_bsp2_break_bi_amp,0.009744284
feat_bsp2s_bi_klu_cnt,0.009325058
feat_volume,0.008982238
high_low_spread_pct,0.008472409
feat_macd_diff,0.008019783
feat_bi_amp,0.0077703027
feat_macd_value,0.0076869144
dmi_minus,0.007586231
feat_bsp2s_retrace_rate,0.007560698
feat_rsi,0.006742349
lower_shadow,0.0059827045
feat_kdj_d,0.005515447
feat_level,0.005456699
dmi_plus,0.005414515
feat_bsp1_bi_amp_rate,0.005269348
feat_bsp2_bi_klu_cnt,0.0050393436
feat_bsp2_retrace_rate,0.0046026316
price_change_pct,0.0040854397
feat_kdj_j,0.003409731
feat_bsp2s_bi_amp,0.0019262813
body_size,0.0013654561
feat_bsp2_bi_amp_rate,0.0009814
feat_bsp3_bi_amp_rate,0.00071849
is_bullish_candle,0.0006992156
feat_bsp3_bi_klu_cnt,0.00028105066
feat_bsp_bi_amp,0.0
is_buy,0.0
kdj_k,0.0
is_segbsp,0.0
kdj_d,0.0
kdj_j,0.0
klu_volume,0.0
macd_dif,0.0
macd_dea,0.0
macd_value,0.0
rsi,0.0
