buy_threshold,sell_threshold,final_value,total_return,max_drawdown,trades,win_rate,avg_trade_return,sharpe_ratio,skipped_buys,skipped_sells,vs_bh
-1.0,-1.0,10202.817964835653,2.0281796483565318,0.8012311962869816,161,24.22360248447205,0.012652284709896357,0.06630947449694496,0,0,0.8589714513197899
-1.0,-0.9,10202.817964835653,2.0281796483565318,0.8012311962869816,161,24.22360248447205,0.012652284709896357,0.06630947449694496,0,0,0.8589714513197899
-1.0,-0.8,10202.817964835653,2.0281796483565318,0.8012311962869816,161,24.22360248447205,0.012652284709896357,0.06630947449694496,0,0,0.8589714513197899
-1.0,-0.7000000000000001,10202.817964835653,2.0281796483565318,0.8012311962869816,161,24.22360248447205,0.012652284709896357,0.06630947449694496,0,0,0.8589714513197899
-1.0,-0.6000000000000001,10202.817964835653,2.0281796483565318,0.8012311962869816,161,24.22360248447205,0.012652284709896357,0.06630947449694496,0,0,0.8589714513197899
-1.0,-0.5000000000000001,10202.817964835653,2.0281796483565318,0.8012311962869816,161,24.22360248447205,0.012652284709896357,0.06630947449694496,0,0,0.8589714513197899
-1.0,-0.40000000000000013,10202.817964835653,2.0281796483565318,0.8012311962869816,161,24.22360248447205,0.012652284709896357,0.06630947449694496,0,0,0.8589714513197899
-1.0,-0.30000000000000016,10202.817964835653,2.0281796483565318,0.8012311962869816,161,24.22360248447205,0.012652284709896357,0.06630947449694496,0,0,0.8589714513197899
-1.0,-0.20000000000000018,10202.817964835653,2.0281796483565318,0.8012311962869816,161,24.22360248447205,0.012652284709896357,0.06630947449694496,0,0,0.8589714513197899
-1.0,-0.1000000000000002,10202.817964835653,2.0281796483565318,0.8012311962869816,161,24.22360248447205,0.012652284709896357,0.06630947449694496,0,0,0.8589714513197899
-1.0,-2.220446049250313e-16,10202.817964835653,2.0281796483565318,0.8012311962869816,161,24.22360248447205,0.012652284709896357,0.06630947449694496,0,0,0.8589714513197899
-1.0,0.09999999999999964,10202.817964835653,2.0281796483565318,0.8012311962869816,161,24.22360248447205,0.012652284709896357,0.06630947449694496,0,0,0.8589714513197899
-1.0,0.19999999999999973,10204.846495717893,2.0484649571789415,0.7815084327630145,161,24.84472049689441,0.012775755657145709,0.0669609080848798,0,1,0.8792567601421997
-1.0,0.2999999999999998,10193.675839156398,1.9367583915639752,0.8512441018098464,156,23.717948717948715,0.012482935837676967,0.06442950402915817,0,9,0.7675501945272334
-1.0,0.3999999999999997,10229.022935366183,2.2902293536618323,0.6827281816915648,141,21.98581560283688,0.016263645943329026,0.08033087507334333,0,29,1.1210211566250905
-1.0,0.49999999999999956,10290.64342551827,2.9064342551827105,0.8159754178852088,117,26.495726495726498,0.024751610255001666,0.10771143775809805,0,61,1.7372260581459686
-1.0,0.5999999999999996,10255.65785196693,2.5565785196692836,1.0206593167279292,97,25.773195876288657,0.026370446462109707,0.10038385859213107,0,90,1.3873703226325418
-1.0,0.6999999999999997,10239.707843755672,2.397078437556721,1.2684311011519764,69,24.637681159420293,0.03491089692402324,0.1022708437687189,0,131,1.2278702405199793
-1.0,0.7999999999999996,10197.297731008257,1.9729773100825687,1.618452577811504,39,20.51282051282051,0.051133504246870784,0.11221416813723122,0,166,0.8037691130458269
-1.0,0.8999999999999995,10165.544110991259,1.655441109912581,1.712784330139948,29,20.689655172413794,0.058099946423146684,0.10667915681373051,0,177,0.48623291287583914
-1.0,0.9999999999999996,10141.089673464952,1.4108967346495138,2.090928524664542,21,23.809523809523807,0.06961357193102298,0.09127496131402767,0,191,0.24168853761277198
-1.0,1.0999999999999996,10137.168706987362,1.3716870698736283,1.9589022887669487,17,23.52941176470588,0.08354068586044007,0.10116333002773606,0,196,0.20247887283688648
-1.0,1.1999999999999993,10125.164792439105,1.2516479243910528,1.795906091507368,13,23.076923076923077,0.0998714362740676,0.10899675780594709,0,201,0.08243972735431093
-1.0,1.2999999999999994,10126.509988012764,1.2650998801276403,1.653071372234681,10,20.0,0.13059772853085788,0.13221948477597675,0,204,0.09589168309089846
-1.0,1.3999999999999995,10119.883409147218,1.1988340914721896,1.7174275699284043,8,12.5,0.15566703154418085,0.13470735745870074,0,207,0.02962589443544772
-1.0,1.4999999999999996,10121.620267068769,1.2162026706876938,1.5730228978256673,6,16.666666666666664,0.20976990928514958,0.16400629539018716,0,211,0.046994473650951996
-1.0,1.5999999999999996,10116.673601249024,1.1667360124902437,1.6211263981077535,3,33.33333333333333,0.4039689171591572,0.2210678797559992,0,215,-0.002472184546498113
-1.0,1.6999999999999993,10116.920819703675,1.1692081970367418,0.0,1,100.0,1.169208197036751,0.0,0,217,0.0
-1.0,1.7999999999999994,10116.920819703675,1.1692081970367418,0.0,1,100.0,1.169208197036751,0.0,0,217,0.0
