policy,final_equity,reward_days,num_trades,avg_chosen_reward,avg_oracle_reward,output_dir
adaptive_reward,298886.4371867189,1886,416,0.000479251833134302,0.00141428191451168,output_raw_adaptive_threshold_compare_adaptive_reward_QQQ
adaptive_accuracy,278162.22351107176,1886,256,0.0004175564273814975,0.0014794931855448815,output_raw_adaptive_threshold_compare_adaptive_accuracy_QQQ
static,223994.47647273313,1886,902,0.0003522109850885238,0.0013217472758487747,output_raw_adaptive_threshold_compare_static_QQQ
threshold_pair_bandit,193105.414662185,1886,850,0.0003342598492332361,0.0013421855298952191,output_raw_adaptive_threshold_compare_threshold_pair_bandit_QQQ
