date,equity
2012-01-03,100370.18409917603
2012-01-04,100970.56873312607
2012-01-05,100970.56873312607
2012-01-06,100970.56873312607
2012-01-09,100970.56873312607
2012-01-10,100970.56873312607
2012-01-11,101529.57534202917
2012-01-12,101860.23388359559
2012-01-13,101860.23388359559
2012-01-17,102208.05779987898
2012-01-18,103355.48624260597
2012-01-19,103529.13457298669
2012-01-20,103529.13457298669
2012-01-23,104363.36585420862
2012-01-24,105956.03493392168
2012-01-25,106149.44953469715
2012-01-26,106554.33134884275
2012-01-27,107104.3120800805
2012-01-30,108121.12516944837
2012-01-31,108121.12516944837
2012-02-01,108121.12516944837
2012-02-02,108121.12516944837
2012-02-03,108121.12516944837
2012-02-06,108751.77333958773
2012-02-07,109103.20902657945
2012-02-08,109736.91595219368
2012-02-09,110439.79451713966
2012-02-10,110281.2432090117
2012-02-13,110843.9923371712
2012-02-14,111283.15237020278
2012-02-15,111633.98198044932
2012-02-16,113522.45981159002
2012-02-17,113522.45981159002
2012-02-21,113522.45981159002
2012-02-22,113952.57091489798
2012-02-23,114705.67995949683
2012-02-24,114705.67995949683
2012-02-27,115517.27675166308
2012-02-28,116389.83987506964
2012-02-29,116389.83987506964
2012-03-01,117219.0232613278
2012-03-02,117363.58194578759
2012-03-05,116529.15771557024
2012-03-06,116732.40142341048
2012-03-07,117134.19403024788
2012-03-08,117479.40105468944
2012-03-09,118041.85069680455
2012-03-12,118368.98746547927
2012-03-13,120110.2413417719
2012-03-14,120150.15893817197
2012-03-15,120150.15893817197
2012-03-16,120150.158938172
2012-03-19,120150.158938172
2012-03-20,121197.4551838008
2012-03-21,121143.34917702232
2012-03-22,121269.84133755919
2012-03-23,120550.03221847588
2012-03-26,122379.80949322059
2012-03-27,122397.74848611024
2012-03-28,123076.57945087088
2012-03-29,123409.83355105575
2012-03-30,123409.83355105575
2012-04-02,124781.86698069243
2012-04-03,124726.96149507463
2012-04-04,123496.58658044419
2012-04-05,124934.7373348895
2012-04-09,124934.7373348895
2012-04-10,124934.7373348895
2012-04-11,124953.5245134361
2012-04-12,126171.61518812999
2012-04-13,124533.75626223217
2012-04-16,123066.21841838052
2012-04-17,124995.56704807506
2012-04-18,125164.0227346476
2012-04-19,123777.47517740751
2012-04-20,123777.47517740751
2012-04-23,123398.66117533436
2012-04-24,123700.18508779697
2012-04-25,125111.6431558914
2012-04-26,125111.6431558914
2012-04-27,125111.6431558914
2012-04-30,125121.12057483075
2012-05-01,125289.84848690349
2012-05-02,126126.0332889101
2012-05-03,126126.0332889101
2012-05-04,122661.1369781808
2012-05-07,124018.09252904567
2012-05-08,123883.58266730049
2012-05-09,124232.60512590296
2012-05-10,124991.78275045796
2012-05-11,125284.73224127936
2012-05-14,125442.3974698353
2012-05-15,125558.38960373789
2012-05-16,125558.38960373789
2012-05-17,124143.36648280689
2012-05-18,122153.05178130117
2012-05-21,125296.4756674943
2012-05-22,125296.4756674943
2012-05-23,125964.99511205779
2012-05-24,127140.1551114947
2012-05-25,127478.53582071303
2012-05-29,127926.75825767254
2012-05-30,128576.4491176468
2012-05-31,127887.437213505
2012-06-01,127451.38652646434
2012-06-04,129127.96861584362
2012-06-05,130490.12289166593
2012-06-06,130490.12289166593
2012-06-07,130552.91890845691
2012-06-08,132658.6111489159
2012-06-11,132658.6111489159
2012-06-12,134464.475301267
2012-06-13,134464.475301267
2012-06-14,135538.62869873535
2012-06-15,137034.735782436
2012-06-18,138644.8612902004
2012-06-19,138752.89063513587
2012-06-20,138860.78557342134
2012-06-21,135810.5642358528
2012-06-22,136306.38058147577
2012-06-25,134726.95744140472
2012-06-26,134726.95744140472
2012-06-27,135200.43876148635
2012-06-28,135200.43876148635
2012-06-29,138480.64094692067
2012-07-02,138502.19770921
2012-07-03,139750.74098977173
2012-07-05,139750.74098977173
2012-07-06,140649.95322777872
2012-07-09,140825.91678140854
2012-07-10,140930.78567408439
2012-07-11,140952.95505990696
2012-07-12,140952.95505990696
2012-07-13,140952.95505990696
2012-07-16,140952.95505990696
2012-07-17,142318.02110660495
2012-07-18,145148.2090263386
2012-07-19,146247.47676085026
2012-07-20,144116.24339802147
2012-07-23,143054.57201248745
2012-07-24,143348.64371333536
2012-07-25,143923.694434265
2012-07-26,147438.4601016891
2012-07-27,150974.3777311395
2012-07-30,151394.07448287876
2012-07-31,151720.15402791882
2012-08-01,152657.3994579565
2012-08-02,152657.3994579565
2012-08-03,152657.3994579565
2012-08-06,152657.3994579565
2012-08-07,152657.3994579565
2012-08-08,153139.40297451292
2012-08-09,153645.87724772986
2012-08-10,154175.6111971674
2012-08-13,154544.56270466885
2012-08-14,154544.56270466885
2012-08-15,155746.70440409187
2012-08-16,157203.5778083173
2012-08-17,157619.27700040626
2012-08-20,157734.58005600277
2012-08-21,157965.08506850607
2012-08-22,158881.73276355618
2012-08-23,158881.73276355618
2012-08-24,160405.15991057357
2012-08-27,160592.49124089794
2012-08-28,160662.97452521685
2012-08-29,161203.69629801216
2012-08-30,161203.69629801216
2012-08-31,162744.74071341503
2012-09-04,162768.63861954035
2012-09-05,163320.64078530992
2012-09-06,166069.34174979266
2012-09-07,166069.34174979266
