bsp2_bi_amp,bsp2_break_bi_amp,bsp2_retrace_rate,bsp2s_bi_amp,bsp2s_break_bi_amp,bsp2s_lv,bsp2s_retrace_rate,bsp3_bi_amp,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_k,macd_dea,macd_diff,macd_value,ppo,rsi,timestamp,type,volume
,,,0.213104248046875,0.8800048828125,1.0,0.19669857123040643,0.213104248046875,0.0014935992458179163,0.213104248046875,,468,True,False,,0.0897837108008907,0.061159823928761625,-0.05724777374425816,0.0004593707811819965,48.13832710861406,2025/06/10 15:13,"2s,3b",406.0
,,,0.1500091552734375,0.8800048828125,1.0,0.23864266888611457,0.1500091552734375,0.0013004261922159221,0.1500091552734375,,558,False,False,,-0.008892345599091082,-0.004967294134246458,0.007850102929689247,-3.734781080937513e-05,47.16795126669221,2025/06/10 16:56,"2s,3b",7372.0
0.1299896240234375,0.4099884033203125,0.3170568312925676,,,,,0.1299896240234375,0.0010871108327969085,0.1299896240234375,,1452,True,False,,0.053861538462014566,0.04642568408004877,-0.014871708763931596,0.00034741654171843245,51.36237334827499,2025/06/12 19:44,"2,3b",4787.0
