timestamp,Open,High,Low,Close,Volume
2000-11-27,260.86,264.07,260.75,261.93,0.0
2000-11-28,259.27,259.51,254.85,255.05,0.0
2000-11-29,254.96,258.14,254.15,256.3,0.0
2000-11-30,258.51,260.59,256.24,256.38,0.0
2000-12-01,258.56,258.56,249.73,249.93,0.0
2000-12-04,253.78,259.73,252.14,252.39,0.0
2000-12-05,252.77,254.92,245.32,245.98,0.0
2000-12-06,252.53,255.69,246.11,253.48,0.0
2000-12-07,259.53,259.81,248.58,249.87,0.0
2000-12-08,248.51,250.07,243.88,247.31,0.0
2000-12-11,253.73,255.55,252.4,254.37,0.0
2000-12-12,253.87,254.33,245.12,246.91,0.0
2000-12-13,247.15,248.02,239.31,239.66,0.0
2000-12-14,240.32,240.76,233.33,234.48,0.0
2000-12-15,236.98,242.47,236.63,241.8,0.0
2000-12-18,248.92,249.16,243.48,245.33,0.0
2000-12-19,245.97,247.37,241.59,244.84,0.0
2000-12-20,244.53,245.43,236.76,236.99,0.0
2000-12-21,240.5,241.89,238.43,239.66,0.0
2000-12-22,239.74,241.99,236.12,238.81,0.0
2000-12-26,238.81,242.18,238.81,241.45,0.0
2000-12-27,242.85,244.02,240.78,242.76,0.0
2000-12-28,240.5,242.64,239.52,240.51,0.0
2000-12-29,240.59,247.24,236.66,246.92,0.0
2001-01-02,243.46,243.98,238.66,239.3,0.0
2001-01-03,238.8,241.91,237.97,240.58,0.0
2001-01-04,240.23,247.86,240.23,245.32,0.0
2001-01-05,247.26,249.23,245.79,246.21,0.0
2001-01-08,248.46,250.4,244.68,244.68,0.0
2001-01-09,245.66,246.11,243.42,246.01,0.0
2001-01-10,245.79,249.07,244.95,246.42,0.0
2001-01-11,246.18,246.48,242.59,243.29,0.0
2001-01-12,243.19,243.74,240.89,242.17,0.0
2001-01-16,241.35,242.02,239.31,239.47,0.0
2001-01-17,237.75,237.75,228.13,230.76,0.0
2001-01-18,231.79,235.5,230.44,235.19,0.0
2001-01-19,236.57,241.69,236.07,241.5,0.0
2001-01-22,242.39,243.51,240.32,240.51,0.0
2001-01-23,238.5,238.59,235.37,237.11,0.0
2001-01-24,234.86,237.76,232.93,235.07,0.0
2001-01-25,236.69,237.21,234.79,236.65,0.0
2001-01-26,235.79,238.39,235.47,238.0,0.0
2001-01-29,237.92,237.93,230.02,230.89,0.0
2001-01-30,231.73,231.98,227.72,230.66,0.0
2001-01-31,229.94,230.16,226.51,226.93,0.0
2001-02-01,228.05,235.39,226.72,235.14,0.0
2001-02-02,237.38,243.75,236.02,242.75,0.0
2001-02-05,239.17,239.61,233.94,234.71,0.0
2001-02-06,235.14,236.78,234.23,234.96,0.0
2001-02-07,235.94,241.09,234.44,240.69,0.0
2001-02-08,242.45,244.1,241.12,241.12,0.0
2001-02-09,240.52,240.75,238.52,238.69,0.0
2001-02-12,235.83,236.35,233.95,234.45,0.0
2001-02-13,233.77,235.49,232.38,235.21,0.0
2001-02-14,234.84,236.65,231.11,231.11,0.0
2001-02-15,229.91,230.1,227.13,227.95,0.0
2001-02-16,229.36,229.95,228.57,228.93,0.0
2001-02-20,229.51,229.91,226.41,226.68,0.0
