timestamp,Open,High,Low,Close
2017-06-19,83.22,84.07,80.69,83.63
2017-06-20,82.55,83.25,80.09,82.55
2017-06-21,80.26,81.76,79.33,80.67
2017-06-22,81.12,81.74,79.59,81.12
2017-06-23,79.76,81.62,79.42,80.17
2017-06-26,79.77,80.67,77.66,79.77
2017-06-27,78.02,83.71,76.75,79.71
2017-06-28,82.84,87.93,82.19,82.84
2017-06-29,82.84,91.37,82.19,82.84
2017-06-30,89.56,92.52,89.21,89.16
2017-07-03,90.83,93.75,90.21,91.63
2017-07-05,93.22,93.38,91.11,93.22
2017-07-06,91.46,97.11,91.46,91.46
2017-07-07,96.34,99.01,95.84,96.34
2017-07-10,97.67,98.87,96.9,98.07
2017-07-11,98.01,99.74,97.02,98.41
2017-07-12,98.36,98.8,95.83,98.36
2017-07-13,96.67,99.67,95.24,97.07
2017-07-14,97.07,98.37,94.93,97.88
2017-07-17,97.04,100.25,94.06,97.04
2017-07-18,94.84,95.0,90.31,95.25
2017-07-19,90.13,92.12,90.06,90.54
2017-07-20,90.95,91.36,88.68,90.95
2017-07-21,89.52,90.76,87.73,90.33
2017-07-24,89.15,89.61,87.96,89.15
2017-07-25,89.03,94.32,88.12,89.03
2017-07-26,93.11,94.45,91.95,94.01
2017-07-27,93.16,95.97,91.38,92.76
2017-07-28,95.44,96.43,93.2,94.65
2017-07-31,94.17,94.84,92.39,93.77
2017-08-01,93.91,95.66,90.26,93.91
2017-08-02,90.03,92.39,88.66,90.43
2017-08-03,90.62,90.88,87.46,90.62
2017-08-04,87.46,92.0,87.24,87.46
2017-08-07,90.31,91.87,89.41,90.71
2017-08-08,89.99,92.27,89.46,89.99
2017-08-09,90.93,91.11,88.67,90.53
2017-08-10,90.49,91.08,86.29,90.49
2017-08-11,90.49,91.08,85.95,90.49
2017-08-14,89.07,91.19,89.07,89.48
2017-08-15,89.57,92.76,89.57,89.57
2017-08-16,91.65,92.94,89.18,92.06
2017-08-17,88.94,90.76,87.83,89.35
2017-08-18,87.78,89.46,86.18,88.18
2017-08-21,87.4,88.85,86.3,88.21
2017-08-22,87.64,89.27,86.88,87.64
2017-08-23,88.92,89.28,85.33,88.92
2017-08-24,85.44,86.43,84.74,85.85
2017-08-25,85.6,86.01,82.76,86.01
2017-08-28,82.58,84.34,81.84,82.99
2017-08-29,83.17,83.17,77.68,82.77
2017-08-30,80.21,82.07,79.65,80.6
2017-08-31,80.1,81.67,78.75,80.5
2017-09-01,80.1,82.14,78.45,80.5
2017-09-05,83.8,83.8,76.04,81.79
2017-09-06,77.13,80.25,76.38,76.73
2017-09-07,79.85,80.23,76.7,79.85
2017-09-08,77.45,79.15,75.64,77.45
2017-09-11,76.62,81.53,76.62,78.64
2017-09-12,81.37,84.11,80.32,80.97
2017-09-13,83.06,84.41,81.89,82.66
2017-09-14,84.47,84.64,81.36,84.06
2017-09-15,82.53,82.72,81.08,81.71
2017-09-18,81.62,83.95,80.78,81.62
2017-09-19,83.95,84.17,82.19,83.54
2017-09-20,84.76,85.08,82.18,82.88
2017-09-21,82.88,84.03,81.26,83.39
2017-09-22,83.39,83.39,80.35,83.39
2017-09-25,80.82,81.57,78.74,79.27
2017-09-26,78.86,80.07,77.95,79.41
2017-09-27,78.32,83.56,77.92,82.98
2017-09-28,83.78,86.6,82.85,82.98
2017-09-29,83.78,86.6,82.85,84.65
2017-10-02,84.65,86.88,83.07,85.22
2017-10-03,85.22,87.17,84.25,84.79
2017-10-04,84.79,86.71,83.88,84.6
2017-10-05,84.6,85.99,83.84,85.49
2017-10-06,85.09,87.83,84.54,85.08
2017-10-10,84.68,85.97,81.74,84.12
2017-10-11,83.72,84.44,81.5,82.7
2017-10-12,83.11,83.11,79.92,80.28
2017-10-13,80.28,81.3,77.2,77.61
2017-10-16,76.39,78.28,75.66,76.14
2017-10-17,76.55,77.45,74.58,74.94
2017-10-18,74.94,78.31,74.51,77.59
2017-10-19,77.59,78.51,75.72,77.74
2017-10-20,78.15,81.59,77.92,80.46
2017-10-23,79.64,81.1,79.3,80.46
2017-10-24,79.64,83.75,79.3,80.46
2017-10-25,79.64,85.51,79.3,83.46
2017-10-26,83.85,84.38,80.91,84.2
2017-10-27,83.8,84.24,80.91,81.82
2017-10-30,82.22,82.22,78.88,79.27
2017-10-31,78.88,79.73,77.02,77.6
2017-11-01,77.6,78.63,73.89,77.6
2017-11-02,77.6,78.63,72.76,77.6
2017-11-03,77.6,78.63,71.16,71.42
2017-11-06,71.02,72.78,69.16,69.56
2017-11-07,69.56,70.9,67.26,68.16
2017-11-08,68.16,68.82,66.66,68.32
2017-11-09,68.32,70.43,65.98,70.08
2017-11-10,70.48,74.38,69.67,70.08
2017-11-13,74.2,74.2,70.79,71.86
2017-11-14,71.86,72.57,67.87,68.22
2017-11-15,68.63,68.69,63.29,63.64
2017-11-16,63.64,66.49,63.23,66.14
2017-11-17,65.72,65.96,61.32,61.8
