Date,Price,Open,High,Low,Change %
3/6/2025,31.32,27.17,35.67,26.9,15.27%
3/5/2025,27.17,25.61,31.06,21.94,6.09%
3/4/2025,25.61,19.92,27.19,16.69,28.56%
3/3/2025,19.92,21.37,24.55,17.93,-6.79%
2/28/2025,21.37,21.05,23.62,18.41,1.52%
2/27/2025,21.05,17.88,21.72,17.1,17.73%
2/26/2025,17.88,19.61,20.69,16.2,-8.82%
2/25/2025,19.61,22.59,25.08,18.68,-13.19%
2/24/2025,22.59,22.93,23.53,19.87,-1.48%
2/21/2025,22.93,23.54,24.36,19.92,-2.59%
2/20/2025,23.54,26.09,26.7,22.61,-9.77%
2/19/2025,26.09,24.48,27.32,23.48,6.58%
2/18/2025,24.48,21.52,25.31,9.76,13.75%
2/14/2025,21.52,22.2,23.95,19.64,-3.06%
2/13/2025,22.2,26.59,27.7,-11.96,-16.51%
2/12/2025,26.59,24.56,29.04,21.28,8.27%
2/11/2025,24.56,21.98,24.98,21.55,11.74%
2/10/2025,21.98,20.14,36.22,15.98,9.14%
2/7/2025,20.14,22.03,23.49,16.22,-8.58%
2/6/2025,22.03,23.32,24.7,20.66,-5.53%
2/5/2025,23.32,29.47,30.05,22.71,-20.87%
2/4/2025,29.47,29.79,32.68,-11.62,-1.07%
2/3/2025,29.79,33.33,33.33,24.78,-10.62%
1/31/2025,33.33,30.48,34.92,30.11,9.35%
1/30/2025,30.48,31.28,32.31,28.07,-2.56%
1/29/2025,31.28,33.53,34.95,30.88,-6.71%
1/28/2025,33.53,33.3,35.53,32.27,0.69%
1/27/2025,33.3,35.19,35.37,31.38,-5.37%
1/24/2025,35.19,35.46,38.24,34.55,-0.76%
1/23/2025,35.46,30.91,36.09,29.49,14.72%
1/22/2025,30.91,29.61,31.62,28.23,4.39%
1/21/2025,29.61,33.83,34.88,27.82,-12.47%
1/17/2025,33.83,37.62,38.65,33.05,-10.07%
1/16/2025,37.62,38.51,39.37,35.39,-2.31%
1/15/2025,38.51,42.14,42.35,36.88,-8.61%
1/14/2025,42.14,39.63,42.57,-0.94,6.33%
1/13/2025,39.63,37.79,47.67,-54.42,4.87%
1/10/2025,37.79,42.12,42.61,36.37,-10.28%
1/9/2025,42.12,40.43,42.33,38.05,4.18%
1/8/2025,40.43,39.4,42.89,37.51,2.61%
1/7/2025,39.4,35.15,39.62,32.29,12.09%
1/6/2025,35.15,31.67,37.01,31.02,10.99%
1/3/2025,31.67,31.33,32.97,29.56,1.09%
1/2/2025,31.33,33.14,33.39,30,-5.46%
12/31/2024,33.14,28.68,34.35,24.63,15.55%
12/30/2024,28.68,29.7,30.13,28.05,-3.43%
12/27/2024,29.7,25.03,30.34,24.23,18.66%
12/26/2024,25.03,25.01,27.61,23.8,0.08%
12/24/2024,25.01,24.64,27.62,23.35,1.50%
12/23/2024,24.64,20.95,25.01,19.75,17.61%
12/20/2024,20.95,24.55,26.94,19.46,-14.66%
12/19/2024,24.55,15.73,27.64,14.72,56.07%
12/18/2024,15.73,14.6,17.94,11.23,7.74%
12/17/2024,14.6,14.75,15.93,12.65,-1.02%
12/16/2024,14.75,14.58,16.23,13.53,-0.27%
12/13/2024,14.79,13.47,16.05,10.81,9.80%
12/12/2024,13.47,11.56,14.5,10.52,16.52%
12/11/2024,11.56,7.92,11.8,2.81,45.96%
12/10/2024,7.92,7.06,9.5,6.01,12.18%
12/9/2024,7.06,4.94,7.68,2.78,42.91%
12/6/2024,4.94,3.21,7.08,-7.15,53.89%
12/5/2024,3.21,5.01,6.09,2.1,-35.93%
12/4/2024,5.01,4.3,7.34,2.05,16.51%
12/3/2024,4.3,0.78,6.07,-2.71,451.28%
12/2/2024,0.78,1.29,2.52,-1.78,-39.53%
11/29/2024,1.29,2.63,3.25,0.08,-50.95%
11/27/2024,2.63,4.48,5.67,1.99,-41.29%
11/26/2024,4.48,0.03,5.26,0.03,14833.33%
11/25/2024,0.03,2.85,2.85,-3.43,-98.95%
11/22/2024,2.85,6.91,7.58,1.67,-58.76%
11/21/2024,6.91,9.11,10.2,6.36,-24.15%
11/20/2024,9.11,11.17,12.89,7.79,-18.44%
11/19/2024,11.17,13.17,14.45,9.89,-15.19%
11/18/2024,13.17,13.59,16.29,10.68,-3.09%
11/15/2024,13.59,8.58,15.14,7.97,58.39%
11/14/2024,8.58,16.56,17.49,7.58,-48.19%
11/13/2024,16.56,8.31,17.61,3.41,99.28%
11/12/2024,8.31,5.24,14.94,-34.23,58.59%
11/8/2024,5.24,12.86,13.92,3.86,-59.25%
11/7/2024,12.86,16.37,19.1,10.8,-21.44%
11/6/2024,16.37,8.99,43.22,-6.01,82.09%
11/5/2024,8.99,11.66,14.04,7.58,-22.90%
11/4/2024,11.66,17.2,22.37,9.76,-32.21%
11/1/2024,17.2,11.01,17.83,5.8,56.22%
10/31/2024,11.01,12.41,13.04,7.33,-11.28%
10/30/2024,12.41,15.38,15.99,9.46,-19.31%
10/29/2024,15.38,14.46,17.87,-91.46,6.36%
10/28/2024,14.46,13.32,15.31,10.09,8.56%
10/25/2024,13.32,12.89,15.39,11.27,3.34%
10/24/2024,12.89,16.14,17.23,12.3,-20.14%
10/23/2024,16.14,17.32,19.27,14.37,-6.81%
10/22/2024,17.32,16.19,17.52,13.99,6.98%
10/21/2024,16.19,13.05,16.79,8.81,24.06%
10/18/2024,13.05,11.64,13.47,10.17,12.11%
10/17/2024,11.64,7.43,11.84,5.57,56.66%
10/16/2024,7.43,8.21,9.21,6.27,-9.50%
10/15/2024,8.21,14.11,15.56,7.18,-41.81%
10/11/2024,14.11,10.12,14.7,8.67,39.43%
10/10/2024,10.12,5.1,12.9,-2.02,98.43%
10/9/2024,5.1,4.75,7.87,4.17,2.82%
10/8/2024,4.96,3.04,6.59,1.64,63.16%
10/7/2024,3.04,4.34,4.34,-1.44,-29.95%
10/4/2024,4.34,13.86,14.91,3.56,-68.69%
10/3/2024,13.86,14.17,15.24,12.62,-2.19%
10/2/2024,14.17,12.33,16.7,11.72,14.92%
10/1/2024,12.33,13.95,14.65,9.63,-11.61%
9/30/2024,13.95,19.15,19.86,12.83,-27.15%
9/27/2024,19.15,16.77,19.53,15.04,14.19%
9/26/2024,16.77,22.75,22.75,16.03,-26.29%
9/25/2024,22.75,18.99,23.58,18.99,19.80%
9/24/2024,18.99,16.23,20.21,15.43,17.01%
9/23/2024,16.23,14.22,17.93,13.61,14.14%
9/20/2024,14.22,12.93,15.85,10.7,9.98%
9/19/2024,12.93,8.37,14.25,6.95,54.48%
9/18/2024,8.37,3.87,10.18,-4.06,116.28%
9/17/2024,3.87,5.88,7.09,1.71,-34.18%
9/16/2024,5.88,6.85,10.01,5,-14.16%
9/13/2024,6.85,3.02,8.66,1,126.82%
9/12/2024,3.02,0.93,3.33,-3.58,224.73%
9/11/2024,0.93,4.25,5.7,-2.1,-78.12%
9/10/2024,4.25,2.96,5.27,1.3,43.58%
9/9/2024,2.96,5.73,7.82,1.76,-48.34%
9/6/2024,5.73,-1.62,6.42,-9.65,-453.70%
9/5/2024,-1.62,-1.1,1.55,-2.69,47.27%
9/4/2024,-1.1,-3.39,0.65,-16.65,-67.55%
9/3/2024,-3.39,-1.13,-0.44,-4.94,200.00%
8/30/2024,-1.13,-3.44,-0.26,-5.91,-69.04%
8/29/2024,-3.65,-2.82,-1.49,-4.69,20.46%
8/28/2024,-3.03,-7.19,-2.61,-9.85,-57.86%
8/27/2024,-7.19,-12,-6.85,-12.76,-40.08%
8/26/2024,-12,-11.56,-9.74,-13.21,3.81%
8/23/2024,-11.56,-15.81,-9.84,-18.59,-26.88%
8/22/2024,-15.81,-13.54,-12.5,-16.3,16.77%
8/21/2024,-13.54,-18.55,-13.14,-19.25,-27.01%
8/20/2024,-18.55,-19.93,-17.39,-20.31,-6.92%
8/19/2024,-19.93,-17.32,-16.97,-20.89,15.07%
8/16/2024,-17.32,-18.65,-15.77,-20.44,-7.13%
8/15/2024,-18.65,-12.29,-10.87,-19.05,51.75%
8/14/2024,-12.29,-9.09,-8.81,-25.66,35.20%
8/13/2024,-9.09,-11.6,-8.62,-12.25,-21.64%
8/12/2024,-11.6,-11.93,-10.11,-15.65,-2.77%
8/9/2024,-11.93,-4.82,-4.23,-12.33,147.51%
8/8/2024,-4.82,-3.2,-0.69,-7.85,50.63%
8/7/2024,-3.2,-9.2,-1.57,-11.53,-65.22%
8/6/2024,-9.2,-12.46,-8.13,-15.54,-26.16%
8/5/2024,-12.46,-8.32,1.33,-14.27,49.76%
8/2/2024,-8.32,-17.66,-5.86,-19.83,-52.89%
8/1/2024,-17.66,-22.8,-16.78,-24.6,-22.54%
7/31/2024,-22.8,-22.12,-20.29,-27.11,3.07%
7/30/2024,-22.12,-23.13,-20.3,-23.54,-4.37%
7/29/2024,-23.13,-19.54,-18.44,-23.13,18.37%
7/26/2024,-19.54,-19.21,-17.23,-22.62,1.72%
7/25/2024,-19.21,-14.9,-11.31,-19.41,28.93%
7/24/2024,-14.9,-24.31,-13.03,-24.31,-38.71%
7/23/2024,-24.31,-26.88,-24.02,-28.74,-9.56%
7/22/2024,-26.88,-27.64,-26.29,-30.81,-2.75%
7/19/2024,-27.64,-27.13,-25.71,-28.77,1.88%
7/18/2024,-27.13,-28.04,-26.34,-29.12,-3.25%
